path	mode	expected_replacements	tz_relation
historical/arndt64-archived.formatted	output	2	legacy-static
historical/arndt64-archived.section	output	2	legacy-static
historical/arndt64-archived.stdout	output	4	legacy-static
historical/arndt64-live.formatted	output	2	legacy-static
historical/arndt64-live.section	output	2	legacy-static
historical/arndt64-live.stdout	output	5	legacy-static
historical/gwdac-archived.formatted	output	2	legacy-static
historical/gwdac-archived.section	output	2	legacy-static
historical/gwdac-archived.stdout	output	4	legacy-static
historical/gwdac-live.formatted	output	2	legacy-static
historical/gwdac-live.section	output	2	legacy-static
historical/gwdac-live.stdout	output	5	legacy-static
modern/modern-headless-archived.formatted	output	2	must-differ
modern/modern-headless-archived.section	output	2	must-differ
modern/modern-headless-archived.stdout	output	4	must-differ
modern/modern-headless-live.formatted	output	2	must-differ
modern/modern-headless-live.section	output	2	must-differ
modern/modern-headless-live.stdout	output	5	must-differ
