candidate	canonical_file	routine	status	canonical_line	candidate_line	canonical_sha256	candidate_sha256	behavioral_relevance
said.tar.gz/nn1.f	nn1.f	NNPWA	identical	1	1	dd83594055a5bd44bf835dd17147e879f0e08d9ed27637a8cfc58fb0773df307	dd83594055a5bd44bf835dd17147e879f0e08d9ed27637a8cfc58fb0773df307	none
said.tar.gz/nn1.f	nn1.f	SEPPRT	identical	1258	1258	fcec5aad9d74fcba584d0f3fafd63721403a23cced35e24bf038d8beb9a05dfb	fcec5aad9d74fcba584d0f3fafd63721403a23cced35e24bf038d8beb9a05dfb	none
said.tar.gz/nn1.f	nn1.f	SOLNN	changed	1387	1387	d77d95995d83ae9f9b3384bcc188e69a556e0a6b6a562ecd25f748ef031f8cca	5ae529e7064d38ea172a89c5655321abeda6017c03f281f68db45ccd5fe4843f	historical-delta-not-canonical-without-workflow-evidence
said.tar.gz/nn1.f	nn1.f	NNDLT	identical	1846	1845	136928552e9f9cbfa02d9c824cbd37ebede68c361ebe6f41a5473df0318977fa	136928552e9f9cbfa02d9c824cbd37ebede68c361ebe6f41a5473df0318977fa	none
said.tar.gz/nn1.f	nn1.f	GROSSPHS	changed	2331	2330	de9b3c0ad0a8baf478d75fff8c44084a783b2b250a0ac559f603598fd5790bf1	cd14bf75728b54619064827679fecd3d8cc898ab6c3fce4ef94d68c5a73cb08e	historical-delta-not-canonical-without-workflow-evidence
said.tar.gz/nn1.f	nn1.f	DQUAD	identical	2393	2391	d5feb1be76aeb50cf27fbb1564acdda18d6645fa4d9b04687300500c9080f7e6	d5feb1be76aeb50cf27fbb1564acdda18d6645fa4d9b04687300500c9080f7e6	none
said.tar.gz/nn1.f	nn1.f	DOLEPWS	identical	2494	2492	0b1c9ef5ec27baa7ac9f39adb7323a66b48c5bf2e83fd855b4c03c31efa6effa	0b1c9ef5ec27baa7ac9f39adb7323a66b48c5bf2e83fd855b4c03c31efa6effa	none
said.tar.gz/nn1.f	nn1.f	DOLEPWX	identical	2554	2552	d8494f711a620df38cad7c206a3de829d8d9d22d26fcb5b484bb1a0696d75f01	d8494f711a620df38cad7c206a3de829d8d9d22d26fcb5b484bb1a0696d75f01	none
said.tar.gz/nn1.f	nn1.f	NNSOLA	identical	2597	2595	7c4f2bc13f317be6fac662badea936d9071dfb0d1d8003d87a35dd6f4604efba	7c4f2bc13f317be6fac662badea936d9071dfb0d1d8003d87a35dd6f4604efba	none
said.tar.gz/nn1.f	nn1.f	DLTNN	identical	2897	2895	e3abe7ba5ce087e68da06c5da7380ec4249f3caf996da752dd0a8762356426be	e3abe7ba5ce087e68da06c5da7380ec4249f3caf996da752dd0a8762356426be	none
said.tar.gz/nn1.f	nn1.f	SESCOR	identical	3159	3157	9c761e249052a115f04dbad284f1eac10600f5e9f152149a79ec79727758fc86	9c761e249052a115f04dbad284f1eac10600f5e9f152149a79ec79727758fc86	none
said.tar.gz/nn1.f	nn1.f	NNRES	identical	3245	3243	b14af24ff4d87375cbca158085d1f4f2b63b36def590119aae49d8b70b907207	b14af24ff4d87375cbca158085d1f4f2b63b36def590119aae49d8b70b907207	none
