file	routine	kind	said_line	said_bkp_relation	said_old_relation	said_sha256	said_bkp_sha256	said_old_sha256	behavioral_relevance
cmmwp.f	__MAIN__	implicit-main	1	identical	identical	eba49f7d4c1bc761f2cda6b775ffb358049a16925b8dae96c8b3a61a0ae0e7d1	eba49f7d4c1bc761f2cda6b775ffb358049a16925b8dae96c8b3a61a0ae0e7d1	eba49f7d4c1bc761f2cda6b775ffb358049a16925b8dae96c8b3a61a0ae0e7d1	none-no-variant-delta
cmmwp.f	CMMWP	subroutine	2	identical	identical	9a705b8159c123f7dfcb8d783975238f7189cb26e906cf1d7a96c27db6bd6de0	9a705b8159c123f7dfcb8d783975238f7189cb26e906cf1d7a96c27db6bd6de0	9a705b8159c123f7dfcb8d783975238f7189cb26e906cf1d7a96c27db6bd6de0	none-no-variant-delta
cmprnt.f	__MAIN__	implicit-main	1	identical	identical	86518d2a7ac267730559e80befe9bd16050c89acea11b7961b02c1c566448a8a	86518d2a7ac267730559e80befe9bd16050c89acea11b7961b02c1c566448a8a	86518d2a7ac267730559e80befe9bd16050c89acea11b7961b02c1c566448a8a	none-no-variant-delta
cmprnt.f	CMPRNT	subroutine	7	identical	identical	4629d8c311989bf0e8d2723091565c1ae20e9afc08626aaee64a06c39139b133	4629d8c311989bf0e8d2723091565c1ae20e9afc08626aaee64a06c39139b133	4629d8c311989bf0e8d2723091565c1ae20e9afc08626aaee64a06c39139b133	none-no-variant-delta
cnlpw.f	__MAIN__	implicit-main	1	identical	identical	75a11da44c802486bc6f65640aa48a730f0f684c5c07a42ba3cd1735eb3fb070	75a11da44c802486bc6f65640aa48a730f0f684c5c07a42ba3cd1735eb3fb070	75a11da44c802486bc6f65640aa48a730f0f684c5c07a42ba3cd1735eb3fb070	none-no-variant-delta
cnlpw.f	CNLPW	subroutine	3	identical	identical	207324e8190b8f8c582a0343732f5d915c10b607ea91ae49ae1818aca9ff5b63	207324e8190b8f8c582a0343732f5d915c10b607ea91ae49ae1818aca9ff5b63	207324e8190b8f8c582a0343732f5d915c10b607ea91ae49ae1818aca9ff5b63	none-no-variant-delta
crap.for	MAINZPN	subroutine	1	identical	identical	590d9a101dc7b14244e843bcaeb82250000f0521fb0c3b66c80980259a2aab78	590d9a101dc7b14244e843bcaeb82250000f0521fb0c3b66c80980259a2aab78	590d9a101dc7b14244e843bcaeb82250000f0521fb0c3b66c80980259a2aab78	none-no-variant-delta
eprsd.f	__MAIN__	implicit-main	1	identical	identical	dea4705f4146b7caa14d2e7741435e8fe64d96d39f82429db710b96eff7f62c1	dea4705f4146b7caa14d2e7741435e8fe64d96d39f82429db710b96eff7f62c1	dea4705f4146b7caa14d2e7741435e8fe64d96d39f82429db710b96eff7f62c1	none-no-variant-delta
eprsd.f	EPRCHICMP	subroutine	1125	identical	identical	09186f2c2797e2ea65721b5dde3f2a64109adee89ed0c7785a8ce29b576ff52e	09186f2c2797e2ea65721b5dde3f2a64109adee89ed0c7785a8ce29b576ff52e	09186f2c2797e2ea65721b5dde3f2a64109adee89ed0c7785a8ce29b576ff52e	none-no-variant-delta
eprsd.f	TYPEQV	function	1360	identical	identical	c8a5917157c12692c03275a304667c23fc99e73fd46324f61f16d3d1ac61303c	c8a5917157c12692c03275a304667c23fc99e73fd46324f61f16d3d1ac61303c	c8a5917157c12692c03275a304667c23fc99e73fd46324f61f16d3d1ac61303c	none-no-variant-delta
eprsd.f	EPRDA	subroutine	1370	identical	identical	fe7867dce1254f8763b3f85bc217388618ac7f5fc49b155237da1df20d913e55	fe7867dce1254f8763b3f85bc217388618ac7f5fc49b155237da1df20d913e55	fe7867dce1254f8763b3f85bc217388618ac7f5fc49b155237da1df20d913e55	none-no-variant-delta
eprsd.f	EPRBAS	subroutine	1431	identical	identical	0c2b21416779d2c5072f9eae63174f49078d4e1f79616e65b5be130b888a7748	0c2b21416779d2c5072f9eae63174f49078d4e1f79616e65b5be130b888a7748	0c2b21416779d2c5072f9eae63174f49078d4e1f79616e65b5be130b888a7748	none-no-variant-delta
eprsd.f	EPRDLT	subroutine	1534	identical	identical	d7742c57354354086e62a99bd5d32ae5d56d36aeaa01e827f96caf162a954b43	d7742c57354354086e62a99bd5d32ae5d56d36aeaa01e827f96caf162a954b43	d7742c57354354086e62a99bd5d32ae5d56d36aeaa01e827f96caf162a954b43	none-no-variant-delta
eprsd.f	SAIDI	subroutine	1781	identical	identical	bd2482c90680e7ba8d7915e1a676ff5936f773bc7b953ece3268fef8e7132d10	bd2482c90680e7ba8d7915e1a676ff5936f773bc7b953ece3268fef8e7132d10	bd2482c90680e7ba8d7915e1a676ff5936f773bc7b953ece3268fef8e7132d10	none-no-variant-delta
eprsd.f	MD07M	subroutine	1846	identical	identical	fbe1d58128d4b9e4f37da36deca1e385769d40f972c25bc12dd23f3e6e785a18	fbe1d58128d4b9e4f37da36deca1e385769d40f972c25bc12dd23f3e6e785a18	fbe1d58128d4b9e4f37da36deca1e385769d40f972c25bc12dd23f3e6e785a18	none-no-variant-delta
eprsd.f	MD05I	subroutine	1902	identical	identical	66a6fc4b665bba43e0144d5829fecf4678866056e31246d2b1bb822674130e9e	66a6fc4b665bba43e0144d5829fecf4678866056e31246d2b1bb822674130e9e	66a6fc4b665bba43e0144d5829fecf4678866056e31246d2b1bb822674130e9e	none-no-variant-delta
