path	utc_plus_14_sha256	utc_minus_12_sha256	relation
SAID.LOG	3ec2c06de0780259d14c77165e80fd74c22f7a29fc4fe6b6fd2491d6491182d5	96626f82616ed3b5d99a5c7f0fc3f036ea41ee13666a177c3242ad1f02914868	date_fields_only
SAID.PCT	eb86b55fcbbabec5c1d45df2e8fe612e932ef7dc086613bfed366040ac228a56	eb86b55fcbbabec5c1d45df2e8fe612e932ef7dc086613bfed366040ac228a56	exact
SAID.TMP	63ad8e85349fe11819885976ef96cbe3f6f65c288b290713acadbdf9a9280388	63ad8e85349fe11819885976ef96cbe3f6f65c288b290713acadbdf9a9280388	exact
file-trace.tsv	27a1d5949cf63b038b6e713fa86d5e3faf87480fb3740317f56c5c3c95cb3059	27a1d5949cf63b038b6e713fa86d5e3faf87480fb3740317f56c5c3c95cb3059	exact
fort.7	cb95a6bb17364a3b217afe9035238e31e87f726dbd7ad0dbd8ea2b8aed3c3e5d	cb95a6bb17364a3b217afe9035238e31e87f726dbd7ad0dbd8ea2b8aed3c3e5d	exact
input.txt	3a00f7eee4037226762e53be35920319d6292a6914936223574deed8a042c445	3a00f7eee4037226762e53be35920319d6292a6914936223574deed8a042c445	exact
manifest.txt	a1aaca751928936c2f4fdb1f32a84d556c6a39187f2bde7e1e8aee16a06f5de5	2a04130f4237d8d5e270e8251f8c8c9dce7cbc1375fcafd50da90f2f5065b9f2	hash_manifest_only
opened-files.txt	659eb27d82a0e782a0f4709d25c03e52aae9c66b4b1578cc04ce7cd504817cab	659eb27d82a0e782a0f4709d25c03e52aae9c66b4b1578cc04ce7cd504817cab	exact
stderr.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	exact
stdout.txt	caef081fa45c4e7c435a342127116d0e8c526f8fa30b4be94f18b2855db1cad2	2b058a68fa70e379d927d91b8f4ff183379e2f8b2dc8e24d5153520989dfe2ce	date_fields_only
