metric	kiritimati	gmt_minus_12
time_zone	Pacific/Kiritimati	Etc/GMT+12
outputs_commit	18bb3eaf005c2bd456bf76b3d038444fdf69a7b3	18bb3eaf005c2bd456bf76b3d038444fdf69a7b3
raw_manifest_sha256	3fc80f75c8b67ba6eb0cf1499501b398222845428e0e9fb96ec37ad14c1c7dfb	ace3583eca644eda89a5864a6c8a9985d7181ae2e3df9c293a91cfdf56bb81c8
canonical_manifest_sha256	5f7d3723738bc4bac949ab4ee9c20c138b581227146f85fbe9aa3aff35ea20cb	5f7d3723738bc4bac949ab4ee9c20c138b581227146f85fbe9aa3aff35ea20cb
canonicalization_replacements	51	51
modern_date_files_different	6	6
legacy_date_files_static	12	12
nondate_raw_files_exact	16	16
canonical_files_exact	34	34
raw_exact_vs_committed	2	2
raw_different_vs_committed	0	0
candidate_only_explicit	32	32
reference_only	3	3
archived_observable	0.2036E+01	0.2036E+01
live_observable	0.2098E+01	0.2098E+01
captured_website_observable	0.2098E+01	0.2098E+01
candidate_status	pass	pass
