lineage	relative_path	production_path	live_sha256	archive_path	archive_sha256	relation	added_lines	deleted_lines	hunks	classification	affected_routines	bounded_relevance
arndt	lib/junk.f	/home/arndt/lib/junk.f	0b00a86ced9c85a502dbe8b60fbcbb2d228d2f22e97ee99fb5545fb724e2e37e	lib/junk.f	69a0d9dba97f9563273ef1693c507f2b76aa40d67b597662db36bc0cb4a48eb5	different	118	179	28	build/operational;semantic-support	SAIDOPEN,PWPRT,SDDRAW,XYOFM,SAIDLOG	dataset roots and output/mail behavior; no physics formula identified
arndt	libxzl.for	/home/arndt/libxzl.for	6aea635affc66844ad323c4c9d96840f7f5805ea61502d07313ea4cc4d95ed17	libxzl.for	4bfb31e960ba1a1d0ac1e27e5ff5cc157a70d4064a0844e2615cdcb8fde44823	different	219	221	5	build/operational	SYMBOL,SAIDPS,SAIDLOG	plot title width, PostScript, transaction/mail behavior
arndt	said/nn1.f	/home/arndt/said/nn1.f	ba1b01263a596787fd8aa6e1e3a03ac0d2b296b1d584fcdca468336303bcf7ab	said/nn1.f	c8489e06897afa6cdd4de57ea1efd6b4754d40318e96b719939cb557d831468d	different	2	3	2	semantic;physics-relevant	SOLNN,GROSSPHS	production excludes LL=8 on GROSSPHS path; reachability unverified
arndt	said/prsd.f	/home/arndt/said/prsd.f	152d6f88e4fd82c5f3409c655b224848a35c74fdfba670a724ee2b886c30aeb0	said/prsd.f	892ac95dff98595d1c4b3c14c01f1f6ef8273fa3ed1c68f36c5b16afe436790e	different	119	94	44	semantic;physics-relevant;operational	PROBS,PROBSL,XFORM,PRSOL,PRDLT,EKDLT,PRSETC,SANDSCL	broad non-CM12 observable, mass, dispatch, background, and path drift; source/binary pairing unproved
arndt	said/pru.f	/home/arndt/said/pru.f	e9bcb74f494039c007ed8b2be73557d9cafa0b7a0456f750bfb7bcd3f206e58c	said/pru.f	462395fee5d67538e49ddbef24a9b0c292a63f6183da1cb56dff9d391dfa89ba	different	1	2	2	semantic;compiler-ABI-risk	QLEG,QLEGY	production caller/function return typing can be compiler-dependent
arndt	said/saidopen.for	/home/arndt/said/saidopen.for	0b00a86ced9c85a502dbe8b60fbcbb2d228d2f22e97ee99fb5545fb724e2e37e	said/saidopen.for	426a1184788004ff8847932819d5f78a381d4c56c6720c1095eb14736727abc0	different	121	185	30	build/operational;semantic-support	SAIDOPEN,PWPRT,SDDRAW,XYOFM,SAIDPSX,SAIDLOG	dataset roots and output/mail behavior; no physics formula identified
arndt64	said/epru.f	/home/arndt64/said/epru.f	83f46af4cb19909c9a44c6a1239d7c760bd07c6274b8451d62d342d256bc4a8a	said/epru.f	5e5b320215282decbea3d1c44d1dabc140bf51957d14fa1137bb8395fb07ebe5	different	0	1011	2	unresolved-support-copy;build-closure-risk	EPRU,EPRKIN,EPRQ2,EPRQX,EPRQZ,EHOPEC,EPROPEC,OPEKIN,OPEFF,EPROMG,EPRHOMG,EPRBORN,EPREAD,EPRDX,GEHLEN,PXPYPZ	partial arndt64 support copy omits required electroproduction routines; not active CM12 source
arndt64	said/prux.f	/home/arndt64/said/prux.f	de88dacafaf6e7e9d8db8331a3049af24822d60b90714a1a4800db024d82eb43	said/prux.f	1eb6847ff02a5b84c18ab10c019c6844ad3f19bf3b44fad39cd37ae7a5c2e822	different	17	332	11	semantic;physics-relevant-support-copy	PNPWI,PNSP06,PRREAD,HOPEC,PRBORN,PROPEC,QLEG,QLEGY	WI94 replaces SP06; u-channel and most background terms disabled; deployed reachability unresolved
arndt	said/junk.f	/home/arndt/said/junk.f	cf19885901496a9d67fb936f00512a1ff5db7cb0f356b89ca5b0cfc567399e1a	missing	missing	archive_missing	n/a	n/a	n/a	unresolved	unnamed main plus pion-nucleon routine collection	20,634-line production-only working source; no captured reference found
arndt	said/mkS.sh	/home/arndt/said/mkS.sh	a54babd120e27bd60468e631500743a081fd8c6c8e38dd6bf7068fb0a4ab5195	missing	missing	archive_missing	n/a	n/a	n/a	build/operational	interactive engine build menu	97-line g77-3.4 and GD/PNG/X11 build recipe; historical evidence only
