artifact	live_path	live_sha256	archive_sha256	relation
prsd.f	/home/arndt64/said/prsd.f	892ac95dff98595d1c4b3c14c01f1f6ef8273fa3ed1c68f36c5b16afe436790e	892ac95dff98595d1c4b3c14c01f1f6ef8273fa3ed1c68f36c5b16afe436790e	exact
prsd2.f	/home/arndt64/said/prsd2.f	2885b1b2b13ee8798a84c5d79d009a6be39aa961f4d0bf7e8c2b888055c0bd5e	2885b1b2b13ee8798a84c5d79d009a6be39aa961f4d0bf7e8c2b888055c0bd5e	exact
pru.f	/home/arndt64/said/pru.f	462395fee5d67538e49ddbef24a9b0c292a63f6183da1cb56dff9d391dfa89ba	462395fee5d67538e49ddbef24a9b0c292a63f6183da1cb56dff9d391dfa89ba	exact
cmmwp.f	/home/arndt64/said/cmmwp.f	92ff47f9c0d9ed0bccdd3aa71e860a38fca80157e36a215758bcf0230eea19e0	92ff47f9c0d9ed0bccdd3aa71e860a38fca80157e36a215758bcf0230eea19e0	exact
ysKCM.f90	/home/arndt64/said/ysKCM.f90	d818d12a0395a08143cb6bbb5144d82e74466ffafaa83eaf2a54b7b1263b369f	d818d12a0395a08143cb6bbb5144d82e74466ffafaa83eaf2a54b7b1263b369f	exact
cmprnt.f	/home/arndt64/said/cmprnt.f	7c716b311af1c7f4813bec901685f9c653647a9a89b4e1e45916ddb7e1d156e3	7c716b311af1c7f4813bec901685f9c653647a9a89b4e1e45916ddb7e1d156e3	exact
cnlpw.f	/home/arndt64/said/cnlpw.f	a3320ed69103d5138097bd8c772e410dc08b032012182e567d3f9e15de51bf5b	a3320ed69103d5138097bd8c772e410dc08b032012182e567d3f9e15de51bf5b	exact
vdump.f	/home/arndt64/said/vdump.f	d7a7a4ed7673e85c75e496298a43af756690982f73edd14f2cb170855d4c7a71	d7a7a4ed7673e85c75e496298a43af756690982f73edd14f2cb170855d4c7a71	exact
gettm.f	/home/arndt64/said/gettm.f	7949d65c50caee497dcdd3a13b3ac5e398ae1da16981a5395715105afa0a62b2	7949d65c50caee497dcdd3a13b3ac5e398ae1da16981a5395715105afa0a62b2	exact
prsdd	/home/arndt64/said/prsdd	8a3c925a3aa95314fb4ad4fa7a8cbfa0095df898ee6fa96dad2071d20789678a	8a3c925a3aa95314fb4ad4fa7a8cbfa0095df898ee6fa96dad2071d20789678a	exact
go3pr	/home/www/gwdac/cgi-bin/go3pr	289f8612b43af69b1820ff87af166ec15ea25c07514e756f7cbbee0c45146329	289f8612b43af69b1820ff87af166ec15ea25c07514e756f7cbbee0c45146329	exact_but_not_public_form_target
go3pr2	/home/www/gwdac/cgi-bin/go3pr2	3595bb9a9b29a1d959146ea27f3babc4bc83b348975535fea857c011a79c105b	f9ce0a1ee8d01db94e3743e199e6dc47cd874236f4ca1afe5c81d4748efe0a1e	modified_public_adapter
prsol.dat	/home/arndt64/sdat/prsol.dat	9f7b49e9bbc3fb76e7d8a11848cfcd7d7c31423b2548ff7a8080f90fdd6c931f	dbcaae30bbf44aca6e5482fc2b10b81cb6e1033cf41061bc089d5f6a85576522	expanded_57_vs_39_records
prsol.dat:first_CM12_record	/home/arndt64/sdat/prsol.dat:record_1	b1f03e20f94d8149b6ecce06669060b7fbaf693e42d0ff680479b54dc38c24b8	b1f03e20f94d8149b6ecce06669060b7fbaf693e42d0ff680479b54dc38c24b8	exact_121_lines_8534_bytes
KCM_dataset_set	/home/www/gwdac/cgi-bin/KCM/kcm*.dat	see_phase2_manifest	see_phase2_manifest	exact_18_of_18
