metric	candidate_a	candidate_b
time_zone	Pacific/Kiritimati	Etc/GMT+12
raw_manifest_sha256	84d9b12ad535e23f4563e88666b1ee0b04eada2cf1200f639e136bfa76275ca7	677689e7dab502beaff21e6387d5be2cdc1d5fab38133973e5269987b7269818
canonical_manifest_sha256	b9ac7f8639165a2dca6d9547f87673eada95d0a7d2166efdc7712dd6fa8518ce	b9ac7f8639165a2dca6d9547f87673eada95d0a7d2166efdc7712dd6fa8518ce
canonicalization_replacements	35	35
raw_exact_vs_committed	41	40
raw_different_vs_committed	21	22
candidate_only_explicit	7	7
reference_document_only	2	2
modern_date_files_different	9	9
legacy_date_files_static	2	2
derived_raw_files_different	3	3
nondate_raw_files_exact	55	55
canonical_files_exact	69	69
accepted_priming_observable	0.2098E+01	0.2098E+01
accepted_database_total_data	204	204
unpatched_database_total_data	238	238
historical_database_total_data	238	238
candidate_status	pass	pass
