status	path	classification
modified	phase1/reports/build-manifest.txt	two_PRRDX_provenance_fields_only_outside_package
modified	phase1/reports/gplot-build.log	stable_build_path_only_outside_package
modified	phase1/reports/prsdd-go5-diagnostic/accepted-database.selection-projection	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/accepted-database.stdout	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/accepted-priming.stdout	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/build-patched-traced/gplot-build.log	stable_build_path_only
modified	phase1/reports/prsdd-go5-diagnostic/build-patched/gplot-build.log	stable_build_path_only
modified	phase1/reports/prsdd-go5-diagnostic/build-unpatched-traced/gplot-build.log	stable_build_path_only
modified	phase1/reports/prsdd-go5-diagnostic/deck-comparison.diff	diff_headers_only_not_stabilized
modified	phase1/reports/prsdd-go5-diagnostic/fresh-patched-database.stdout	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/historical-arndt64-database.selection-projection	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/historical-arndt64-database.stdout	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/historical-vs-patched.diff	stable_labels_plus_legacy_runtime_date
modified	phase1/reports/prsdd-go5-diagnostic/historical-vs-unpatched.diff	stable_labels_plus_legacy_runtime_date
modified	phase1/reports/prsdd-go5-diagnostic/manifest.sha256	18_replaced_and_7_added_digest_rows
modified	phase1/reports/prsdd-go5-diagnostic/patched-traced-database.stdout	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/read-values.diff	stable_labels_only
modified	phase1/reports/prsdd-go5-diagnostic/unpatched-database-1.selection-projection	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/unpatched-database-1.stdout	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/unpatched-database-2.stdout	legacy_runtime_date_only
modified	phase1/reports/prsdd-go5-diagnostic/unpatched-traced-database.stdout	legacy_runtime_date_only
untracked	phase1/reports/prsdd-go5-diagnostic/build-unpatched/build-manifest.txt	new_manifest_coverage
untracked	phase1/reports/prsdd-go5-diagnostic/build-unpatched/fsplit.log	new_manifest_coverage
untracked	phase1/reports/prsdd-go5-diagnostic/build-unpatched/gplot-build.log	new_manifest_coverage
untracked	phase1/reports/prsdd-go5-diagnostic/build-unpatched/local-libraries-build.log	new_manifest_coverage
untracked	phase1/reports/prsdd-go5-diagnostic/build-unpatched/prsdd-core-build.log	new_manifest_coverage
untracked	phase1/reports/prsdd-go5-diagnostic/build-unpatched/prsdd-headless-build.log	new_manifest_coverage
untracked	phase1/reports/prsdd-go5-diagnostic/build-unpatched/prsdd-link.log	new_manifest_coverage
