metric	kiritimati	gmt_minus_12
time_zone	Pacific/Kiritimati	Etc/GMT+12
outputs_commit	12a2f4b81fb0bfaabbf760f247224129567acf56	12a2f4b81fb0bfaabbf760f247224129567acf56
raw_manifest_sha256	3e7d0145ef926521fd024eed89473b218bcb58bf0442520746a1fa2618e50ac2	84d9b12ad535e23f4563e88666b1ee0b04eada2cf1200f639e136bfa76275ca7
canonical_manifest_sha256	e3d3553d10add96d4d7ad210d9389b89f46df3c843a58462358123cf20ef333d	e3d3553d10add96d4d7ad210d9389b89f46df3c843a58462358123cf20ef333d
canonicalization_replacements	35	35
raw_exact_vs_committed	40	41
raw_different_vs_committed	22	21
candidate_only_explicit	7	7
reference_document_only	2	2
modern_date_files_different	9	9
legacy_date_files_static	2	2
derived_raw_files_different	3	3
nondate_raw_files_exact	55	55
canonical_files_exact	69	69
accepted_binary_sha256	958889882d91fce225c04bc18021725fec757bde6ea047df1bf93a4136c7aa4f	958889882d91fce225c04bc18021725fec757bde6ea047df1bf93a4136c7aa4f
accepted_priming_observable	0.2098E+01	0.2098E+01
accepted_database_total_data	204	204
unpatched_database_total_data	238	238
historical_database_total_data	238	238
file_length_invariant	pass	pass
line_count_invariant	pass	pass
line_length_invariant	pass	pass
candidate_status	pass	pass
