metric	value
status	candidate_pass
base_commit	7014a5a7486bb07f6c143938e4003a90337f7dc1
implementation_commit	e7578a4212135cfaa7d8ed9113116da92f55f5cf
contexts	2
generated_files_per_context	10
reference_documents	1
date_bearing_files	1
date_substitutions_per_context	5
nondate_raw_exact	9
canonical_exact	10
candidate_only_files	0
canonical_manifest_sha256	dc6e477ccd3b38eb0f2965f2091c3004513d3d3d1a2f40b725f34865e26f2c4c
witness_row_survives	yes
engine_exit_status	2
prrdx_eof	yes
compatibility_gate	fail
accepted_evidence_modified	no
physics_review	pending
