row_id	orbital_l	input_energy_mev	unscaled_real	unscaled_imag	expected_real	expected_imag
2	5	5.0081615336239338E-003	2.3886955916952238E-015	5.7058665060100354E-030	1.1768648455799790E-029	0.0000000000000000E+000
3	1	5.0081615336239338E-003	6.7302415845915675E-004	4.5296175699149899E-007	8.4334089933690848E-008	7.1122417376616627E-015
4	4	5.0081615336239338E-003	-3.8778539841050064E-013	1.5037750985222539E-025	-7.6297261037534098E-025	0.0000000000000000E+000
5	5	5.0081615336239338E-003	4.6220796456983727E-015	2.1363620153991231E-029	2.2772108393734072E-029	0.0000000000000000E+000
6	4	5.0081615336239338E-003	9.3281209579548774E-013	8.7013842757729048E-025	1.8353194086612874E-024	0.0000000000000000E+000
7	5	5.0081615336239338E-003	2.3886955916952238E-015	5.7058665060100354E-030	1.1768648455799790E-029	0.0000000000000000E+000
8	1	5.0081615336239338E-003	6.7302415845915675E-004	4.5296175699149899E-007	8.4334089933690848E-008	7.1122417376616627E-015
9	4	5.0081615336239338E-003	-3.8778539841050064E-013	1.5037750985222539E-025	-7.6297261037534098E-025	0.0000000000000000E+000
10	5	5.0081615336239338E-003	4.6220796456983727E-015	2.1363620153991231E-029	2.2772108393734072E-029	0.0000000000000000E+000
11	4	5.0081615336239338E-003	9.9808193394085309E-013	9.9616753604869140E-025	1.9637384698526685E-024	0.0000000000000000E+000
12	5	5.0081615336239338E-003	3.7746384285634958E-015	1.4247895816260325E-029	1.8596925492381747E-029	0.0000000000000000E+000
13	4	5.0081615336239338E-003	1.4760511606384807E-012	2.1787271267830035E-024	2.9041490212974993E-024	0.0000000000000000E+000
14	5	5.0081615336239338E-003	1.9958336639456804E-015	3.9833520034111257E-030	9.8330926232725406E-030	0.0000000000000000E+000
15	4	5.0081615336239338E-003	9.9808193394085309E-013	9.9616753604869140E-025	1.9637384698526685E-024	0.0000000000000000E+000
16	5	5.0081615336239338E-003	3.7746384285634958E-015	1.4247895816260325E-029	1.8596925492381747E-029	0.0000000000000000E+000
17	4	5.0081615336239338E-003	1.4760511606384807E-012	2.1787271267830035E-024	2.9041490212974993E-024	0.0000000000000000E+000
18	5	5.0081615336239338E-003	1.9958336639456804E-015	3.9833520034111257E-030	9.8330926232725406E-030	0.0000000000000000E+000
19	4	5.0081615336239338E-003	9.9808193394085309E-013	9.9616753604869140E-025	1.9637384698526685E-024	0.0000000000000000E+000
20	5	5.0081615336239338E-003	3.7746384285634958E-015	1.4247895816260325E-029	1.8596925492381747E-029	0.0000000000000000E+000
21	4	5.0081615336239338E-003	1.4760511606384807E-012	2.1787271267830035E-024	2.9041490212974993E-024	0.0000000000000000E+000
22	5	5.0081615336239338E-003	1.9958336639456804E-015	3.9833520034111257E-030	9.8330926232725406E-030	0.0000000000000000E+000
23	4	5.0081615336239338E-003	9.9808193394085309E-013	9.9616753604869140E-025	1.9637384698526685E-024	0.0000000000000000E+000
24	5	5.0081615336239338E-003	3.7746384285634958E-015	1.4247895816260325E-029	1.8596925492381747E-029	0.0000000000000000E+000
25	4	5.0081615336239338E-003	1.4760511606384807E-012	2.1787271267830035E-024	2.9041490212974993E-024	0.0000000000000000E+000
26	5	5.0081615336239338E-003	1.9958336639456804E-015	3.9833520034111257E-030	9.8330926232725406E-030	0.0000000000000000E+000
