independent_variable	independent_value	a1_real_mfm	a1_imag_mfm	a2_real_mfm	a2_imag_mfm	a3_real_mfm	a3_imag_mfm	a4_real_mfm	a4_imag_mfm
Acm	0.0	0.00	0.00	-41.91	-17.43	0.00	0.00	0.00	0.00
Acm	2.6	-0.70	2.58	-40.66	-17.41	1.25	0.09	0.99	0.30
Acm	5.2	-1.30	5.14	-37.38	-17.35	4.53	0.35	1.89	0.59
Acm	7.8	-1.77	7.65	-33.11	-17.25	8.78	0.78	2.66	0.88
Acm	10.4	-2.11	10.07	-28.82	-17.12	13.05	1.37	3.31	1.16
Acm	13.0	-2.34	12.40	-25.03	-16.94	16.79	2.12	3.87	1.44
Acm	15.7	-2.50	14.59	-21.92	-16.72	19.81	3.01	4.36	1.70
Acm	18.3	-2.60	16.64	-19.46	-16.47	22.14	4.03	4.81	1.96
Acm	20.9	-2.67	18.51	-17.55	-16.18	23.84	5.16	5.23	2.21
Acm	23.5	-2.71	20.20	-16.09	-15.85	25.02	6.39	5.63	2.44
Acm	26.1	-2.72	21.68	-14.96	-15.49	25.78	7.70	6.00	2.66
Acm	28.7	-2.72	22.95	-14.07	-15.09	26.19	9.06	6.35	2.86
Acm	31.3	-2.71	23.98	-13.35	-14.65	26.31	10.46	6.67	3.05
Acm	33.9	-2.69	24.77	-12.75	-14.18	26.18	11.88	6.95	3.23
Acm	36.5	-2.67	25.31	-12.21	-13.68	25.83	13.30	7.21	3.39
Acm	39.1	-2.65	25.60	-11.71	-13.15	25.31	14.68	7.42	3.53
Acm	41.7	-2.65	25.64	-11.21	-12.59	24.63	16.02	7.58	3.66
Acm	44.3	-2.67	25.44	-10.70	-12.01	23.81	17.28	7.70	3.77
Acm	47.0	-2.72	24.98	-10.15	-11.40	22.87	18.46	7.77	3.88
Acm	49.6	-2.80	24.29	-9.56	-10.77	21.82	19.54	7.78	3.97
Acm	52.2	-2.92	23.37	-8.93	-10.12	20.68	20.48	7.74	4.05
Acm	54.8	-3.08	22.23	-8.24	-9.46	19.47	21.30	7.65	4.12
Acm	57.4	-3.30	20.89	-7.50	-8.78	18.19	21.95	7.50	4.19
Acm	60.0	-3.57	19.36	-6.72	-8.10	16.85	22.45	7.30	4.25
Acm	62.6	-3.90	17.67	-5.90	-7.41	15.48	22.77	7.05	4.30
Acm	65.2	-4.29	15.83	-5.04	-6.72	14.08	22.92	6.75	4.36
Acm	67.8	-4.74	13.87	-4.16	-6.03	12.67	22.89	6.41	4.42
Acm	70.4	-5.24	11.80	-3.27	-5.35	11.25	22.67	6.04	4.48
Acm	73.0	-5.79	9.65	-2.37	-4.68	9.84	22.26	5.64	4.55
Acm	75.7	-6.40	7.45	-1.49	-4.02	8.45	21.68	5.21	4.63
Acm	78.3	-7.04	5.22	-0.62	-3.38	7.08	20.93	4.77	4.72
Acm	80.9	-7.72	2.99	0.22	-2.76	5.75	20.01	4.32	4.82
Acm	83.5	-8.42	0.77	1.02	-2.17	4.47	18.93	3.86	4.94
Acm	86.1	-9.14	-1.40	1.77	-1.60	3.23	17.71	3.41	5.08
Acm	88.7	-9.86	-3.50	2.45	-1.07	2.06	16.36	2.97	5.24
Acm	91.3	-10.57	-5.52	3.08	-0.57	0.95	14.90	2.55	5.43
Acm	93.9	-11.26	-7.43	3.63	-0.10	-0.10	13.33	2.14	5.64
Acm	96.5	-11.92	-9.21	4.10	0.32	-1.07	11.69	1.76	5.88
Acm	99.1	-12.54	-10.84	4.49	0.71	-1.97	9.98	1.42	6.15
Acm	101.7	-13.10	-12.32	4.80	1.06	-2.80	8.23	1.10	6.46
Acm	104.3	-13.59	-13.62	5.02	1.36	-3.54	6.46	0.82	6.79
