fixture_id	energy_group	first_epx	trace_rows	retained_rows	all_no_dispatch	all_branch_7	all_branch_10	all_other_dispatch	retained_no_dispatch	retained_branch_7	retained_branch_10	retained_other_dispatch	first_previous_title	first_dispatch_title
cm12_pi_plus_h1_baseline	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_pi_plus_h1_fixed_w	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_pi_plus_h1_energy_sweep	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_pi_plus_h1_energy_sweep	2	2.4995724487304688E+002	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_energy_sweep	3	4.4995715332031250E+002	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_energy_sweep	4	6.4995715332031250E+002	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_energy_sweep	5	8.4995721435546875E+002	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_w_sweep	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_pi_plus_h1_w_sweep	2	2.8143624877929688E+002	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_w_sweep	3	5.7986248779296875E+002	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_w_sweep	4	9.2092077636718750E+002	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_w_sweep	5	1.3046112060546875E+003	26	18	0	26	0	0	0	18	0	0	SP00	SP00
cm12_pi_plus_h1_cosine_clamp	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_pi_plus_h1_max_grid	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_pi_plus_h1_single_point	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_pi_plus_h1_choice_zero	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_unknown_observable_h1_recovery	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
cm12_invalid_reaction_h1_recovery	1	0.0000000000000000E+000	26	18	1	25	0	0	1	17	0	0	BLANK	M05
