row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	epx	epxx	pnmod_input_ll	pnmod_derived_l	pnmod_nfx	pnmod_branch	pnmod_pg1	pnmod_pg2	pnmod_pg3	pnmod_tr_before	pnmod_ti_before	pnmod_tr_after	pnmod_ti_after	pnpwi_ein	pnpwi_postmod_tr	pnpwi_postmod_ti	pnmod_early_return	dispatch_n	dispatch_title	previous_title	effective_e	dither_before	pnpwi_result_tr	pnpwi_result_ti	addresk_nf	addresk_pg1	addresk_pg2	addresk_pg3	addresk_pre_tr	addresk_pre_ti	addresk_post_tr	addresk_post_ti
1	1	1	5	2	5	3	25	0.0000000000000000E+000	0.0000000000000000E+000	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0	NA	NA	NA	NA	NA	NA	NA	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	6	2	5	3	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	M05	BLANK	7.4506341552734375E+002	1.0000000474974513E-003	-7.1251031477004290E-004	4.9346947344020009E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-7.1251031477004290E-004	4.9346947344020009E-004	-7.1251031477004290E-004	4.9346947344020009E-004
3	1	2	2	2	1	4	21	7.4506243896484375E+002	7.4506243896484375E+002	1	2	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	M05	7.4506146240234375E+002	-1.0000000474974513E-003	-1.1632582545280457E-001	9.4507776200771332E-002	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-1.1632582545280457E-001	9.4507776200771332E-002	-1.1632582545280457E-001	9.4507776200771332E-002
4	1	2	5	2	5	4	25	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	-1.3102222001180053E-003	4.0501941111870110E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-1.3102222001180053E-003	4.0501941111870110E-004	-1.3102222001180053E-003	4.0501941111870110E-004
5	1	2	6	2	5	4	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	7.5954715721309185E-003	3.6894826916977763E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.5954715721309185E-003	3.6894826916977763E-004	7.5954715721309185E-003	3.6894826916977763E-004
6	2	1	5	2	5	3	25	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	-1.2803527060896158E-003	1.7043546540662646E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-1.2803527060896158E-003	1.7043546540662646E-003	-1.2803527060896158E-003	1.7043546540662646E-003
7	2	1	6	2	5	3	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	-7.1250565815716982E-004	4.9346615560352802E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-7.1250565815716982E-004	4.9346615560352802E-004	-7.1250565815716982E-004	4.9346615560352802E-004
8	2	2	2	2	1	4	21	7.4506243896484375E+002	7.4506243896484375E+002	1	2	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	-1.1632512509822845E-001	9.4507992267608643E-002	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-1.1632512509822845E-001	9.4507992267608643E-002	-1.1632512509822845E-001	9.4507992267608643E-002
9	2	2	5	2	5	4	25	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	-1.3102222001180053E-003	4.0501941111870110E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-1.3102222001180053E-003	4.0501941111870110E-004	-1.3102222001180053E-003	4.0501941111870110E-004
10	2	2	6	2	5	4	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	7.5954715721309185E-003	3.6894826916977763E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.5954715721309185E-003	3.6894826916977763E-004	7.5954715721309185E-003	3.6894826916977763E-004
11	3	1	5	2	5	1	25	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	3.0879555270075798E-002	3.2522007822990417E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.0879555270075798E-002	3.2522007822990417E-003	3.0879555270075798E-002	3.2522007822990417E-003
12	3	1	6	2	5	1	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	3.9015440270304680E-003	1.0443581268191338E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.9015440270304680E-003	1.0443581268191338E-003	3.9015440270304680E-003	1.0443581268191338E-003
13	3	2	5	2	5	2	25	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	3.8529555313289165E-003	8.3602493396028876E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.8529555313289165E-003	8.3602493396028876E-004	3.8529555313289165E-003	8.3602493396028876E-004
14	3	2	6	2	5	2	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	-3.0288607813417912E-003	9.1740830612252466E-006	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-3.0288607813417912E-003	9.1740830612252466E-006	-3.0288607813417912E-003	9.1740830612252466E-006
15	4	1	5	2	5	1	25	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	3.0879555270075798E-002	3.2522007822990417E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.0879555270075798E-002	3.2522007822990417E-003	3.0879555270075798E-002	3.2522007822990417E-003
16	4	1	6	2	5	1	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	3.9015440270304680E-003	1.0443581268191338E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.9015440270304680E-003	1.0443581268191338E-003	3.9015440270304680E-003	1.0443581268191338E-003
17	4	2	5	2	5	2	25	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	3.8529555313289165E-003	8.3602493396028876E-004	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.8529555313289165E-003	8.3602493396028876E-004	3.8529555313289165E-003	8.3602493396028876E-004
18	4	2	6	2	5	2	25	7.4506243896484375E+002	7.4506243896484375E+002	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	-3.0288607813417912E-003	9.1740830612252466E-006	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-3.0288607813417912E-003	9.1740830612252466E-006	-3.0288607813417912E-003	9.1740830612252466E-006
19	5	1	5	0	3	1	3	7.4506243896484375E+002	7.4506243896484375E+002	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	7.4506243896484375E+002	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	7.4506243896484375E+002	1.0000000474974513E-003	3.0879555270075798E-002	3.2522007822990417E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.0879555270075798E-002	3.2522007822990417E-003	3.0879555270075798E-002	3.2522007822990417E-003
