row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	epx	epxx	pnmod_input_ll	pnmod_derived_l	pnmod_nfx	pnmod_branch	pnmod_pg1	pnmod_pg2	pnmod_pg3	pnmod_tr_before	pnmod_ti_before	pnmod_tr_after	pnmod_ti_after	pnpwi_ein	pnpwi_postmod_tr	pnpwi_postmod_ti	pnmod_early_return	dispatch_n	dispatch_title	previous_title	effective_e	dither_before	pnpwi_result_tr	pnpwi_result_ti	addresk_nf	addresk_pg1	addresk_pg2	addresk_pg3	addresk_pre_tr	addresk_pre_ti	addresk_post_tr	addresk_post_ti
1	1	1	5	2	5	3	25	0.0000000000000000E+000	0.0000000000000000E+000	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0	NA	NA	NA	NA	NA	NA	NA	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	6	2	5	3	25	2.5642589569091797E+001	2.5642589569091797E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	M05	BLANK	2.5643589019775391E+001	1.0000000474974513E-003	2.1776405123574705E-009	4.7421180911062632E-018	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.1776405123574705E-009	4.7421180911062632E-018	2.1776405123574705E-009	4.7421180911062632E-018
3	1	2	2	2	1	4	21	2.5642589569091797E+001	2.5642589569091797E+001	1	2	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	M05	2.5641590118408203E+001	-1.0000000474974513E-003	3.3604983240365982E-002	1.1305732186883688E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.3604983240365982E-002	1.1305732186883688E-003	3.3604983240365982E-002	1.1305732186883688E-003
4	1	2	5	2	5	4	25	2.5642589569091797E+001	2.5642589569091797E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	2.5642589569091797E+001	1.0000000474974513E-003	-3.0092429881278804E-008	9.0555434770098154E-016	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-3.0092429881278804E-008	9.0555434770098154E-016	-3.0092429881278804E-008	9.0555434770098154E-016
5	1	2	6	2	5	4	25	2.5642589569091797E+001	2.5642589569091797E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	2.5642589569091797E+001	1.0000000474974513E-003	4.8804711383354515E-009	2.3818998265070678E-017	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.8804711383354515E-009	2.3818998265070678E-017	4.8804711383354515E-009	2.3818998265070678E-017
6	2	1	5	2	5	3	25	2.5642589569091797E+001	2.5642589569091797E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	2.5642589569091797E+001	1.0000000474974513E-003	6.8012376175374811E-008	4.6256833473724661E-015	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	6.8012376175374811E-008	4.6256833473724661E-015	6.8012376175374811E-008	4.6256833473724661E-015
7	2	1	6	2	5	3	25	2.5642589569091797E+001	2.5642589569091797E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	2.5642589569091797E+001	1.0000000474974513E-003	2.1772021963073485E-009	4.7402093718427971E-018	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.1772021963073485E-009	4.7402093718427971E-018	2.1772021963073485E-009	4.7402093718427971E-018
8	2	2	2	2	1	4	21	2.5642589569091797E+001	2.5642589569091797E+001	1	2	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	2.5642589569091797E+001	1.0000000474974513E-003	3.3607088029384613E-002	1.1307148961350322E-003	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	3.3607088029384613E-002	1.1307148961350322E-003	3.3607088029384613E-002	1.1307148961350322E-003
9	2	2	5	2	5	4	25	2.5642589569091797E+001	2.5642589569091797E+001	4	5	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	2.5642589569091797E+001	1.0000000474974513E-003	-3.0092429881278804E-008	9.0555434770098154E-016	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	-3.0092429881278804E-008	9.0555434770098154E-016	-3.0092429881278804E-008	9.0555434770098154E-016
10	2	2	6	2	5	4	25	2.5642589569091797E+001	2.5642589569091797E+001	5	6	0	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	2.5642589569091797E+001	0.0000000000000000E+000	0.0000000000000000E+000	0	7	SP00	SP00	2.5642589569091797E+001	1.0000000474974513E-003	4.8804711383354515E-009	2.3818998265070678E-017	0	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	4.8804711383354515E-009	2.3818998265070678E-017	4.8804711383354515E-009	2.3818998265070678E-017
