family	branch	orbital_l	selector	classification	disposition	legacy_real	legacy_imag	kernel_real	kernel_imag	multipole_exact	delta_exact
1	1	2	134	cm12-1xx	kernel-applied	  4.65638542E+00	 -5.01512718E+00	  4.65638542E+00	 -5.01512718E+00	T	T
1	1	3	134	cm12-1xx	kernel-applied	  3.97655547E-01	  1.72551736E-01	  3.97655547E-01	  1.72551736E-01	T	T
1	1	4	25	non-1xx	kernel-omitted	  4.17836428E-01	  0.00000000E+00	  0.00000000E+00	  0.00000000E+00	T	T
1	1	5	25	non-1xx	kernel-omitted	  7.37437606E-03	  2.15369277E-04	  0.00000000E+00	  0.00000000E+00	T	T
1	2	0	135	cm12-1xx	kernel-applied	  9.80077667E+01	  3.63939285E-01	  9.80077667E+01	  3.63939285E-01	T	T
1	2	1	21	non-1xx	kernel-omitted	  3.49321961E-01	  3.19479138E-01	  0.00000000E+00	  0.00000000E+00	T	T
1	2	2	134	cm12-1xx	kernel-applied	 -1.13448262E-01	  5.59291653E-02	 -1.13448262E-01	  5.59291653E-02	T	T
1	2	3	134	cm12-1xx	kernel-applied	 -1.08209848E-02	 -2.93202847E-02	 -1.08209848E-02	 -2.93202847E-02	T	T
1	2	4	25	non-1xx	kernel-omitted	 -3.41433287E-03	  1.70138475E-04	  0.00000000E+00	  0.00000000E+00	T	T
1	2	5	25	non-1xx	kernel-omitted	  5.46912849E-03	 -6.81133824E-04	  0.00000000E+00	  0.00000000E+00	T	T
2	1	1	134	cm12-1xx	kernel-applied	  1.71526680E+01	  6.19004011E-01	  1.71526680E+01	  6.19004011E-01	T	T
2	1	2	134	cm12-1xx	kernel-applied	  7.61779785E-01	  1.07537746E+00	  7.61779785E-01	  1.07537746E+00	T	T
2	1	3	134	cm12-1xx	kernel-applied	  3.42539012E-01	  9.42951366E-02	  3.42539012E-01	  9.42951366E-02	T	T
2	1	4	25	non-1xx	kernel-omitted	  6.80322051E-02	  1.26112311E-04	  0.00000000E+00	  0.00000000E+00	T	T
2	1	5	25	non-1xx	kernel-omitted	  1.63064525E-02	  2.66161887E-03	  0.00000000E+00	  0.00000000E+00	T	T
2	2	1	21	non-1xx	kernel-omitted	 -2.29756145E+01	  7.72319078E-01	  0.00000000E+00	  0.00000000E+00	T	T
2	2	2	134	cm12-1xx	kernel-applied	  1.37342048E+00	  2.59190390E-04	  1.37342048E+00	  2.59190390E-04	T	T
2	2	3	124	cm12-1xx	kernel-applied	  4.26299274E-01	  2.33433977E-01	  4.26299274E-01	  2.33433977E-01	T	T
2	2	4	25	non-1xx	kernel-omitted	  5.21117859E-02	 -1.26335013E-04	  0.00000000E+00	  0.00000000E+00	T	T
2	2	5	25	non-1xx	kernel-omitted	 -7.40393996E-04	 -2.00306240E-04	  0.00000000E+00	  0.00000000E+00	T	T
