independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
Acm	0.000	0.1008E+02	0.0000E+00	0.00	0.3224E+02
Acm	10.000	0.6988E+01	0.0000E+00	5.60	0.2212E+02
Acm	20.000	0.7432E+01	0.0000E+00	11.26	0.2282E+02
Acm	30.000	0.8829E+01	0.0000E+00	17.03	0.2575E+02
Acm	40.000	0.9264E+01	0.0000E+00	22.99	0.2514E+02
Acm	50.000	0.8448E+01	0.0000E+00	29.19	0.2091E+02
Acm	60.000	0.6642E+01	0.0000E+00	35.71	0.1468E+02
Acm	70.000	0.4505E+01	0.0000E+00	42.64	0.8714E+01
Acm	80.000	0.2805E+01	0.0000E+00	50.09	0.4656E+01
Acm	90.000	0.2036E+01	0.0000E+00	58.15	0.2845E+01
Acm	100.000	0.2187E+01	0.0000E+00	66.98	0.2529E+01
Acm	110.000	0.2820E+01	0.0000E+00	76.71	0.2658E+01
Acm	120.000	0.3371E+01	0.0000E+00	87.52	0.2562E+01
Acm	130.000	0.3489E+01	0.0000E+00	99.57	0.2130E+01
Acm	140.000	0.3186E+01	0.0000E+00	113.02	0.1570E+01
Acm	150.000	0.2730E+01	0.0000E+00	127.94	0.1105E+01
Acm	160.000	0.2388E+01	0.0000E+00	144.29	0.8234E+00
Acm	170.000	0.2242E+01	0.0000E+00	161.81	0.6945E+00
Acm	180.000	0.2213E+01	0.0000E+00	180.00	0.6602E+00
