wave	component	path	rows	fields_per_row	first_wcm_mev	last_wcm_mev	bytes	sha256
S11	cmm	said/KCM.100330/cmmS11.dat	275	21	1080.0	2450.0	68200	6e1a8e44a3a2033ade8846d8ec3422c280b8fe935702f974ba14e5d212eff37b
S11	cmf	said/KCM.100330/cmfS11.dat	275	9	1080.0	2450.0	28600	63413d194dc7cddd1d657c541967dfb8572cd3cc57d6067c88b561cee651d6d7
S11	kcm	said/KCM.100330/kcmS11.dat	275	11	1080.0	2450.0	35200	c2e389c965507ab28f71aa30b81d558d2b359a3988b2f03470d683e89a7261f8
S31	cmm	said/KCM.100330/cmmS31.dat	275	21	1080.0	2450.0	68200	3d867d184224c25d446afbedd4fdcd29fe0d3a39fc78c0606c35cfe10ff72fe9
S31	cmf	said/KCM.100330/cmfS31.dat	275	9	1080.0	2450.0	28600	987595a2738af48cc95c0da8b218204c77b6f7263e2243d3f549c84164d88eb0
S31	kcm	said/KCM.100330/kcmS31.dat	275	11	1080.0	2450.0	35200	13b9c422a08af1b62415a80819bf0809e2bea50097e1669fd9149d8f0e8a5fc2
P11	cmm	said/KCM.100330/cmmP11.dat	275	21	1080.0	2450.0	68200	7de9c00ae19d886fe7ac646bdabab50421ced0325de4ead209beaec4f0332243
P11	cmf	said/KCM.100330/cmfP11.dat	275	9	1080.0	2450.0	28600	9cb9f36a59a182273120c05c4f098eb11d94acb891abf9476926e08d53c55dfb
P11	kcm	said/KCM.100330/kcmP11.dat	275	11	1080.0	2450.0	35200	ca3adb2d7d6e0196f015b832848fbccfcb4291be67d0083fe7be2968008c6945
P31	cmm	said/KCM.100330/cmmP31.dat	275	21	1080.0	2450.0	68200	6e15b81969d5deda7cebbabdb30c7b4b64664d8a33a1d688dfbb5510c8f8ab4c
P31	cmf	said/KCM.100330/cmfP31.dat	275	9	1080.0	2450.0	28600	7584a8672853c74c675b7f91efee59bc001cdb74cf9daf143413c4a32d5c5830
P31	kcm	said/KCM.100330/kcmP31.dat	275	11	1080.0	2450.0	35200	c8bc7d9dd368c4424689d0a464f6ff00daed2e52470a8509bedc384aa7cfe596
P13	cmm	said/KCM.100330/cmmP13.dat	275	21	1080.0	2450.0	68200	b2f2ec2509e0745df27821fe0fdfaa81f7bafd06de7ba9353bd38b187ded3f87
P13	cmf	said/KCM.100330/cmfP13.dat	275	9	1080.0	2450.0	28600	9cb9f36a59a182273120c05c4f098eb11d94acb891abf9476926e08d53c55dfb
P13	kcm	said/KCM.100330/kcmP13.dat	275	11	1080.0	2450.0	35200	7cdeeb810c9af57a79e939d7eb40096c78119468022ab98f93998293099cf847
P33	cmm	said/KCM.100330/cmmP33.dat	275	21	1080.0	2450.0	68200	309d4715e4bd3993cbd8b4da52e1d63e052be131d72d7e15d4760b8fab363d19
P33	cmf	said/KCM.100330/cmfP33.dat	275	9	1080.0	2450.0	28600	7584a8672853c74c675b7f91efee59bc001cdb74cf9daf143413c4a32d5c5830
P33	kcm	said/KCM.100330/kcmP33.dat	275	11	1080.0	2450.0	35200	2ca3471b2bb0f5115c77478fcf276b423d3a762a941f2da6acc2b889f857f9ea
D13	cmm	said/KCM.100330/cmmD13.dat	275	21	1080.0	2450.0	68200	1a0d7f06e71cb51fea03b141c374e1a2d81ed5382c6699b7d3f5ee62a6638096
D13	cmf	said/KCM.100330/cmfD13.dat	275	9	1080.0	2450.0	28600	6729e1f92b9a4fd7ae494833b19b18a08f767e9b506cce4177de5f614d3d0d88
D13	kcm	said/KCM.100330/kcmD13.dat	275	11	1080.0	2450.0	35200	11d55a7f247337c4a7b145f458e4c97fc6be2a2e54817505e31218199c7628fc
D33	cmm	said/KCM.100330/cmmD33.dat	275	21	1080.0	2450.0	68200	0981be2724faf9585eaa7d2205fd543f638ff7175101219ad14974cfe0deacc7
D33	cmf	said/KCM.100330/cmfD33.dat	275	9	1080.0	2450.0	28600	2b97208b01062f0b77d003d1d94275c0428fe380ee33b7fc33df7ff25e5a6949
D33	kcm	said/KCM.100330/kcmD33.dat	275	11	1080.0	2450.0	35200	c0eec2d52ecc257349ddcd97d8961a9fdb5ac85c6a79e073becf04c93a76e105
