point	lab_energy	row	family	branch	legacy_l	state_index	selector	dispatch	dispatch_title	previous_title	formula_title	pre_reset_energy	input_energy	effective_energy	dither_before	hadronic_real	hadronic_imag	born	opec	ter	tei	der	dei	w_cm	final_meson_energy	photon_cm_momentum	meson_cm_momentum
1	 2.0000000000000000E+002	1	1	1	5	3	25	F	[    ]	[    ]	[    ]	 4.9957183837890625E+001	 0.0000000000000000E+000	 0.0000000000000000E+000	 0.0000000000000000E+000	 0.0000000000000000E+000	 0.0000000000000000E+000	-7.1944087743759155E-002	-7.1967527270317078E-002	 0.0000000000000000E+000	 0.0000000000000000E+000	 0.0000000000000000E+000	 0.0000000000000000E+000	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	2	1	1	6	3	25	T	[M05 ]	[    ]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9958183288574219E+001	 1.0000000474974513E-003	 6.2733320760344213E-008	 3.9354696564563533E-015	-1.6427410766482353E-002	-1.6427855938673019E-002	 6.2733320760344213E-008	 3.9354696564563533E-015	-1.6427410766482353E-002	-1.0305459818837903E-009	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	3	1	2	2	4	21	T	[SP00]	[M05 ]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9956184387207031E+001	-1.0000000474974513E-003	 1.0080006718635559E-001	 1.0266045108437538E-002	-2.6932139396667480E+000	-2.6054832935333252E+000	 1.0080006718635559E-001	 1.0266045108437538E-002	-2.8072450160980225E+000	-2.8590559959411621E-001	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	4	1	2	5	4	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	-4.8717561185185332E-007	 2.3734006838853350E-013	-2.8598332777619362E-002	-2.8597820550203323E-002	-4.8717561185185332E-007	 2.3734006838853350E-013	-2.8598332777619362E-002	 1.3932409892447595E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	5	1	2	6	4	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.6130076119225123E-007	 2.6017934958181763E-014	-7.7687674202024937E-003	-7.7687562443315983E-003	 1.6130076119225123E-007	 2.6017934958181763E-014	-7.7670589089393616E-003	-1.2528325044058874E-009	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	6	2	1	5	3	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.0293753121004556E-006	 1.0596135514157057E-012	-1.1428775265812874E-002	-1.1441626586019993E-002	 1.0293753121004556E-006	 1.0596135514157057E-012	-1.1022436432540417E-002	-1.1346223516284226E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	7	2	1	6	3	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 6.2727060878842167E-008	 3.9346840333977749E-015	-2.4033598601818085E-003	-2.4036276154220104E-003	 6.2727060878842167E-008	 3.9346840333977749E-015	-2.4020632263273001E-003	-1.5067437575400078E-010	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	8	2	2	2	4	21	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.0080360621213913E-001	 1.0266773402690887E-002	 1.1245162963867188E+001	 8.9035930633544922E+000	 1.0080360621213913E-001	 1.0266773402690887E-002	 1.9179101943969727E+001	 1.9533774852752686E+000	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	9	2	2	5	4	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	-4.8717561185185332E-007	 2.3734006838853350E-013	 8.9966049417853355E-003	 8.9882630854845047E-003	-4.8717561185185332E-007	 2.3734006838853350E-013	 8.9966049417853355E-003	-4.3829264662065270E-009	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	10	2	2	6	4	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.6130076119225123E-007	 2.6017934958181763E-014	 2.0104835275560617E-003	 2.0103091374039650E-003	 1.6130076119225123E-007	 2.6017934958181763E-014	 2.0089303143322468E-003	 3.2404198768709591E-010	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	11	3	1	5	1	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 1.5929455230434542E-006	 2.5374754381024545E-012	 4.7368902713060379E-002	 4.7361090779304504E-002	 1.5929455230434542E-006	 2.5374754381024545E-012	 4.7368902713060379E-002	 7.5456078718616482E-008	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
1	 2.0000000000000000E+002	12	3	1	6	1	25	T	[SP00]	[SP00]	[SP00]	 4.9957183837890625E+001	 4.9957183837890625E+001	 4.9957183837890625E+001	 1.0000000474974513E-003	 9.4136034078928787E-008	 8.8615926256046043E-015	 1.0976892895996571E-002	 1.0976744815707207E-002	 9.4136034078928787E-008	 8.8615926256046043E-015	 1.0976892895996571E-002	 1.0333212063784458E-009	 1.1205474853515625E+003	 4.9957183837890625E+001	 1.6746383666992188E+002	 1.0546128082275391E+002
