point	lab_energy	row	family	branch	legacy_l	state_index	selector	legacy_dispatch	candidate_dispatch	legacy_title	candidate_title	legacy_previous	candidate_previous	legacy_epx	candidate_pre_reset	legacy_input	candidate_input	legacy_effective	candidate_effective	legacy_dither	candidate_dither	legacy_real	candidate_real	legacy_imag	candidate_imag	exact	first_field
1	 2.0000000000000000E+002	1	1	1	5	3	25	F	F	BLANK	BLANK	BLANK	BLANK	0.0000000000000000E+000	 4.9957183837890625E+001	0.0000000000000000E+000	 0.0000000000000000E+000	NA	 0.0000000000000000E+000	NA	 0.0000000000000000E+000	NA	 0.0000000000000000E+000	NA	 0.0000000000000000E+000	T	NA
1	 2.0000000000000000E+002	2	1	1	6	3	25	T	T	M05	M05	BLANK	BLANK	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9958183288574219E+001	 4.9958183288574219E+001	1.0000000474974513E-003	 1.0000000474974513E-003	6.2733320760344213E-008	 6.2733320760344213E-008	3.9354696564563533E-015	 3.9354696564563533E-015	T	NA
1	 2.0000000000000000E+002	3	1	2	2	4	21	T	T	SP00	SP00	M05	M05	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9956184387207031E+001	 4.9956184387207031E+001	-1.0000000474974513E-003	-1.0000000474974513E-003	1.0080006718635559E-001	 1.0080006718635559E-001	1.0266045108437538E-002	 1.0266045108437538E-002	T	NA
1	 2.0000000000000000E+002	4	1	2	5	4	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	-4.8717561185185332E-007	-4.8717561185185332E-007	2.3734006838853350E-013	 2.3734006838853350E-013	T	NA
1	 2.0000000000000000E+002	5	1	2	6	4	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.6130076119225123E-007	 1.6130076119225123E-007	2.6017934958181763E-014	 2.6017934958181763E-014	T	NA
1	 2.0000000000000000E+002	6	2	1	5	3	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.0293753121004556E-006	 1.0293753121004556E-006	1.0596135514157057E-012	 1.0596135514157057E-012	T	NA
1	 2.0000000000000000E+002	7	2	1	6	3	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	6.2727060878842167E-008	 6.2727060878842167E-008	3.9346840333977749E-015	 3.9346840333977749E-015	T	NA
1	 2.0000000000000000E+002	8	2	2	2	4	21	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.0080360621213913E-001	 1.0080360621213913E-001	1.0266773402690887E-002	 1.0266773402690887E-002	T	NA
1	 2.0000000000000000E+002	9	2	2	5	4	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	-4.8717561185185332E-007	-4.8717561185185332E-007	2.3734006838853350E-013	 2.3734006838853350E-013	T	NA
1	 2.0000000000000000E+002	10	2	2	6	4	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.6130076119225123E-007	 1.6130076119225123E-007	2.6017934958181763E-014	 2.6017934958181763E-014	T	NA
1	 2.0000000000000000E+002	11	3	1	5	1	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.5929455230434542E-006	 1.5929455230434542E-006	2.5374754381024545E-012	 2.5374754381024545E-012	T	NA
1	 2.0000000000000000E+002	12	3	1	6	1	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	9.4136034078928787E-008	 9.4136034078928787E-008	8.8615926256046043E-015	 8.8615926256046043E-015	T	NA
1	 2.0000000000000000E+002	13	3	2	5	2	25	T	T	SP00	SP00	SP00	SP00	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	4.9957183837890625E+001	 4.9957183837890625E+001	1.0000000474974513E-003	 1.0000000474974513E-003	1.6810497527330881E-006	 1.6810497527330881E-006	2.8259282934539609E-012	 2.8259282934539609E-012	T	NA
