row	angle	predicted_obs	measured_obs	error	dchi
1	10.000	0.14353E-03	0.20000E-02	0.10000E-02	-0.185E+01
2	30.000	0.18497E-03	0.10000E-02	0.10000E-02	-0.810E+00
3	50.000	0.26230E-03	0.20000E-02	0.10000E-02	-0.173E+01
4	70.000	0.36546E-03	0.20000E-02	0.10000E-02	-0.163E+01
5	90.000	0.48138E-03	0.30000E-02	0.10000E-02	-0.251E+01
6	110.000	0.59564E-03	0.50000E-02	0.10000E-02	-0.439E+01
7	130.000	0.69447E-03	0.40000E-02	0.10000E-02	-0.329E+01
8	150.000	0.76659E-03	0.60000E-02	0.20000E-02	-0.261E+01
9	170.000	0.80445E-03	0.70000E-02	0.20000E-02	-0.309E+01
10	10.000	0.28095E-03	0.00000E+00	0.10000E-02	0.291E+00
11	30.000	0.34925E-03	0.10000E-02	0.10000E-02	-0.638E+00
12	50.000	0.47668E-03	0.30000E-02	0.10000E-02	-0.251E+01
13	70.000	0.64665E-03	0.40000E-02	0.10000E-02	-0.333E+01
14	90.000	0.83761E-03	0.40000E-02	0.10000E-02	-0.313E+01
15	110.000	0.10257E-02	0.60000E-02	0.20000E-02	-0.247E+01
16	130.000	0.11879E-02	0.70000E-02	0.20000E-02	-0.288E+01
17	150.000	0.13058E-02	0.50000E-02	0.20000E-02	-0.182E+01
18	170.000	0.13675E-02	0.20000E-02	0.50000E-02	-0.116E+00
19	10.000	0.14142E-02	0.20000E-02	0.10000E-02	-0.422E+00
20	30.000	0.16106E-02	0.50000E-02	0.10000E-02	-0.320E+01
21	50.000	0.19759E-02	0.70000E-02	0.20000E-02	-0.240E+01
22	70.000	0.24625E-02	0.80000E-02	0.20000E-02	-0.263E+01
23	90.000	0.30092E-02	0.10000E-01	0.20000E-02	-0.332E+01
24	110.000	0.35467E-02	0.90000E-02	0.20000E-02	-0.252E+01
25	130.000	0.40069E-02	0.11000E-01	0.20000E-02	-0.327E+01
26	150.000	0.43368E-02	0.12000E-01	0.30000E-02	-0.239E+01
27	170.000	0.45069E-02	0.15000E-01	0.60000E-02	-0.166E+01
28	10.000	0.15702E-02	0.30000E-02	0.20000E-02	-0.619E+00
29	30.000	0.17807E-02	0.40000E-02	0.10000E-02	-0.200E+01
30	50.000	0.21721E-02	0.60000E-02	0.10000E-02	-0.356E+01
31	70.000	0.26933E-02	0.60000E-02	0.10000E-02	-0.298E+01
32	90.000	0.32788E-02	0.10000E-01	0.20000E-02	-0.316E+01
33	110.000	0.38542E-02	0.12000E-01	0.20000E-02	-0.384E+01
34	130.000	0.43465E-02	0.13000E-01	0.20000E-02	-0.406E+01
35	150.000	0.46990E-02	0.14000E-01	0.30000E-02	-0.291E+01
36	170.000	0.48805E-02	0.11000E-01	0.30000E-02	-0.184E+01
37	8.440	0.29688E-02	0.10000E-02	0.40000E-02	0.628E+00
38	24.500	0.31867E-02	0.13000E-01	0.50000E-02	-0.185E+01
39	40.500	0.35938E-02	0.10000E-01	0.30000E-02	-0.192E+01
40	56.500	0.41540E-02	0.14000E-01	0.30000E-02	-0.303E+01
41	72.500	0.48210E-02	0.16000E-01	0.30000E-02	-0.343E+01
42	88.500	0.55415E-02	0.12000E-01	0.30000E-02	-0.182E+01
43	104.500	0.62565E-02	0.24000E-01	0.40000E-02	-0.415E+01
44	120.500	0.69064E-02	0.24000E-01	0.50000E-02	-0.317E+01
45	136.500	0.74392E-02	0.18000E-01	0.50000E-02	-0.184E+01
46	152.500	0.78199E-02	0.26000E-01	0.70000E-02	-0.239E+01
47	168.500	0.80317E-02	0.10000E-01	0.80000E-02	-0.630E-01
48	18.190	0.35032E-02	0.40000E-02	0.16000E-02	0.396E+00
49	31.790	0.38036E-02	0.30000E-02	0.21000E-02	0.967E+00
50	41.410	0.41010E-02	0.63000E-02	0.25000E-02	-0.350E+00
51	49.460	0.43962E-02	0.61000E-02	0.27000E-02	-0.106E+00
52	56.630	0.46893E-02	0.48000E-02	0.28000E-02	0.501E+00
53	63.260	0.49812E-02	0.73000E-02	0.26000E-02	-0.274E+00
54	69.510	0.52710E-02	0.98000E-02	0.27000E-02	-0.105E+01
55	75.520	0.55599E-02	0.16300E-01	0.22000E-02	-0.407E+01
56	81.370	0.58475E-02	0.10900E-01	0.26000E-02	-0.122E+01
57	87.130	0.61336E-02	0.16900E-01	0.22000E-02	-0.399E+01
58	92.870	0.64188E-02	0.11300E-01	0.25000E-02	-0.112E+01
59	98.630	0.67017E-02	0.16300E-01	0.21000E-02	-0.354E+01
60	104.480	0.69826E-02	0.17500E-01	0.19000E-02	-0.435E+01
61	110.490	0.72610E-02	0.15000E-01	0.18000E-02	-0.300E+01
62	116.740	0.75362E-02	0.16600E-01	0.20000E-02	-0.332E+01
63	123.370	0.78084E-02	0.16500E-01	0.19000E-02	-0.325E+01
64	130.540	0.80760E-02	0.20900E-01	0.20000E-02	-0.511E+01
65	138.590	0.83388E-02	0.18500E-01	0.19000E-02	-0.393E+01
66	148.210	0.85956E-02	0.21000E-01	0.18000E-02	-0.535E+01
67	161.810	0.88459E-02	0.19200E-01	0.12000E-02	-0.625E+01
68	10.000	0.35133E-02	0.50000E-02	0.60000E-02	-0.158E+00
69	30.000	0.38796E-02	0.30000E-02	0.10000E-02	0.147E+01
70	50.000	0.45571E-02	0.50000E-02	0.10000E-02	0.254E+00
71	70.000	0.54545E-02	0.11000E-01	0.20000E-02	-0.236E+01
72	90.000	0.64595E-02	0.14000E-01	0.20000E-02	-0.328E+01
73	110.000	0.74442E-02	0.14000E-01	0.20000E-02	-0.271E+01
74	130.000	0.82810E-02	0.21000E-01	0.30000E-02	-0.382E+01
75	150.000	0.88733E-02	0.20000E-01	0.30000E-02	-0.326E+01
76	170.000	0.91746E-02	0.16000E-01	0.50000E-02	-0.108E+01
77	10.000	0.47980E-02	0.10000E-02	0.20000E-02	0.235E+01
78	30.000	0.52580E-02	0.60000E-02	0.20000E-02	0.123E+00
79	50.000	0.61059E-02	0.11000E-01	0.20000E-02	-0.187E+01
80	70.000	0.72250E-02	0.15000E-01	0.20000E-02	-0.321E+01
81	90.000	0.84746E-02	0.16000E-01	0.20000E-02	-0.297E+01
