row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact	typed_predicted	legacy_predicted	typed_dchi	legacy_dchi
1	yes	no	yes	yes	no	no	0.12850E-03	0.14353E-03	-0.187E+01	-0.185E+01
2	yes	no	yes	yes	no	no	0.16033E-03	0.18497E-03	-0.836E+00	-0.810E+00
3	yes	no	yes	yes	no	no	0.22215E-03	0.26230E-03	-0.177E+01	-0.173E+01
4	yes	no	yes	yes	no	no	0.30965E-03	0.36546E-03	-0.168E+01	-0.163E+01
5	yes	no	yes	yes	no	no	0.41514E-03	0.48138E-03	-0.258E+01	-0.251E+01
6	yes	no	yes	yes	no	no	0.52695E-03	0.59564E-03	-0.446E+01	-0.439E+01
7	yes	no	yes	yes	no	no	0.63034E-03	0.69447E-03	-0.336E+01	-0.329E+01
8	yes	no	yes	yes	no	no	0.71001E-03	0.76659E-03	-0.264E+01	-0.261E+01
9	yes	no	yes	yes	no	no	0.75336E-03	0.80445E-03	-0.311E+01	-0.309E+01
10	yes	no	yes	yes	no	no	0.23394E-03	0.28095E-03	0.241E+00	0.291E+00
11	yes	no	yes	yes	no	no	0.27941E-03	0.34925E-03	-0.712E+00	-0.638E+00
12	yes	no	yes	yes	no	no	0.37015E-03	0.47668E-03	-0.262E+01	-0.251E+01
13	yes	no	yes	yes	no	no	0.50361E-03	0.64665E-03	-0.348E+01	-0.333E+01
14	yes	no	yes	yes	no	no	0.67133E-03	0.83761E-03	-0.331E+01	-0.313E+01
15	yes	no	yes	yes	no	no	0.85597E-03	0.10257E-02	-0.256E+01	-0.247E+01
16	yes	no	yes	yes	no	no	0.10319E-02	0.11879E-02	-0.297E+01	-0.288E+01
17	yes	no	yes	yes	no	no	0.11704E-02	0.13058E-02	-0.190E+01	-0.182E+01
18	yes	no	yes	yes	no	no	0.12467E-02	0.13675E-02	-0.143E+00	-0.116E+00
19	yes	no	yes	yes	no	no	0.10322E-02	0.14142E-02	-0.867E+00	-0.422E+00
20	yes	no	yes	yes	no	no	0.10962E-02	0.16106E-02	-0.380E+01	-0.320E+01
21	yes	no	yes	yes	no	no	0.12505E-02	0.19759E-02	-0.281E+01	-0.240E+01
22	yes	no	yes	yes	no	no	0.15313E-02	0.24625E-02	-0.316E+01	-0.263E+01
23	yes	no	yes	yes	no	no	0.19560E-02	0.30092E-02	-0.393E+01	-0.332E+01
24	yes	no	yes	yes	no	no	0.24939E-02	0.35467E-02	-0.313E+01	-0.252E+01
25	yes	no	yes	yes	no	no	0.30591E-02	0.40069E-02	-0.382E+01	-0.327E+01
26	yes	no	yes	yes	no	no	0.35326E-02	0.43368E-02	-0.271E+01	-0.239E+01
27	yes	no	yes	yes	no	no	0.38024E-02	0.45069E-02	-0.180E+01	-0.166E+01
28	yes	no	yes	yes	no	no	0.11373E-02	0.15702E-02	-0.872E+00	-0.619E+00
29	yes	no	yes	yes	no	no	0.12001E-02	0.17807E-02	-0.268E+01	-0.200E+01
30	yes	no	yes	yes	no	no	0.13560E-02	0.21721E-02	-0.450E+01	-0.356E+01
