call_id	energy_index	ne	na	ir	ir0	nnbt	it	nnl	iprk	nfg_nonzero	pg_nonzero	bcoff	kill	solution	selector	formula_title
1	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
2	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
3	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
4	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
5	1	1	11	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
6	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
7	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
8	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
9	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
10	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
11	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
12	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
13	1	1	11	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
14	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
15	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
16	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
17	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
18	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
19	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
20	1	1	11	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
21	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
22	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
23	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
24	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
25	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
26	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
27	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
28	1	1	11	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
29	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
30	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
31	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
32	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
33	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
34	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
35	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
36	1	1	11	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
37	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
38	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
39	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
40	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
41	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
42	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
43	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
44	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
45	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
46	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
47	1	1	7	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
48	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
49	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
50	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
51	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
52	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
53	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
54	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
55	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
56	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
57	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
58	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
59	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
60	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
61	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
62	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
63	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
64	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
65	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
66	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
67	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
68	1	1	7	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
69	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
70	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
71	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
72	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
73	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
74	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
75	1	1	18	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
76	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
77	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
78	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
79	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
80	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
81	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
82	1	1	20	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
83	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
84	1	1	9	1	0	0	1	6	0	0	0	0.0000000000000000E+000	0.0000000000000000E+000	CM12	M05_	M05_
