row	angle	predicted_obs	measured_obs	error	dchi
1	10.000	0.12850E-03	0.20000E-02	0.10000E-02	-0.187E+01
2	30.000	0.16033E-03	0.10000E-02	0.10000E-02	-0.836E+00
3	50.000	0.22215E-03	0.20000E-02	0.10000E-02	-0.177E+01
4	70.000	0.30965E-03	0.20000E-02	0.10000E-02	-0.168E+01
5	90.000	0.41514E-03	0.30000E-02	0.10000E-02	-0.258E+01
6	110.000	0.52695E-03	0.50000E-02	0.10000E-02	-0.446E+01
7	130.000	0.63034E-03	0.40000E-02	0.10000E-02	-0.336E+01
8	150.000	0.71001E-03	0.60000E-02	0.20000E-02	-0.264E+01
9	170.000	0.75336E-03	0.70000E-02	0.20000E-02	-0.311E+01
10	10.000	0.23394E-03	0.00000E+00	0.10000E-02	0.241E+00
11	30.000	0.27941E-03	0.10000E-02	0.10000E-02	-0.712E+00
12	50.000	0.37015E-03	0.30000E-02	0.10000E-02	-0.262E+01
13	70.000	0.50361E-03	0.40000E-02	0.10000E-02	-0.348E+01
14	90.000	0.67133E-03	0.40000E-02	0.10000E-02	-0.331E+01
15	110.000	0.85597E-03	0.60000E-02	0.20000E-02	-0.256E+01
16	130.000	0.10319E-02	0.70000E-02	0.20000E-02	-0.297E+01
17	150.000	0.11704E-02	0.50000E-02	0.20000E-02	-0.190E+01
18	170.000	0.12467E-02	0.20000E-02	0.50000E-02	-0.143E+00
19	10.000	0.10322E-02	0.20000E-02	0.10000E-02	-0.867E+00
20	30.000	0.10962E-02	0.50000E-02	0.10000E-02	-0.380E+01
21	50.000	0.12505E-02	0.70000E-02	0.20000E-02	-0.281E+01
22	70.000	0.15313E-02	0.80000E-02	0.20000E-02	-0.316E+01
23	90.000	0.19560E-02	0.10000E-01	0.20000E-02	-0.393E+01
24	110.000	0.24939E-02	0.90000E-02	0.20000E-02	-0.313E+01
25	130.000	0.30591E-02	0.11000E-01	0.20000E-02	-0.382E+01
26	150.000	0.35326E-02	0.12000E-01	0.30000E-02	-0.271E+01
27	170.000	0.38024E-02	0.15000E-01	0.60000E-02	-0.180E+01
28	10.000	0.11373E-02	0.30000E-02	0.20000E-02	-0.872E+00
29	30.000	0.12001E-02	0.40000E-02	0.10000E-02	-0.268E+01
30	50.000	0.13560E-02	0.60000E-02	0.10000E-02	-0.450E+01
31	70.000	0.16478E-02	0.60000E-02	0.10000E-02	-0.418E+01
32	90.000	0.20977E-02	0.10000E-01	0.20000E-02	-0.384E+01
33	110.000	0.26746E-02	0.12000E-01	0.20000E-02	-0.452E+01
34	130.000	0.32854E-02	0.13000E-01	0.20000E-02	-0.469E+01
35	150.000	0.37995E-02	0.14000E-01	0.30000E-02	-0.327E+01
36	170.000	0.40933E-02	0.11000E-01	0.30000E-02	-0.216E+01
37	8.440	0.20583E-02	0.10000E-02	0.40000E-02	0.339E+00
38	24.500	0.20795E-02	0.13000E-01	0.50000E-02	-0.212E+01
39	40.500	0.21523E-02	0.10000E-01	0.30000E-02	-0.251E+01
40	56.500	0.23279E-02	0.14000E-01	0.30000E-02	-0.378E+01
41	72.500	0.26593E-02	0.16000E-01	0.30000E-02	-0.432E+01
42	88.500	0.31763E-02	0.12000E-01	0.30000E-02	-0.279E+01
43	104.500	0.38634E-02	0.24000E-01	0.40000E-02	-0.490E+01
44	120.500	0.46516E-02	0.24000E-01	0.50000E-02	-0.374E+01
45	136.500	0.54300E-02	0.18000E-01	0.50000E-02	-0.236E+01
46	152.500	0.60715E-02	0.26000E-01	0.70000E-02	-0.272E+01
47	168.500	0.64641E-02	0.10000E-01	0.80000E-02	-0.326E+00
48	18.190	0.35016E-02	0.40000E-02	0.16000E-02	0.395E+00
49	31.790	0.37977E-02	0.30000E-02	0.21000E-02	0.964E+00
50	41.410	0.40912E-02	0.63000E-02	0.25000E-02	-0.355E+00
51	49.460	0.43832E-02	0.61000E-02	0.27000E-02	-0.112E+00
52	56.630	0.46737E-02	0.48000E-02	0.28000E-02	0.494E+00
53	63.260	0.49636E-02	0.73000E-02	0.26000E-02	-0.282E+00
54	69.510	0.52522E-02	0.98000E-02	0.27000E-02	-0.106E+01
55	75.520	0.55403E-02	0.16300E-01	0.22000E-02	-0.408E+01
56	81.370	0.58277E-02	0.10900E-01	0.26000E-02	-0.123E+01
57	87.130	0.61142E-02	0.16900E-01	0.22000E-02	-0.401E+01
58	92.870	0.64001E-02	0.11300E-01	0.25000E-02	-0.113E+01
59	98.630	0.66840E-02	0.16300E-01	0.21000E-02	-0.355E+01
60	104.480	0.69662E-02	0.17500E-01	0.19000E-02	-0.436E+01
61	110.490	0.72459E-02	0.15000E-01	0.18000E-02	-0.301E+01
62	116.740	0.75224E-02	0.16600E-01	0.20000E-02	-0.332E+01
63	123.370	0.77956E-02	0.16500E-01	0.19000E-02	-0.326E+01
64	130.540	0.80641E-02	0.20900E-01	0.20000E-02	-0.512E+01
65	138.590	0.83274E-02	0.18500E-01	0.19000E-02	-0.394E+01
66	148.210	0.85843E-02	0.21000E-01	0.18000E-02	-0.536E+01
67	161.810	0.88341E-02	0.19200E-01	0.12000E-02	-0.626E+01
68	10.000	0.35123E-02	0.50000E-02	0.60000E-02	-0.158E+00
69	30.000	0.38726E-02	0.30000E-02	0.10000E-02	0.147E+01
70	50.000	0.45413E-02	0.50000E-02	0.10000E-02	0.238E+00
71	70.000	0.54322E-02	0.11000E-01	0.20000E-02	-0.237E+01
72	90.000	0.64368E-02	0.14000E-01	0.20000E-02	-0.329E+01
73	110.000	0.74255E-02	0.14000E-01	0.20000E-02	-0.272E+01
74	130.000	0.82658E-02	0.21000E-01	0.30000E-02	-0.382E+01
75	150.000	0.88589E-02	0.20000E-01	0.30000E-02	-0.326E+01
76	170.000	0.91597E-02	0.16000E-01	0.50000E-02	-0.109E+01
77	10.000	0.47972E-02	0.10000E-02	0.20000E-02	0.235E+01
78	30.000	0.52488E-02	0.60000E-02	0.20000E-02	0.118E+00
79	50.000	0.60845E-02	0.11000E-01	0.20000E-02	-0.189E+01
80	70.000	0.71953E-02	0.15000E-01	0.20000E-02	-0.323E+01
81	90.000	0.84455E-02	0.16000E-01	0.20000E-02	-0.298E+01
82	110.000	0.96727E-02	0.18000E-01	0.20000E-02	-0.325E+01
83	130.000	0.10710E-01	0.29000E-01	0.30000E-02	-0.542E+01
84	150.000	0.11437E-01	0.29000E-01	0.40000E-02	-0.385E+01
85	170.000	0.11802E-01	0.21000E-01	0.40000E-02	-0.174E+01
86	5.000	0.54423E-02	0.00000E+00	0.10000E-01	0.571E+00
87	15.000	0.55706E-02	0.00000E+00	0.60000E-02	0.974E+00
88	25.000	0.58215E-02	0.40000E-02	0.50000E-02	0.422E+00
89	35.000	0.61853E-02	0.90000E-02	0.50000E-02	-0.502E+00
90	45.000	0.66486E-02	0.40000E-02	0.60000E-02	0.496E+00
91	55.000	0.71961E-02	0.14000E-01	0.60000E-02	-0.107E+01
92	65.000	0.78108E-02	0.15000E-01	0.60000E-02	-0.113E+01
93	75.000	0.84742E-02	0.90000E-02	0.50000E-02	-0.214E-01
94	85.000	0.91655E-02	0.15000E-01	0.50000E-02	-0.108E+01
95	95.000	0.98621E-02	0.24000E-01	0.50000E-02	-0.273E+01
96	105.000	0.10540E-01	0.18000E-01	0.60000E-02	-0.116E+01
97	115.000	0.11175E-01	0.31000E-01	0.60000E-02	-0.321E+01
98	125.000	0.11746E-01	0.29000E-01	0.60000E-02	-0.278E+01
99	135.000	0.12236E-01	0.26000E-01	0.50000E-02	-0.263E+01
100	145.000	0.12634E-01	0.26000E-01	0.50000E-02	-0.255E+01
101	155.000	0.12932E-01	0.38000E-01	0.50000E-02	-0.489E+01
102	165.000	0.13131E-01	0.22000E-01	0.50000E-02	-0.164E+01
103	175.000	0.13230E-01	0.33000E-01	0.90000E-02	-0.212E+01
104	10.000	0.63404E-02	0.20000E-02	0.20000E-02	0.264E+01
