metric	observed	reference	classification
cold_lifecycle_exact_rows	25	26	CAPTURED
cold_lifecycle_first_difference	1:pre_reset_energy	none	CAPTURED
primed_lifecycle_exact_rows	0	26	CAPTURED
primed_lifecycle_first_difference	1:dispatch	none	CAPTURED
unpatched_typed_go5_vs_instrumented	exact	exact	PASS
unpatched_legacy_go5_vs_instrumented	exact	exact	PASS
unpatched_typed_go3_vs_instrumented	exact	exact	PASS
unpatched_legacy_go3_vs_instrumented	exact	exact	PASS
unpatched_typed_vs_legacy_go5_exact_rows	0	1533	CAPTURED
unpatched_typed_go3	0.2036E+01	0.2098E+01	CAPTURED
hardening_validation	PASS	PASS	PASS
