row	angle_equal	predicted_equal	measured_equal	error_equal	dchi_equal	exact
1	yes	no	yes	yes	no	no
2	yes	no	yes	yes	no	no
3	yes	no	yes	yes	no	no
4	yes	no	yes	yes	no	no
5	yes	no	yes	yes	no	no
6	yes	no	yes	yes	no	no
7	yes	no	yes	yes	no	no
8	yes	no	yes	yes	no	no
9	yes	no	yes	yes	no	no
10	yes	no	yes	yes	no	no
11	yes	no	yes	yes	no	no
12	yes	no	yes	yes	no	no
13	yes	no	yes	yes	no	no
14	yes	no	yes	yes	no	no
15	yes	no	yes	yes	no	no
16	yes	no	yes	yes	no	no
17	yes	no	yes	yes	no	no
18	yes	no	yes	yes	no	no
19	yes	no	yes	yes	no	no
20	yes	no	yes	yes	no	no
21	yes	no	yes	yes	no	no
22	yes	no	yes	yes	no	no
23	yes	no	yes	yes	no	no
24	yes	no	yes	yes	no	no
25	yes	no	yes	yes	no	no
26	yes	no	yes	yes	no	no
27	yes	no	yes	yes	no	no
28	yes	no	yes	yes	no	no
29	yes	no	yes	yes	no	no
30	yes	no	yes	yes	no	no
31	yes	no	yes	yes	no	no
32	yes	no	yes	yes	no	no
33	yes	no	yes	yes	no	no
34	yes	no	yes	yes	no	no
35	yes	no	yes	yes	no	no
36	yes	no	yes	yes	no	no
37	yes	no	yes	yes	no	no
38	yes	no	yes	yes	no	no
39	yes	no	yes	yes	no	no
40	yes	no	yes	yes	no	no
41	yes	no	yes	yes	no	no
42	yes	no	yes	yes	no	no
43	yes	no	yes	yes	no	no
44	yes	no	yes	yes	no	no
45	yes	no	yes	yes	no	no
46	yes	no	yes	yes	no	no
47	yes	no	yes	yes	no	no
48	yes	no	yes	yes	no	no
49	yes	no	yes	yes	no	no
50	yes	no	yes	yes	no	no
51	yes	no	yes	yes	no	no
52	yes	no	yes	yes	no	no
53	yes	no	yes	yes	no	no
54	yes	no	yes	yes	no	no
55	yes	no	yes	yes	no	no
56	yes	no	yes	yes	no	no
57	yes	no	yes	yes	no	no
58	yes	no	yes	yes	no	no
59	yes	no	yes	yes	no	no
60	yes	no	yes	yes	no	no
61	yes	no	yes	yes	no	no
62	yes	no	yes	yes	yes	no
63	yes	no	yes	yes	no	no
64	yes	no	yes	yes	no	no
65	yes	no	yes	yes	no	no
66	yes	no	yes	yes	no	no
67	yes	no	yes	yes	no	no
68	yes	no	yes	yes	yes	no
69	yes	no	yes	yes	yes	no
70	yes	no	yes	yes	no	no
71	yes	no	yes	yes	no	no
72	yes	no	yes	yes	no	no
73	yes	no	yes	yes	no	no
74	yes	no	yes	yes	yes	no
75	yes	no	yes	yes	yes	no
76	yes	no	yes	yes	no	no
77	yes	no	yes	yes	yes	no
78	yes	no	yes	yes	no	no
79	yes	no	yes	yes	no	no
80	yes	no	yes	yes	no	no
81	yes	no	yes	yes	no	no
82	yes	no	yes	yes	no	no
83	yes	no	yes	yes	yes	no
84	yes	no	yes	yes	yes	no
85	yes	no	yes	yes	yes	no
86	yes	no	yes	yes	yes	no
87	yes	no	yes	yes	no	no
88	yes	no	yes	yes	no	no
89	yes	no	yes	yes	no	no
90	yes	no	yes	yes	no	no
91	yes	no	yes	yes	yes	no
92	yes	no	yes	yes	yes	no
93	yes	no	yes	yes	no	no
94	yes	no	yes	yes	no	no
95	yes	no	yes	yes	no	no
96	yes	no	yes	yes	no	no
97	yes	no	yes	yes	yes	no
98	yes	no	yes	yes	yes	no
99	yes	no	yes	yes	yes	no
100	yes	no	yes	yes	no	no
101	yes	no	yes	yes	no	no
102	yes	no	yes	yes	yes	no
103	yes	no	yes	yes	yes	no
104	yes	no	yes	yes	yes	no
105	yes	no	yes	yes	yes	no
106	yes	no	yes	yes	no	no
107	yes	no	yes	yes	no	no
108	yes	no	yes	yes	no	no
109	yes	no	yes	yes	no	no
110	yes	no	yes	yes	yes	no
111	yes	no	yes	yes	no	no
112	yes	no	yes	yes	no	no
113	yes	no	yes	yes	no	no
114	yes	no	yes	yes	yes	no
115	yes	no	yes	yes	no	no
116	yes	no	yes	yes	no	no
117	yes	no	yes	yes	no	no
118	yes	no	yes	yes	yes	no
119	yes	no	yes	yes	no	no
120	yes	no	yes	yes	yes	no
121	yes	no	yes	yes	no	no
122	yes	no	yes	yes	no	no
123	yes	no	yes	yes	yes	no
124	yes	no	yes	yes	no	no
125	yes	no	yes	yes	no	no
126	yes	no	yes	yes	no	no
127	yes	no	yes	yes	yes	no
128	yes	no	yes	yes	no	no
129	yes	no	yes	yes	no	no
130	yes	no	yes	yes	yes	no
131	yes	no	yes	yes	no	no
