row_id	family	branch	legacy_l	state_index	form_selector	typed_dispatch	legacy_dispatch	typed_title	legacy_title	typed_previous	legacy_previous	typed_pre_reset	legacy_pre_reset	typed_post_reset	legacy_post_reset	typed_input	legacy_epxx	typed_effective	legacy_effective	typed_dither	legacy_dither	typed_hadronic_real	legacy_hadronic_real	typed_hadronic_imag	legacy_hadronic_imag	exact	first_field
1	1	1	5	3	25	F	F		NA		NA	5.0081615336239338E-003	5.0081615336239338E-003	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	NA	0.0000000000000000E+000	NA	0.0000000000000000E+000	NA	0.0000000000000000E+000	NA	yes	NA
2	1	1	6	3	25	T	T	M05	M05			5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	2.3886955916952238E-015	2.3886955916952238E-015	5.7058665060100354E-030	5.7058665060100354E-030	yes	NA
3	1	2	2	4	21	T	T	SP00	SP00	M05	M05	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	-1.0000000474974513E-003	-1.0000000474974513E-003	6.7302415845915675E-004	6.7302415845915675E-004	4.5296175699149899E-007	4.5296175699149899E-007	yes	NA
4	1	2	5	4	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	-3.8778539841050064E-013	-3.8778539841050064E-013	1.5037750985222539E-025	1.5037750985222539E-025	yes	NA
5	1	2	6	4	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	4.6220796456983727E-015	4.6220796456983727E-015	2.1363620153991231E-029	2.1363620153991231E-029	yes	NA
6	2	1	5	3	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	9.3281209579548774E-013	9.3281209579548774E-013	8.7013842757729048E-025	8.7013842757729048E-025	yes	NA
7	2	1	6	3	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	2.3886955916952238E-015	2.3886955916952238E-015	5.7058665060100354E-030	5.7058665060100354E-030	yes	NA
8	2	2	2	4	21	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	6.7302415845915675E-004	6.7302415845915675E-004	4.5296175699149899E-007	4.5296175699149899E-007	yes	NA
9	2	2	5	4	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	-3.8778539841050064E-013	-3.8778539841050064E-013	1.5037750985222539E-025	1.5037750985222539E-025	yes	NA
10	2	2	6	4	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	4.6220796456983727E-015	4.6220796456983727E-015	2.1363620153991231E-029	2.1363620153991231E-029	yes	NA
11	3	1	5	1	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	9.9808193394085309E-013	9.9808193394085309E-013	9.9616753604869140E-025	9.9616753604869140E-025	yes	NA
12	3	1	6	1	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	3.7746384285634958E-015	3.7746384285634958E-015	1.4247895816260325E-029	1.4247895816260325E-029	yes	NA
13	3	2	5	2	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.4760511606384807E-012	1.4760511606384807E-012	2.1787271267830035E-024	2.1787271267830035E-024	yes	NA
14	3	2	6	2	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.9958336639456804E-015	1.9958336639456804E-015	3.9833520034111257E-030	3.9833520034111257E-030	yes	NA
15	4	1	5	1	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	9.9808193394085309E-013	9.9808193394085309E-013	9.9616753604869140E-025	9.9616753604869140E-025	yes	NA
16	4	1	6	1	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	3.7746384285634958E-015	3.7746384285634958E-015	1.4247895816260325E-029	1.4247895816260325E-029	yes	NA
17	4	2	5	2	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.4760511606384807E-012	1.4760511606384807E-012	2.1787271267830035E-024	2.1787271267830035E-024	yes	NA
18	4	2	6	2	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.9958336639456804E-015	1.9958336639456804E-015	3.9833520034111257E-030	3.9833520034111257E-030	yes	NA
19	5	1	5	1	3	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	9.9808193394085309E-013	9.9808193394085309E-013	9.9616753604869140E-025	9.9616753604869140E-025	yes	NA
20	5	1	6	1	3	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	3.7746384285634958E-015	3.7746384285634958E-015	1.4247895816260325E-029	1.4247895816260325E-029	yes	NA
21	5	2	5	2	3	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.4760511606384807E-012	1.4760511606384807E-012	2.1787271267830035E-024	2.1787271267830035E-024	yes	NA
22	5	2	6	2	3	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.9958336639456804E-015	1.9958336639456804E-015	3.9833520034111257E-030	3.9833520034111257E-030	yes	NA
23	6	1	5	1	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	9.9808193394085309E-013	9.9808193394085309E-013	9.9616753604869140E-025	9.9616753604869140E-025	yes	NA
24	6	1	6	1	3	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	3.7746384285634958E-015	3.7746384285634958E-015	1.4247895816260325E-029	1.4247895816260325E-029	yes	NA
25	6	2	5	2	25	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.4760511606384807E-012	1.4760511606384807E-012	2.1787271267830035E-024	2.1787271267830035E-024	yes	NA
26	6	2	6	2	3	T	T	SP00	SP00	SP00	SP00	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	2.0000000000000000E+000	2.0000000000000000E+000	1.0000000474974513E-003	1.0000000474974513E-003	1.9958336639456804E-015	1.9958336639456804E-015	3.9833520034111257E-030	3.9833520034111257E-030	yes	NA
