sequence	row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	pre_reset_energy	post_reset_energy	epxx	dispatch	dispatch_branch	dispatch_title	previous_title	effective_energy	dither_before	hadronic_real	hadronic_imag
1	1	1	1	5	2	5	3	25	5.0081615336239338E-003	0.0000000000000000E+000	0.0000000000000000E+000	F	NA	NA	NA	NA	NA	NA	NA
1	2	1	1	6	2	5	3	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	M05	BLANK	2.0000000000000000E+000	1.0000000474974513E-003	2.3886955916952238E-015	5.7058665060100354E-030
1	3	1	2	2	2	1	4	21	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	M05	2.0000000000000000E+000	-1.0000000474974513E-003	6.7302415845915675E-004	4.5296175699149899E-007
1	4	1	2	5	2	5	4	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	-3.8778539841050064E-013	1.5037750985222539E-025
1	5	1	2	6	2	5	4	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	4.6220796456983727E-015	2.1363620153991231E-029
1	6	2	1	5	2	5	3	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	9.3281209579548774E-013	8.7013842757729048E-025
1	7	2	1	6	2	5	3	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	2.3886955916952238E-015	5.7058665060100354E-030
1	8	2	2	2	2	1	4	21	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	6.7302415845915675E-004	4.5296175699149899E-007
1	9	2	2	5	2	5	4	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	-3.8778539841050064E-013	1.5037750985222539E-025
1	10	2	2	6	2	5	4	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	4.6220796456983727E-015	2.1363620153991231E-029
1	11	3	1	5	2	5	1	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	9.9808193394085309E-013	9.9616753604869140E-025
1	12	3	1	6	2	5	1	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	3.7746384285634958E-015	1.4247895816260325E-029
1	13	3	2	5	2	5	2	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.4760511606384807E-012	2.1787271267830035E-024
1	14	3	2	6	2	5	2	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.9958336639456804E-015	3.9833520034111257E-030
1	15	4	1	5	2	5	1	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	9.9808193394085309E-013	9.9616753604869140E-025
1	16	4	1	6	2	5	1	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	3.7746384285634958E-015	1.4247895816260325E-029
1	17	4	2	5	2	5	2	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.4760511606384807E-012	2.1787271267830035E-024
1	18	4	2	6	2	5	2	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.9958336639456804E-015	3.9833520034111257E-030
1	19	5	1	5	0	3	1	3	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	9.9808193394085309E-013	9.9616753604869140E-025
1	20	5	1	6	0	3	1	3	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	3.7746384285634958E-015	1.4247895816260325E-029
1	21	5	2	5	0	3	2	3	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.4760511606384807E-012	2.1787271267830035E-024
1	22	5	2	6	0	3	2	3	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.9958336639456804E-015	3.9833520034111257E-030
1	23	6	1	5	2	5	1	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	9.9808193394085309E-013	9.9616753604869140E-025
1	24	6	1	6	0	3	1	3	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	3.7746384285634958E-015	1.4247895816260325E-029
1	25	6	2	5	2	5	2	25	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.4760511606384807E-012	2.1787271267830035E-024
1	26	6	2	6	0	3	2	3	5.0081615336239338E-003	5.0081615336239338E-003	5.0081615336239338E-003	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	1.9958336639456804E-015	3.9833520034111257E-030
2	1	1	1	5	2	5	3	25	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	9.3281209579548774E-013	8.7013842757729048E-025
2	2	1	1	6	2	5	3	25	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	2.3886955916952238E-015	5.7058665060100354E-030
2	3	1	2	2	2	1	4	21	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	6.7302415845915675E-004	4.5296175699149899E-007
2	4	1	2	5	2	5	4	25	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	-3.8778539841050064E-013	1.5037750985222539E-025
2	5	1	2	6	2	5	4	25	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	4.6220796456983727E-015	2.1363620153991231E-029
2	6	2	1	5	2	5	3	25	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	9.3281209579548774E-013	8.7013842757729048E-025
2	7	2	1	6	2	5	3	25	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	2.3886955916952238E-015	5.7058665060100354E-030
2	8	2	2	2	2	1	4	21	1.2575520202517509E-002	1.2575520202517509E-002	1.2575520202517509E-002	T	7	SP00	SP00	2.0000000000000000E+000	1.0000000474974513E-003	6.7302415845915675E-004	4.5296175699149899E-007
