metric	observed	reference	classification
typed_exit	0	0	PASS
forced_legacy_exit	0	0	PASS
typed_trace_calls	133	133	PASS
forced_legacy_trace_calls	133	133	PASS
typed_call_1_rows	26	26	PASS
forced_legacy_call_1_rows	26	26	PASS
typed_call_1_pre_reset_energy_mev	5.0081615336239338E-003	5.0081615336239338E-003	CAPTURED
forced_legacy_call_1_pre_reset_energy_mev	5.0081615336239338E-003	5.0081615336239338E-003	CAPTURED
typed_call_1_dispatched_effective_energy_mev	2.0000000000000000E+000	2.0000000000000000E+000	CAPTURED
forced_legacy_call_1_dispatched_effective_energy_mev	2.0000000000000000E+000	2.0000000000000000E+000	CAPTURED
call_1_exact_rows	26	26	EXACT
structural_validation	PASS	PASS	PASS
