boundary	row	category	field	typed	forced_legacy
final	1	value	a1_real	1.6423363983631134E-001	1.6424684226512909E-001
final	1	value	a1_imag	-3.2478506909683347E-005	-3.2475360058015212E-005
final	1	value	a2_real	-4.1098079085350037E-001	-4.1086515784263611E-001
final	1	value	a2_imag	4.8465475440025330E-001	4.8465508222579956E-001
final	1	value	a3_real	-1.5030955895781517E-002	-1.5032066963613033E-002
final	1	value	a3_imag	2.8524875688162865E-006	2.8522097181848949E-006
final	1	value	a4_real	1.9334897398948669E-002	1.9325997680425644E-002
final	1	value	a4_imag	-4.2411718517541885E-002	-4.2411748319864273E-002
final	1	value	dsg	1.4355826715473086E-004	1.4352821744978428E-004
final	2	value	a1_real	4.5850971341133118E-001	4.5854651927947998E-001
final	2	value	a1_imag	-9.0581008407752961E-005	-9.0572262706700712E-005
final	2	value	a2_real	-3.0607429146766663E-001	-3.0598089098930359E-001
final	2	value	a2_imag	4.6995198726654053E-001	4.6995228528976440E-001
final	2	value	a3_real	-1.2860020995140076E-001	-1.2860968708992004E-001
final	2	value	a3_imag	2.4365017452510074E-005	2.4362647309317254E-005
final	2	value	a4_real	3.1049802899360657E-002	3.1028024852275848E-002
final	2	value	a4_imag	-1.2595272064208984E-001	-1.2595281004905701E-001
final	2	value	dsg	1.8497434211894870E-004	1.8496703705750406E-004
final	3	value	a1_real	6.5913915634155273E-001	6.5919160842895508E-001
final	3	value	a1_imag	-1.2995427823625505E-004	-1.2994171993341297E-004
final	3	value	a2_real	-1.2444038689136505E-001	-1.2435984611511230E-001
final	3	value	a2_imag	4.4098687171936035E-001	4.4098708033561707E-001
final	3	value	a3_real	-3.2209441065788269E-001	-3.2211783528327942E-001
final	3	value	a3_imag	6.0833430325146765E-005	6.0827522247564048E-005
final	3	value	a4_real	-3.0164476484060287E-002	-3.0193954706192017E-002
final	3	value	a4_imag	-2.0568369328975677E-001	-2.0568382740020752E-001
final	3	value	dsg	2.6227577473036945E-004	2.6229766081087291E-004
final	4	value	a1_real	7.3095524311065674E-001	7.3101282119750977E-001
final	4	value	a1_imag	-1.4369649579748511E-004	-1.4368268602993339E-004
final	4	value	a2_real	8.5422925651073456E-002	8.5476905107498169E-002
final	4	value	a2_imag	3.9862862229347229E-001	3.9862886071205139E-001
final	4	value	a3_real	-5.3714543581008911E-001	-5.3718405961990356E-001
final	4	value	a3_imag	1.0100780491484329E-004	1.0099801147589460E-004
final	4	value	a4_real	-1.8872088193893433E-001	-1.8874466419219971E-001
final	4	value	a4_imag	-2.7918815612792969E-001	-2.7918830513954163E-001
final	4	value	dsg	3.6541387089528143E-004	3.6546157207340002E-004
final	5	value	a1_real	6.7179554700851440E-001	6.7184793949127197E-001
final	5	value	a1_imag	-1.3159880472812802E-004	-1.3158617366570979E-004
final	5	value	a2_real	2.6800248026847839E-001	2.6803550124168396E-001
final	5	value	a2_imag	3.4415197372436523E-001	3.4415221214294434E-001
final	5	value	a3_real	-7.0616787672042847E-001	-7.0621788501739502E-001
final	5	value	a3_imag	1.3211036275606602E-004	1.3209758617449552E-004
final	5	value	a4_real	-4.3997251987457275E-001	-4.3998691439628601E-001
final	5	value	a4_imag	-3.4423255920410156E-001	-3.4423270821571350E-001
final	5	value	dsg	4.8132185474969447E-004	4.8137869453057647E-004
final	6	value	a1_real	5.1245325803756714E-001	5.1249271631240845E-001
final	6	value	a1_imag	-1.0000263137044385E-004	-9.9993070762138814E-005
final	6	value	a2_real	3.7524205446243286E-001	3.7524971365928650E-001
final	6	value	a2_imag	2.7920174598693848E-001	2.7920189499855042E-001
final	6	value	a3_real	-7.7047681808471680E-001	-7.7053093910217285E-001
final	6	value	a3_imag	1.4337456377688795E-004	1.4336075400933623E-004
final	6	value	a4_real	-7.5038671493530273E-001	-7.5037813186645508E-001
final	6	value	a4_imag	-3.9883413910865784E-001	-3.9883434772491455E-001
final	6	value	dsg	5.9560465160757303E-004	5.9564335970208049E-004
final	7	value	a1_real	3.0807757377624512E-001	3.0810120701789856E-001
final	7	value	a1_imag	-5.9905018133576959E-005	-5.9899299230892211E-005
final	7	value	a2_real	3.7910935282707214E-001	3.7910670042037964E-001
final	7	value	a2_imag	2.0574541389942169E-001	2.0574550330638885E-001
final	7	value	a3_real	-6.9642019271850586E-001	-6.9646853208541870E-001
final	7	value	a3_imag	1.2896716361865401E-004	1.2895477993879467E-004
final	7	value	a4_real	-1.0652350187301636E+000	-1.0652040243148804E+000
final	7	value	a4_imag	-4.4132325053215027E-001	-4.4132354855537415E-001
final	7	value	dsg	6.9446855923160911E-004	6.9447315763682127E-004
final	8	value	a1_real	1.2324531376361847E-001	1.2325467914342880E-001
final	8	value	a1_imag	-2.3898006475064903E-005	-2.3895729100331664E-005
final	8	value	a2_real	2.7901083230972290E-001	2.7900427579879761E-001
final	8	value	a2_imag	1.2601509690284729E-001	1.2601515650749207E-001
final	8	value	a3_real	-4.8527744412422180E-001	-4.8531082272529602E-001
final	8	value	a3_imag	8.9535424194764346E-005	8.9526831288821995E-005
final	8	value	a4_real	-1.3219277858734131E+000	-1.3218755722045898E+000
final	8	value	a4_imag	-4.7039690613746643E-001	-4.7039717435836792E-001
final	8	value	dsg	7.6662324136123061E-004	7.6658785110339522E-004
final	9	value	a1_real	1.4421968720853329E-002	1.4423065818846226E-002
final	9	value	a1_imag	-2.7922267236135667E-006	-2.7919611511606490E-006
final	9	value	a2_real	1.0238488763570786E-001	1.0238276422023773E-001
final	9	value	a2_imag	4.2439583688974380E-002	4.2439609766006470E-002
final	9	value	a3_real	-1.7398853600025177E-001	-1.7400044202804565E-001
final	9	value	a3_imag	3.2037478376878425E-005	3.2034411560744047E-005
final	9	value	a4_real	-1.4660589694976807E+000	-1.4659975767135620E+000
final	9	value	a4_imag	-4.8516142368316650E-001	-4.8516166210174561E-001
final	9	value	dsg	8.0450333189219236E-004	8.0444500781595707E-004
final	19	value	a1_real	3.3894538879394531E-001	3.3893862366676331E-001
final	19	value	a1_imag	-5.4684729548171163E-005	-5.4686104704160243E-005
final	19	value	a2_real	-1.4014093875885010E+000	-1.4014546871185303E+000
final	19	value	a2_imag	2.4093608558177948E-001	2.4093596637248993E-001
final	19	value	a3_real	-3.2233871519565582E-002	-3.2233320176601410E-002
final	19	value	a3_imag	4.8169035835599061E-006	4.8170254558499437E-006
final	19	value	a4_real	1.0479189455509186E-001	1.0479463636875153E-001
final	19	value	a4_imag	-2.1098243072628975E-002	-2.1098231896758080E-002
final	19	value	dsg	1.4141638530418277E-003	1.4142447616904974E-003
final	20	value	a1_real	9.4649779796600342E-001	9.4647878408432007E-001
final	20	value	a1_imag	-1.5239549975376576E-004	-1.5239932690747082E-004
final	20	value	a2_real	-1.1633816957473755E+000	-1.1634289026260376E+000
final	20	value	a2_imag	2.3365649580955505E-001	2.3365639150142670E-001
final	20	value	a3_real	-2.7599835395812988E-001	-2.7599364519119263E-001
final	20	value	a3_imag	4.1112947656074539E-005	4.1113988118013367E-005
final	20	value	a4_real	2.5268486142158508E-001	2.5269445776939392E-001
final	20	value	a4_imag	-6.2664806842803955E-002	-6.2664791941642761E-002
