call_id	energy_index	angle_index	reaction	occurrence	exact_duplicate
1	1	1	1	2	yes
1	1	2	1	2	yes
1	1	3	1	2	yes
1	1	4	1	2	yes
1	1	5	1	2	yes
1	1	6	1	2	yes
1	1	7	1	2	yes
1	1	8	1	2	yes
1	1	9	1	2	yes
2	1	1	1	2	yes
2	1	2	1	2	yes
2	1	3	1	2	yes
2	1	4	1	2	yes
2	1	5	1	2	yes
2	1	6	1	2	yes
2	1	7	1	2	yes
2	1	8	1	2	yes
2	1	9	1	2	yes
3	1	1	1	2	yes
3	1	2	1	2	yes
3	1	3	1	2	yes
3	1	4	1	2	yes
3	1	5	1	2	yes
3	1	6	1	2	yes
3	1	7	1	2	yes
3	1	8	1	2	yes
3	1	9	1	2	yes
4	1	1	1	2	yes
4	1	2	1	2	yes
4	1	3	1	2	yes
4	1	4	1	2	yes
4	1	5	1	2	yes
4	1	6	1	2	yes
4	1	7	1	2	yes
4	1	8	1	2	yes
4	1	9	1	2	yes
5	1	1	1	2	yes
5	1	2	1	2	yes
5	1	3	1	2	yes
5	1	4	1	2	yes
5	1	5	1	2	yes
5	1	6	1	2	yes
5	1	7	1	2	yes
5	1	8	1	2	yes
5	1	9	1	2	yes
5	1	10	1	2	yes
5	1	11	1	2	yes
6	1	1	1	2	yes
6	1	2	1	2	yes
6	1	3	1	2	yes
6	1	4	1	2	yes
6	1	5	1	2	yes
6	1	6	1	2	yes
6	1	7	1	2	yes
6	1	8	1	2	yes
6	1	9	1	2	yes
6	1	10	1	2	yes
6	1	11	1	2	yes
6	1	12	1	2	yes
6	1	13	1	2	yes
6	1	14	1	2	yes
6	1	15	1	2	yes
6	1	16	1	2	yes
6	1	17	1	2	yes
6	1	18	1	2	yes
6	1	19	1	2	yes
6	1	20	1	2	yes
7	1	1	1	2	yes
7	1	2	1	2	yes
7	1	3	1	2	yes
7	1	4	1	2	yes
7	1	5	1	2	yes
7	1	6	1	2	yes
7	1	7	1	2	yes
7	1	8	1	2	yes
7	1	9	1	2	yes
8	1	1	1	2	yes
8	1	2	1	2	yes
8	1	3	1	2	yes
8	1	4	1	2	yes
8	1	5	1	2	yes
8	1	6	1	2	yes
8	1	7	1	2	yes
8	1	8	1	2	yes
8	1	9	1	2	yes
9	1	1	1	2	yes
9	1	2	1	2	yes
9	1	3	1	2	yes
9	1	4	1	2	yes
9	1	5	1	2	yes
9	1	6	1	2	yes
9	1	7	1	2	yes
9	1	8	1	2	yes
9	1	9	1	2	yes
9	1	10	1	2	yes
9	1	11	1	2	yes
9	1	12	1	2	yes
9	1	13	1	2	yes
9	1	14	1	2	yes
9	1	15	1	2	yes
9	1	16	1	2	yes
9	1	17	1	2	yes
9	1	18	1	2	yes
10	1	1	1	2	yes
10	1	2	1	2	yes
10	1	3	1	2	yes
10	1	4	1	2	yes
10	1	5	1	2	yes
10	1	6	1	2	yes
10	1	7	1	2	yes
10	1	8	1	2	yes
10	1	9	1	2	yes
11	1	1	1	2	yes
11	1	2	1	2	yes
11	1	3	1	2	yes
11	1	4	1	2	yes
11	1	5	1	2	yes
11	1	6	1	2	yes
11	1	7	1	2	yes
11	1	8	1	2	yes
11	1	9	1	2	yes
12	1	1	1	2	yes
12	1	2	1	2	yes
12	1	3	1	2	yes
12	1	4	1	2	yes
12	1	5	1	2	yes
12	1	6	1	2	yes
12	1	7	1	2	yes
12	1	8	1	2	yes
12	1	9	1	2	yes
13	1	1	1	2	yes
13	1	2	1	2	yes
13	1	3	1	2	yes
13	1	4	1	2	yes
13	1	5	1	2	yes
13	1	6	1	2	yes
13	1	7	1	2	yes
13	1	8	1	2	yes
13	1	9	1	2	yes
13	1	10	1	2	yes
13	1	11	1	2	yes
14	1	1	1	2	yes
14	1	2	1	2	yes
14	1	3	1	2	yes
14	1	4	1	2	yes
14	1	5	1	2	yes
14	1	6	1	2	yes
14	1	7	1	2	yes
14	1	8	1	2	yes
14	1	9	1	2	yes
14	1	10	1	2	yes
14	1	11	1	2	yes
14	1	12	1	2	yes
14	1	13	1	2	yes
14	1	14	1	2	yes
14	1	15	1	2	yes
14	1	16	1	2	yes
14	1	17	1	2	yes
14	1	18	1	2	yes
14	1	19	1	2	yes
14	1	20	1	2	yes
15	1	1	1	2	yes
15	1	2	1	2	yes
15	1	3	1	2	yes
15	1	4	1	2	yes
15	1	5	1	2	yes
15	1	6	1	2	yes
15	1	7	1	2	yes
15	1	8	1	2	yes
15	1	9	1	2	yes
16	1	1	1	2	yes
16	1	2	1	2	yes
16	1	3	1	2	yes
16	1	4	1	2	yes
16	1	5	1	2	yes
16	1	6	1	2	yes
16	1	7	1	2	yes
16	1	8	1	2	yes
16	1	9	1	2	yes
17	1	1	1	2	yes
17	1	2	1	2	yes
17	1	3	1	2	yes
17	1	4	1	2	yes
17	1	5	1	2	yes
17	1	6	1	2	yes
17	1	7	1	2	yes
17	1	8	1	2	yes
17	1	9	1	2	yes
17	1	10	1	2	yes
17	1	11	1	2	yes
17	1	12	1	2	yes
17	1	13	1	2	yes
17	1	14	1	2	yes
17	1	15	1	2	yes
17	1	16	1	2	yes
17	1	17	1	2	yes
17	1	18	1	2	yes
18	1	1	1	2	yes
18	1	2	1	2	yes
18	1	3	1	2	yes
18	1	4	1	2	yes
18	1	5	1	2	yes
18	1	6	1	2	yes
18	1	7	1	2	yes
18	1	8	1	2	yes
18	1	9	1	2	yes
19	1	1	1	2	yes
19	1	2	1	2	yes
19	1	3	1	2	yes
19	1	4	1	2	yes
19	1	5	1	2	yes
19	1	6	1	2	yes
19	1	7	1	2	yes
19	1	8	1	2	yes
19	1	9	1	2	yes
20	1	1	1	2	yes
20	1	2	1	2	yes
20	1	3	1	2	yes
20	1	4	1	2	yes
20	1	5	1	2	yes
20	1	6	1	2	yes
20	1	7	1	2	yes
20	1	8	1	2	yes
20	1	9	1	2	yes
20	1	10	1	2	yes
20	1	11	1	2	yes
21	1	1	1	2	yes
21	1	2	1	2	yes
21	1	3	1	2	yes
21	1	4	1	2	yes
21	1	5	1	2	yes
21	1	6	1	2	yes
21	1	7	1	2	yes
21	1	8	1	2	yes
21	1	9	1	2	yes
21	1	10	1	2	yes
21	1	11	1	2	yes
21	1	12	1	2	yes
21	1	13	1	2	yes
21	1	14	1	2	yes
21	1	15	1	2	yes
21	1	16	1	2	yes
21	1	17	1	2	yes
21	1	18	1	2	yes
21	1	19	1	2	yes
21	1	20	1	2	yes
22	1	1	1	2	yes
22	1	2	1	2	yes
22	1	3	1	2	yes
22	1	4	1	2	yes
22	1	5	1	2	yes
22	1	6	1	2	yes
22	1	7	1	2	yes
22	1	8	1	2	yes
22	1	9	1	2	yes
23	1	1	1	2	yes
23	1	2	1	2	yes
23	1	3	1	2	yes
