boundary	row	category	field	typed	forced_legacy
full_grid	3	value	multipole_real	-2.0869076251983643E-003	-3.6126498132944107E-002
full_grid	3	value	multipole_imag	-2.2004306288181397E-007	-2.2000224930707191E-007
full_grid	4	value	multipole_real	9.8463584436103702E-005	-2.1265972463879734E-004
full_grid	4	value	multipole_imag	-7.4954712575570070E-012	-7.4922958462342315E-012
full_grid	5	value	multipole_real	5.4351821745513007E-006	0.0000000000000000E+000
full_grid	6	value	multipole_real	4.3343106881366111E-013	-1.0865881705512948E-007
full_grid	7	value	multipole_real	1.1844017028808594E+002	-2.8064674377441406E+001
full_grid	7	value	multipole_imag	-1.8098412454128265E-001	-1.8098434805870056E-001
full_grid	8	value	multipole_real	-2.9397308826446533E-003	-3.0030277371406555E-001
full_grid	9	value	multipole_real	-3.3969385549426079E-004	-5.3277392871677876E-003
full_grid	9	value	multipole_imag	4.7637104927389373E-008	4.7628809340949374E-008
full_grid	10	value	multipole_real	1.7963444406632334E-005	-8.1540652900002897E-005
full_grid	10	value	multipole_imag	-5.4239321367610671E-011	-5.4218959183449655E-011
full_grid	11	value	multipole_real	-5.2295945351943374E-012	-2.2010408429196104E-006
full_grid	12	value	multipole_real	-7.1054273576010019E-015	-5.1838863868169938E-008
full_grid	14	value	multipole_real	2.6412618160247803E-001	-5.5032920837402344E-001
full_grid	14	value	multipole_imag	-2.2497956524603069E-004	-2.2495814482681453E-004
full_grid	15	value	multipole_real	6.3850311562418938E-004	-2.9131907504051924E-003
full_grid	15	value	multipole_imag	-1.7762605608595550E-008	-1.7758429393666120E-008
full_grid	16	value	multipole_real	6.5684900619089603E-005	2.1044312234153040E-005
full_grid	16	value	multipole_imag	7.1655951571630849E-013	7.1701460957820928E-013
full_grid	17	value	multipole_real	1.5148771126405336E-010	-6.8821998411294771E-007
full_grid	18	value	multipole_real	1.8562928971732617E-013	-1.2466910170871870E-008
full_grid	20	value	multipole_real	1.8688237667083740E-001	9.2234170436859131E-001
full_grid	21	value	multipole_real	5.7212228421121836E-004	2.2866765502840281E-003
full_grid	21	value	multipole_imag	-2.0443938097969294E-008	-2.0440925396769671E-008
full_grid	22	value	multipole_real	-3.5246110201114789E-005	0.0000000000000000E+000
full_grid	23	value	multipole_real	1.0317080523236655E-010	5.4540737437491771E-007
full_grid	24	value	multipole_real	1.2700951401711791E-013	1.0407267936329845E-008
full_grid	27	value	multipole_real	-5.1879221573472023E-003	1.1912978254258633E-002
full_grid	27	value	multipole_imag	1.4529490499626263E-007	1.4525441827117902E-007
full_grid	28	value	multipole_real	1.2538205191958696E-004	3.4315345692448318E-004
full_grid	28	value	multipole_imag	1.2335100996185844E-010	1.2332651566637765E-010
full_grid	29	value	multipole_real	1.2869350030086935E-010	3.5966309042123612E-006
full_grid	30	value	multipole_real	1.4210854715202004E-013	7.2520919047747157E-008
full_grid	31	value	multipole_real	7.6504831314086914E+000	1.8348829269409180E+001
full_grid	31	value	multipole_imag	-2.2353595495223999E-001	-2.2353601455688477E-001
full_grid	32	value	multipole_real	-1.7987057566642761E-002	1.8335294723510742E-001
full_grid	32	value	multipole_imag	4.5383894757833332E-005	4.5379518269328400E-005
full_grid	33	value	multipole_real	2.8517912141978741E-004	3.6030064802616835E-003
full_grid	33	value	multipole_imag	7.4137716410405119E-008	7.4123043702911673E-008
full_grid	34	value	multipole_real	-4.3951149564236403E-007	6.5919135522563010E-005
full_grid	34	value	multipole_imag	-5.3791103515887784E-012	-5.3775412942047573E-012
full_grid	35	value	multipole_real	-1.7053025658242404E-012	1.4672871202492388E-006
full_grid	36	value	multipole_real	-3.5527136788005009E-015	3.4559466399741723E-008
full_grid	38	value	multipole_real	-3.3466395735740662E-001	8.4725171327590942E-002
full_grid	38	value	multipole_imag	6.1495455156546086E-005	6.1489619838539511E-005
full_grid	39	value	multipole_real	-1.9069248810410500E-004	2.2877834271639585E-003
full_grid	39	value	multipole_imag	2.6549127341013445E-008	2.6543201414597206E-008
full_grid	40	value	multipole_real	-7.3573210102040321E-007	2.8835573175456375E-005
full_grid	40	value	multipole_imag	1.1781797759624624E-011	1.1778466223189010E-011
full_grid	41	value	multipole_real	5.0505377657827921E-011	4.5938796233713219E-007
full_grid	42	value	multipole_real	6.2172489379008766E-014	8.3103577352972025E-009
full_grid	44	value	multipole_real	6.1613172292709351E-002	-1.7208337783813477E-001
full_grid	44	value	multipole_imag	-4.2587675125105307E-005	-4.2583586036926135E-005
full_grid	45	value	multipole_real	-2.4488905910402536E-004	-1.8494001124054193E-003
full_grid	45	value	multipole_imag	-3.8054658091368765E-008	-3.8047691219844637E-008
full_grid	46	value	multipole_real	5.8550955145619810E-005	3.6243833164917305E-005
full_grid	46	value	multipole_imag	-2.9561177724429788E-012	-2.9566444778583723E-012
full_grid	47	value	multipole_real	3.4390268410788849E-011	-3.6704099670714641E-007
full_grid	48	value	multipole_real	4.2188474935755949E-014	-6.9265131408258185E-009
full_grid	51	value	multipole_real	-7.6555646955966949E-004	-2.3856816813349724E-002
full_grid	51	value	multipole_imag	-2.8762903525603178E-007	-2.8757449399563484E-007
full_grid	52	value	multipole_real	-4.1633902583271265E-006	-2.1110194211360067E-004
full_grid	52	value	multipole_imag	-8.0454920503569838E-011	-8.0431647453416133E-011
full_grid	53	value	multipole_real	-1.2869350030086935E-010	-3.6244962302589556E-006
full_grid	54	value	multipole_real	-1.4210854715202004E-013	-7.2437465803432133E-008
full_grid	55	value	multipole_real	1.3943824768066406E+001	-2.4152700424194336E+001
full_grid	55	value	multipole_imag	2.9522472620010376E-001	2.9522484540939331E-001
full_grid	56	value	multipole_real	1.7750382423400879E-002	-1.8047349154949188E-001
full_grid	56	value	multipole_imag	-4.4673623051494360E-005	-4.4669312046607956E-005
full_grid	57	value	multipole_real	-3.0741118825972080E-004	-3.6326798144727945E-003
full_grid	57	value	multipole_imag	-7.4749593181877572E-008	-7.4734892052674695E-008
full_grid	58	value	multipole_real	4.3937325244769454E-007	-6.5897853346541524E-005
full_grid	58	value	multipole_imag	5.3773738933893256E-012	5.3758048360053046E-012
full_grid	59	value	multipole_real	1.7053025658242404E-012	-1.4673553323518718E-006
full_grid	60	value	multipole_real	3.5527136788005009E-015	-3.4559235473352601E-008
full_grid	62	value	multipole_real	2.6073563098907471E-001	-1.9330404698848724E-001
full_grid	62	value	multipole_imag	-1.4032219769433141E-004	-1.4030878082849085E-004
full_grid	63	value	multipole_real	-5.3586671128869057E-005	-2.5010188110172749E-003
full_grid	63	value	multipole_imag	-3.0562983255322251E-008	-3.0557128383179588E-008
full_grid	64	value	multipole_real	-1.5688281564507633E-004	-1.8650709534995258E-004
full_grid	64	value	multipole_imag	-7.1770603349285977E-011	-7.1767265741318198E-011
full_grid	65	value	multipole_real	-5.0505377657827921E-011	-4.5926930170026026E-007
full_grid	66	value	multipole_real	-6.2172489379008766E-014	-8.3106668213872581E-009
full_grid	68	value	multipole_real	-7.0013716816902161E-002	2.4237926304340363E-001
full_grid	68	value	multipole_imag	5.9996284107910469E-005	5.9990477893734351E-005
full_grid	69	value	multipole_real	1.1950579937547445E-004	1.5811719931662083E-003
full_grid	69	value	multipole_imag	3.2535968585989394E-008	3.2529634097500093E-008
full_grid	70	value	multipole_real	-1.8000537238549441E-007	2.2495085431728512E-005
full_grid	70	value	multipole_imag	-1.8356366773830679E-012	-1.8351006478289911E-012
full_grid	71	value	multipole_real	-3.4390268410788849E-011	3.6593758068192983E-007
full_grid	72	value	multipole_real	-4.2188474935755949E-014	6.9301169247637517E-009
full_grid	75	value	multipole_real	-3.2982043921947479E-003	-5.7153530418872833E-002
full_grid	76	value	multipole_real	1.5572746633552015E-004	-4.6354948426596820E-004
full_grid	77	value	multipole_real	9.7315933089703321E-010	-1.3608295375888702E-005
full_grid	78	value	multipole_real	1.3642420526593924E-012	-3.4234477652717032E-007
full_grid	79	value	multipole_real	1.1843511962890625E+002	-2.8030536651611328E+001
