boundary	row	category	field	typed	forced_legacy
go5	1	value	predicted_obs	0.14356E-03	0.14353E-03
go5	3	value	predicted_obs	0.26228E-03	0.26230E-03
go5	4	value	predicted_obs	0.36541E-03	0.36546E-03
go5	5	value	predicted_obs	0.48132E-03	0.48138E-03
go5	6	value	predicted_obs	0.59560E-03	0.59564E-03
go5	8	value	predicted_obs	0.76662E-03	0.76659E-03
go5	9	value	predicted_obs	0.80450E-03	0.80445E-03
go5	19	value	dchi	-0.423E+00	-0.422E+00
go5	21	value	predicted_obs	0.19760E-02	0.19759E-02
go5	22	value	predicted_obs	0.24626E-02	0.24625E-02
go5	23	value	predicted_obs	0.30093E-02	0.30092E-02
go5	24	value	predicted_obs	0.35468E-02	0.35467E-02
go5	26	value	predicted_obs	0.43367E-02	0.43368E-02
go5	27	value	predicted_obs	0.45068E-02	0.45069E-02
go5	30	value	predicted_obs	0.21722E-02	0.21721E-02
go5	34	value	predicted_obs	0.43464E-02	0.43465E-02
go5	36	value	predicted_obs	0.48804E-02	0.48805E-02
go5	40	value	predicted_obs	0.41539E-02	0.41540E-02
go5	41	value	predicted_obs	0.48208E-02	0.48210E-02
go5	42	value	predicted_obs	0.55414E-02	0.55415E-02
go5	45	value	predicted_obs	0.74394E-02	0.74392E-02
go5	46	value	predicted_obs	0.78202E-02	0.78199E-02
go5	47	value	predicted_obs	0.80320E-02	0.80317E-02
go5	47	value	dchi	-0.629E-01	-0.630E-01
go5	68	value	predicted_obs	0.35134E-02	0.35133E-02
go5	69	value	predicted_obs	0.38797E-02	0.38796E-02
go5	70	value	predicted_obs	0.45572E-02	0.45571E-02
go5	71	value	predicted_obs	0.54547E-02	0.54545E-02
go5	72	value	predicted_obs	0.64596E-02	0.64595E-02
go5	74	value	predicted_obs	0.82808E-02	0.82810E-02
go5	75	value	predicted_obs	0.88730E-02	0.88733E-02
go5	76	value	predicted_obs	0.91742E-02	0.91746E-02
go5	77	value	predicted_obs	0.47979E-02	0.47980E-02
go5	78	value	predicted_obs	0.52579E-02	0.52580E-02
go5	82	value	predicted_obs	0.96958E-02	0.96957E-02
go5	86	value	predicted_obs	0.54413E-02	0.54412E-02
go5	90	value	predicted_obs	0.66690E-02	0.66692E-02
go5	91	value	predicted_obs	0.72231E-02	0.72233E-02
go5	92	value	predicted_obs	0.78425E-02	0.78428E-02
go5	93	value	predicted_obs	0.85079E-02	0.85082E-02
go5	94	value	predicted_obs	0.91985E-02	0.91988E-02
go5	95	value	predicted_obs	0.98922E-02	0.98924E-02
go5	99	value	predicted_obs	0.12257E-01	0.12256E-01
go5	101	value	predicted_obs	0.12956E-01	0.12955E-01
go5	104	value	predicted_obs	0.63397E-02	0.63399E-02
go5	105	value	predicted_obs	0.69083E-02	0.69084E-02
go5	107	value	predicted_obs	0.93240E-02	0.93239E-02
go5	110	value	dchi	-0.313E+01	-0.314E+01
go5	112	value	predicted_obs	0.14904E-01	0.14905E-01
go5	113	value	predicted_obs	0.91258E-02	0.91256E-02
go5	114	value	predicted_obs	0.98862E-02	0.98861E-02
go5	118	value	predicted_obs	0.17012E-01	0.17013E-01
go5	128	value	dchi	-0.916E-02	-0.922E-02
go5	130	value	predicted_obs	0.24522E-01	0.24521E-01
go5	142	value	predicted_obs	0.13621E-01	0.13620E-01
go5	145	value	predicted_obs	0.16191E-01	0.16190E-01
go5	175	value	predicted_obs	0.25440E-01	0.25441E-01
go5	181	value	predicted_obs	0.16596E-01	0.16595E-01
go5	187	value	predicted_obs	0.23596E-01	0.23595E-01
go5	195	value	predicted_obs	0.33362E-01	0.33363E-01
go5	195	value	dchi	-0.752E+00	-0.751E+00
go5	196	value	predicted_obs	0.33765E-01	0.33766E-01
go5	198	value	predicted_obs	0.22051E-01	0.22052E-01
go5	202	value	predicted_obs	0.34404E-01	0.34403E-01
go5	210	value	predicted_obs	0.31035E-01	0.31034E-01
go5	215	value	predicted_obs	0.45080E-01	0.45081E-01
go5	219	value	predicted_obs	0.33021E-01	0.33020E-01
go5	247	value	predicted_obs	0.28454E-01	0.28453E-01
go5	257	value	dchi	0.363E-01	0.362E-01
go5	259	value	dchi	-0.395E+00	-0.396E+00
go5	285	value	predicted_obs	0.42345E-01	0.42344E-01
go5	286	value	predicted_obs	0.48035E-01	0.48034E-01
go5	290	value	predicted_obs	0.66429E-01	0.66430E-01
go5	291	value	predicted_obs	0.67697E-01	0.67698E-01
go5	292	value	dchi	-0.549E-01	-0.550E-01
go5	297	value	predicted_obs	0.67205E-01	0.67206E-01
go5	299	value	predicted_obs	0.74869E-01	0.74868E-01
go5	300	value	predicted_obs	0.76220E-01	0.76219E-01
go5	303	value	predicted_obs	0.51050E-01	0.51049E-01
go5	306	value	predicted_obs	0.71135E-01	0.71134E-01
go5	308	value	dchi	0.568E+00	0.569E+00
go5	311	value	predicted_obs	0.47490E-01	0.47491E-01
go5	311	value	dchi	-0.342E+00	-0.341E+00
go5	313	value	predicted_obs	0.57009E-01	0.57010E-01
go5	314	value	predicted_obs	0.62935E-01	0.62936E-01
go5	317	value	predicted_obs	0.79013E-01	0.79012E-01
go5	319	value	predicted_obs	0.84696E-01	0.84695E-01
go5	320	value	predicted_obs	0.85806E-01	0.85805E-01
go5	327	value	dchi	0.203E-01	0.202E-01
go5	329	value	predicted_obs	0.70820E-01	0.70819E-01
go5	334	value	predicted_obs	0.81359E-01	0.81358E-01
go5	335	value	predicted_obs	0.83233E-01	0.83232E-01
go5	339	value	dchi	0.178E-01	0.179E-01
go5	340	value	predicted_obs	0.90978E-01	0.90979E-01
go5	344	value	predicted_obs	0.68551E-01	0.68552E-01
go5	344	value	dchi	-0.286E-01	-0.285E-01
go5	345	value	dchi	0.732E+00	0.733E+00
go5	346	value	dchi	0.175E-01	0.174E-01
go5	347	value	predicted_obs	0.89407E-01	0.89406E-01
go5	348	value	predicted_obs	0.92802E-01	0.92800E-01
go5	349	value	predicted_obs	0.94295E-01	0.94293E-01
go5	350	value	dchi	0.841E-01	0.842E-01
go5	352	value	dchi	-0.162E-01	-0.160E-01
go5	353	value	predicted_obs	0.68551E-01	0.68552E-01
go5	356	value	predicted_obs	0.89407E-01	0.89406E-01
go5	357	value	predicted_obs	0.92802E-01	0.92800E-01
go5	358	value	predicted_obs	0.94295E-01	0.94293E-01
go5	358	value	dchi	-0.327E-01	-0.329E-01
go5	364	value	predicted_obs	0.64945E-01	0.64946E-01
go5	386	value	predicted_obs	0.62287E-01	0.62288E-01
go5	387	value	predicted_obs	0.67204E-01	0.67205E-01
go5	387	value	dchi	-0.601E+00	-0.600E+00
go5	388	value	predicted_obs	0.75626E-01	0.75627E-01
go5	389	value	predicted_obs	0.85624E-01	0.85625E-01
go5	392	value	predicted_obs	0.11059E+00	0.11058E+00
go5	398	value	predicted_obs	0.92517E-01	0.92516E-01
go5	405	value	predicted_obs	0.73563E-01	0.73564E-01
go5	420	value	dchi	0.622E+00	0.621E+00
go5	433	value	dchi	0.512E+00	0.513E+00
go5	436	value	predicted_obs	0.75536E-01	0.75537E-01
go5	457	value	dchi	-0.169E+00	-0.170E+00
go5	460	value	dchi	-0.635E-01	-0.634E-01
go5	470	value	predicted_obs	0.14098E+00	0.14099E+00
go5	489	value	predicted_obs	0.97458E-01	0.97459E-01
go5	490	value	dchi	-0.250E+00	-0.249E+00
go5	498	value	predicted_obs	0.99744E-01	0.99743E-01
go5	500	value	dchi	0.273E+01	0.272E+01
go5	514	value	predicted_obs	0.18355E+00	0.18356E+00
