boundary	call_id	energy_index	energy_mev	angle_rows	difference_fields
final	1	1	1.4510000610351562E+002	9	81
final	2	1	1.4530000305175781E+002	9	0
final	3	1	1.4611999511718750E+002	9	81
final	4	1	1.4619999694824219E+002	9	40
final	5	1	1.4680000305175781E+002	11	99
final	6	1	1.4694999694824219E+002	20	0
final	7	1	1.4699000549316406E+002	9	79
final	8	1	1.4739999389648438E+002	9	55
final	9	1	1.4760000610351562E+002	18	162
final	10	1	1.4783000183105469E+002	9	81
final	11	1	1.4850000000000000E+002	9	80
final	12	1	1.4897000122070312E+002	9	81
final	13	1	1.4910000610351562E+002	11	0
final	14	1	1.4935000610351562E+002	20	116
final	15	1	1.4960000610351562E+002	9	0
final	16	1	1.4983999633789062E+002	9	37
final	17	1	1.4989999389648438E+002	18	162
final	18	1	1.5080000305175781E+002	9	71
final	19	1	1.5086999511718750E+002	9	65
final	20	1	1.5139999389648438E+002	11	95
final	21	1	1.5167999267578125E+002	20	0
final	22	1	1.5169999694824219E+002	9	75
final	23	1	1.5189999389648438E+002	9	44
final	24	1	1.5219999694824219E+002	18	68
final	25	1	1.5253999328613281E+002	9	81
final	26	1	1.5310000610351562E+002	9	81
final	27	1	1.5336999511718750E+002	9	81
final	28	1	1.5369999694824219E+002	11	98
final	29	1	1.5402999877929688E+002	20	180
final	30	1	1.5419999694824219E+002	9	81
final	31	1	1.5419999694824219E+002	9	81
final	32	1	1.5439999389648438E+002	18	106
final	33	1	1.5503999328613281E+002	9	0
final	34	1	1.5539999389648438E+002	9	80
final	35	1	1.5585000610351562E+002	9	51
final	36	1	1.5610000610351562E+002	11	62
final	37	1	1.5638000488281250E+002	20	171
final	38	1	1.5650000000000000E+002	18	158
final	39	1	1.5650000000000000E+002	9	79
final	40	1	1.5666000366210938E+002	9	78
final	41	1	1.5747999572753906E+002	9	0
final	42	1	1.5760000610351562E+002	9	32
final	43	1	1.5836000061035156E+002	9	46
final	44	1	1.5860000610351562E+002	18	162
final	45	1	1.5872000122070312E+002	20	166
final	46	1	1.5880000305175781E+002	9	78
final	47	1	1.5900000000000000E+002	7	38
final	48	1	1.5917999267578125E+002	9	22
final	49	1	1.5989999389648438E+002	9	46
final	50	1	1.6002000427246094E+002	9	76
final	51	1	1.6069999694824219E+002	18	86
final	52	1	1.6085000610351562E+002	9	58
final	53	1	1.6100000000000000E+002	9	0
final	54	1	1.6108000183105469E+002	20	163
final	55	1	1.6219999694824219E+002	9	31
final	56	1	1.6221000671386719E+002	9	71
final	57	1	1.6269999694824219E+002	18	115
final	58	1	1.6302999877929688E+002	9	48
final	59	1	1.6330000305175781E+002	9	43
final	60	1	1.6344000244140625E+002	20	130
final	61	1	1.6386000061035156E+002	9	71
final	62	1	1.6439999389648438E+002	9	0
final	63	1	1.6466999816894531E+002	9	16
final	64	1	1.6469999694824219E+002	18	150
final	65	1	1.6550999450683594E+002	9	70
final	66	1	1.6560000610351562E+002	9	74
final	67	1	1.6577999877929688E+002	20	149
final	68	1	1.6600000000000000E+002	7	54
final	69	1	1.6632000732421875E+002	9	70
final	70	1	1.6669999694824219E+002	18	84
final	71	1	1.6713999938964844E+002	9	72
final	72	1	1.6796000671386719E+002	9	70
final	73	1	1.6816000366210938E+002	20	150
final	74	1	1.6849000549316406E+002	9	70
final	75	1	1.6860000610351562E+002	18	145
final	76	1	1.6930000305175781E+002	9	69
final	77	1	1.7013000488281250E+002	9	70
final	78	1	1.7052999877929688E+002	20	0
final	79	1	1.7096000671386719E+002	9	70
final	80	1	1.7177000427246094E+002	9	63
final	81	1	1.7257000732421875E+002	9	67
final	82	1	1.7291000366210938E+002	20	95
final	83	1	1.7336999511718750E+002	9	69
final	84	1	1.7419000244140625E+002	9	48
final	85	1	1.7500000000000000E+002	9	64
final	86	1	1.7522000122070312E+002	20	145
final	87	1	1.7578999328613281E+002	9	48
final	88	1	1.7660000610351562E+002	9	0
final	89	1	1.7739999389648438E+002	9	55
final	90	1	1.7766000366210938E+002	20	90
final	91	1	1.7821000671386719E+002	9	72
final	92	1	1.7900999450683594E+002	9	22
final	93	1	1.7980999755859375E+002	9	62
final	94	1	1.8000000000000000E+002	8	47
final	95	1	1.8002000427246094E+002	20	142
final	96	1	1.8061000061035156E+002	9	0
final	97	1	1.8100000000000000E+002	6	40
final	98	1	1.8141000366210938E+002	9	51
final	99	1	1.8194000244140625E+002	9	68
final	100	1	1.8239999389648438E+002	20	139
final	101	1	1.8274000549316406E+002	9	0
final	102	1	1.8352999877929688E+002	9	48
final	103	1	1.8430999755859375E+002	9	0
final	104	1	1.8478999328613281E+002	20	111
final	105	1	1.8511999511718750E+002	9	59
final	106	1	1.8589999389648438E+002	9	68
final	107	1	1.8669999694824219E+002	9	54
final	108	1	1.8716000366210938E+002	20	136
final	109	1	1.8747999572753906E+002	9	46
