call_id	energy_index	angle_index	reaction	energy_mev	angle_cm_deg	a1_real	a1_imag	a2_real	a2_imag	a3_real	a3_imag	a4_real	a4_imag	dsg
1	1	1	1	1.4510000610351562E+002	1.0000000000000000E+001	1.6423363983631134E-001	-3.2478506909683347E-005	-4.1098079085350037E-001	4.8465475440025330E-001	-1.5030955895781517E-002	2.8524875688162865E-006	1.9334897398948669E-002	-4.2411718517541885E-002	1.4355826715473086E-004
1	1	2	1	1.4510000610351562E+002	3.0000000000000000E+001	4.5850971341133118E-001	-9.0581008407752961E-005	-3.0607429146766663E-001	4.6995198726654053E-001	-1.2860020995140076E-001	2.4365017452510074E-005	3.1049802899360657E-002	-1.2595272064208984E-001	1.8497434211894870E-004
1	1	3	1	1.4510000610351562E+002	5.0000000000000000E+001	6.5913915634155273E-001	-1.2995427823625505E-004	-1.2444038689136505E-001	4.4098687171936035E-001	-3.2209441065788269E-001	6.0833430325146765E-005	-3.0164476484060287E-002	-2.0568369328975677E-001	2.6227577473036945E-004
1	1	4	1	1.4510000610351562E+002	7.0000000000000000E+001	7.3095524311065674E-001	-1.4369649579748511E-004	8.5422925651073456E-002	3.9862862229347229E-001	-5.3714543581008911E-001	1.0100780491484329E-004	-1.8872088193893433E-001	-2.7918815612792969E-001	3.6541387089528143E-004
1	1	5	1	1.4510000610351562E+002	9.0000000000000000E+001	6.7179554700851440E-001	-1.3159880472812802E-004	2.6800248026847839E-001	3.4415197372436523E-001	-7.0616787672042847E-001	1.3211036275606602E-004	-4.3997251987457275E-001	-3.4423255920410156E-001	4.8132185474969447E-004
1	1	6	1	1.4510000610351562E+002	1.1000000000000000E+002	5.1245325803756714E-001	-1.0000263137044385E-004	3.7524205446243286E-001	2.7920174598693848E-001	-7.7047681808471680E-001	1.4337456377688795E-004	-7.5038671493530273E-001	-3.9883413910865784E-001	5.9560465160757303E-004
1	1	7	1	1.4510000610351562E+002	1.3000000000000000E+002	3.0807757377624512E-001	-5.9905018133576959E-005	3.7910935282707214E-001	2.0574541389942169E-001	-6.9642019271850586E-001	1.2896716361865401E-004	-1.0652350187301636E+000	-4.4132325053215027E-001	6.9446855923160911E-004
1	1	8	1	1.4510000610351562E+002	1.5000000000000000E+002	1.2324531376361847E-001	-2.3898006475064903E-005	2.7901083230972290E-001	1.2601509690284729E-001	-4.8527744412422180E-001	8.9535424194764346E-005	-1.3219277858734131E+000	-4.7039690613746643E-001	7.6662324136123061E-004
1	1	9	1	1.4510000610351562E+002	1.7000000000000000E+002	1.4421968720853329E-002	-2.7922267236135667E-006	1.0238488763570786E-001	4.2439583688974380E-002	-1.7398853600025177E-001	3.2037478376878425E-005	-1.4660589694976807E+000	-4.8516142368316650E-001	8.0450333189219236E-004
2	1	1	1	1.4530000305175781E+002	1.0000000000000000E+001	2.0847633481025696E-001	-4.0081475162878633E-005	-6.6122287511825562E-001	4.3593728542327881E-001	-1.9287735223770142E-002	3.5231623769504949E-006	3.9445243775844574E-002	-3.8152080029249191E-002	2.8094655135646462E-004
2	1	2	1	1.4530000305175781E+002	3.0000000000000000E+001	5.8206290006637573E-001	-1.1176036787219346E-004	-5.2301627397537231E-001	4.2272016406059265E-001	-1.6504554450511932E-001	3.0087026971159503E-005	8.2947529852390289E-002	-1.1330473423004150E-001	3.4925152431242168E-004
2	1	3	1	1.4530000305175781E+002	5.0000000000000000E+001	8.3684343099594116E-001	-1.6027216042857617E-004	-2.8273341059684753E-001	3.9667972922325134E-001	-4.1350039839744568E-001	7.5088406447321177E-005	3.0579570680856705E-002	-1.8503569066524506E-001	4.7668427578173578E-004
2	1	4	1	1.4530000305175781E+002	7.0000000000000000E+001	9.2813301086425781E-001	-1.7711902910377830E-004	-2.5493362918496132E-003	3.5859379172325134E-001	-6.8987321853637695E-001	1.2460594007279724E-004	-1.5014228224754333E-001	-2.5117293000221252E-001	6.4665469108149409E-004
2	1	5	1	1.4530000305175781E+002	9.0000000000000000E+001	8.5310643911361694E-001	-1.6210119065362960E-004	2.4618647992610931E-001	3.0960431694984436E-001	-9.0741747617721558E-001	1.6286878963001072E-004	-4.5406311750411987E-001	-3.0970650911331177E-001	8.3760602865368128E-004
2	1	6	1	1.4530000305175781E+002	1.1000000000000000E+002	6.5080875158309937E-001	-1.2310007878113538E-004	4.0158140659332275E-001	2.5118696689605713E-001	-9.9058783054351807E-001	1.7663948528934270E-004	-8.3847302198410034E-001	-3.5885018110275269E-001	1.0256689274683595E-003
2	1	7	1	1.4530000305175781E+002	1.3000000000000000E+002	3.9127060770988464E-001	-7.3697978223208338E-005	4.2715838551521301E-001	1.8510934710502625E-001	-8.9582031965255737E-001	1.5879687271080911E-004	-1.2329660654067993E+000	-3.9709761738777161E-001	1.1878842487931252E-003
2	1	8	1	1.4530000305175781E+002	1.5000000000000000E+002	1.5652871131896973E-001	-2.9387569156824611E-005	3.2152998447418213E-001	1.1337961256504059E-001	-6.2446206808090210E-001	1.1019670637324452E-004	-1.5566977262496948E+000	-4.2327180504798889E-001	1.3058093609288335E-003
2	1	9	1	1.4530000305175781E+002	1.7000000000000000E+002	1.8316786736249924E-002	-3.4328195397392847E-006	1.1905668675899506E-001	3.8184840232133865E-002	-2.2393770515918732E-001	3.9421316614607349E-005	-1.7390673160552979E+000	-4.3656480312347412E-001	1.3674508081749082E-003
3	1	1	1	1.4611999511718750E+002	1.0000000000000000E+001	3.3894538879394531E-001	-5.4684729548171163E-005	-1.4014093875885010E+000	2.4093608558177948E-001	-3.2233871519565582E-002	4.8169035835599061E-006	1.0479189455509186E-001	-2.1098243072628975E-002	1.4141638530418277E-003
3	1	2	1	1.4611999511718750E+002	3.0000000000000000E+001	9.4649779796600342E-001	-1.5239549975376576E-004	-1.1633816957473755E+000	2.3365649580955505E-001	-2.7599835395812988E-001	4.1112947656074539E-005	2.5268486142158508E-001	-6.2664806842803955E-002	1.6105714021250606E-003
3	1	3	1	1.4611999511718750E+002	5.0000000000000000E+001	1.3611990213394165E+000	-2.1831935737282038E-004	-7.4719947576522827E-001	2.1930712461471558E-001	-6.9226402044296265E-001	1.0250055493088439E-004	2.3291008174419403E-001	-1.0235760360956192E-001	1.9759687129408121E-003
3	1	4	1	1.4611999511718750E+002	7.0000000000000000E+001	1.5101706981658936E+000	-2.4092799867503345E-004	-2.5614863634109497E-001	1.9830459356307983E-001	-1.1566300392150879E+000	1.6985781257972121E-004	-1.2963251210749149E-002	-1.3898129761219025E-001	2.4625950027257204E-003
