call_id	energy_index	family	branch	legacy_l	form_selector	energy_mev	multipole_real	multipole_imag
1	1	1	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	1	1	2	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	1	1	3	134	1.4510000610351562E+002	-2.0869076251983643E-003	-2.2004306288181397E-007
1	1	1	1	4	134	1.4510000610351562E+002	9.8463584436103702E-005	-7.4954712575570070E-012
1	1	1	1	5	25	1.4510000610351562E+002	5.4351821745513007E-006	0.0000000000000000E+000
1	1	1	1	6	25	1.4510000610351562E+002	4.3343106881366111E-013	-1.2787674019915259E-036
1	1	1	2	1	135	1.4510000610351562E+002	1.1844017028808594E+002	-1.8098412454128265E-001
1	1	1	2	2	21	1.4510000610351562E+002	-2.9397308826446533E-003	-2.5325761043859529E-008
1	1	1	2	3	134	1.4510000610351562E+002	-3.3969385549426079E-004	4.7637104927389373E-008
1	1	1	2	4	134	1.4510000610351562E+002	1.7963444406632334E-005	-5.4239321367610671E-011
1	1	1	2	5	25	1.4510000610351562E+002	-5.2295945351943374E-012	1.6793337990762557E-030
1	1	1	2	6	25	1.4510000610351562E+002	-7.1054273576010019E-015	-1.1804801931791306E-036
1	1	2	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	2	1	2	134	1.4510000610351562E+002	2.6412618160247803E-001	-2.2497956524603069E-004
1	1	2	1	3	134	1.4510000610351562E+002	6.3850311562418938E-004	-1.7762605608595550E-008
1	1	2	1	4	134	1.4510000610351562E+002	6.5684900619089603E-005	7.1655951571630849E-013
1	1	2	1	5	25	1.4510000610351562E+002	1.5148771126405336E-010	-1.2631034745913323E-030
1	1	2	1	6	25	1.4510000610351562E+002	1.8562928971732617E-013	-1.4671868454941071E-037
1	1	2	2	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	2	2	2	21	1.4510000610351562E+002	1.8688237667083740E-001	7.7784854113360780E-008
1	1	2	2	3	134	1.4510000610351562E+002	5.7212228421121836E-004	-2.0443938097969294E-008
1	1	2	2	4	124	1.4510000610351562E+002	-3.5246110201114789E-005	0.0000000000000000E+000
1	1	2	2	5	25	1.4510000610351562E+002	1.0317080523236655E-010	-4.1613087766284389E-031
1	1	2	2	6	25	1.4510000610351562E+002	1.2700951401711791E-013	2.3699544355801328E-037
1	1	3	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	3	1	2	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	3	1	3	134	1.4510000610351562E+002	-5.1879221573472023E-003	1.4529490499626263E-007
1	1	3	1	4	134	1.4510000610351562E+002	1.2538205191958696E-004	1.2335100996185844E-010
1	1	3	1	5	25	1.4510000610351562E+002	1.2869350030086935E-010	7.0628425144297858E-030
1	1	3	1	6	25	1.4510000610351562E+002	1.4210854715202004E-013	1.3486661424202855E-036
1	1	3	2	1	135	1.4510000610351562E+002	7.6504831314086914E+000	-2.2353595495223999E-001
1	1	3	2	2	134	1.4510000610351562E+002	-1.7987057566642761E-002	4.5383894757833332E-005
1	1	3	2	3	134	1.4510000610351562E+002	2.8517912141978741E-004	7.4137716410405119E-008
1	1	3	2	4	134	1.4510000610351562E+002	-4.3951149564236403E-007	-5.3791103515887784E-012
1	1	3	2	5	25	1.4510000610351562E+002	-1.7053025658242404E-012	4.2612204361940936E-030
1	1	3	2	6	25	1.4510000610351562E+002	-3.5527136788005009E-015	3.3982642429811418E-037
1	1	4	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	4	1	2	134	1.4510000610351562E+002	-3.3466395735740662E-001	6.1495455156546086E-005
1	1	4	1	3	134	1.4510000610351562E+002	-1.9069248810410500E-004	2.6549127341013445E-008
1	1	4	1	4	134	1.4510000610351562E+002	-7.3573210102040321E-007	1.1781797759624624E-011
1	1	4	1	5	25	1.4510000610351562E+002	5.0505377657827921E-011	9.0211781109222983E-031
1	1	4	1	6	25	1.4510000610351562E+002	6.2172489379008766E-014	1.5454710007749373E-037
1	1	4	2	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	4	2	2	134	1.4510000610351562E+002	6.1613172292709351E-002	-4.2587675125105307E-005
1	1	4	2	3	134	1.4510000610351562E+002	-2.4488905910402536E-004	-3.8054658091368765E-008
1	1	4	2	4	134	1.4510000610351562E+002	5.8550955145619810E-005	-2.9561177724429788E-012
1	1	4	2	5	25	1.4510000610351562E+002	3.4390268410788849E-011	-1.0659417567889287E-030
1	1	4	2	6	25	1.4510000610351562E+002	4.2188474935755949E-014	-6.8109046871674847E-038
1	1	5	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	5	1	2	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	5	1	3	134	1.4510000610351562E+002	-7.6555646955966949E-004	-2.8762903525603178E-007
1	1	5	1	4	134	1.4510000610351562E+002	-4.1633902583271265E-006	-8.0454920503569838E-011
1	1	5	1	5	3	1.4510000610351562E+002	-1.2869350030086935E-010	-7.1175629989746882E-030
1	1	5	1	6	3	1.4510000610351562E+002	-1.4210854715202004E-013	-1.3471141763450765E-036
1	1	5	2	1	135	1.4510000610351562E+002	1.3943824768066406E+001	2.9522472620010376E-001
1	1	5	2	2	134	1.4510000610351562E+002	1.7750382423400879E-002	-4.4673623051494360E-005
1	1	5	2	3	134	1.4510000610351562E+002	-3.0741118825972080E-004	-7.4749593181877572E-008
1	1	5	2	4	134	1.4510000610351562E+002	4.3937325244769454E-007	5.3773738933893256E-012
1	1	5	2	5	3	1.4510000610351562E+002	1.7053025658242404E-012	-4.2614186715614163E-030
1	1	5	2	6	3	1.4510000610351562E+002	3.5527136788005009E-015	-3.3982415979979583E-037
1	1	6	1	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	6	1	2	134	1.4510000610351562E+002	2.6073563098907471E-001	-1.4032219769433141E-004
1	1	6	1	3	134	1.4510000610351562E+002	-5.3586671128869057E-005	-3.0562983255322251E-008
1	1	6	1	4	134	1.4510000610351562E+002	-1.5688281564507633E-004	-7.1770603349285977E-011
1	1	6	1	5	25	1.4510000610351562E+002	-5.0505377657827921E-011	-9.0188478109212282E-031
1	1	6	1	6	3	1.4510000610351562E+002	-6.2172489379008766E-014	-1.5455285100639132E-037
1	1	6	2	1	0	1.4510000610351562E+002	0.0000000000000000E+000	0.0000000000000000E+000
1	1	6	2	2	134	1.4510000610351562E+002	-7.0013716816902161E-002	5.9996284107910469E-005
1	1	6	2	3	134	1.4510000610351562E+002	1.1950579937547445E-004	3.2535968585989394E-008
1	1	6	2	4	134	1.4510000610351562E+002	-1.8000537238549441E-007	-1.8356366773830679E-012
1	1	6	2	5	25	1.4510000610351562E+002	-3.4390268410788849E-011	1.0627372651490391E-030
1	1	6	2	6	3	1.4510000610351562E+002	-4.2188474935755949E-014	6.8144482907240693E-038
2	1	1	1	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	1	2	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	1	1	3	134	1.4530000305175781E+002	-3.2982043921947479E-003	-3.2928838322732190E-007
2	1	1	1	4	134	1.4530000305175781E+002	1.5572746633552015E-004	-1.5532054808975460E-011
2	1	1	1	5	25	1.4530000305175781E+002	9.7315933089703321E-010	-1.5733660309833002E-027
2	1	1	1	6	25	1.4530000305175781E+002	1.3642420526593924E-012	-6.3731226205555014E-034
2	1	1	2	1	135	1.4530000305175781E+002	1.1843511962890625E+002	-1.6411961615085602E-001
2	1	1	2	2	21	1.4530000305175781E+002	-3.2810866832733154E-003	-1.2650933456370694E-007
2	1	1	2	3	134	1.4530000305175781E+002	-5.3855683654546738E-004	7.1273483115419367E-008
2	1	1	2	4	134	1.4530000305175781E+002	2.6321140467189252E-005	-1.0897509977736419E-010
2	1	1	2	5	25	1.4530000305175781E+002	-1.3187673175707459E-011	2.6487478229202928E-028
2	1	1	2	6	25	1.4530000305175781E+002	-1.4210854715202004E-014	-5.8830686684247863E-034
2	1	2	1	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	2	1	2	134	1.4530000305175781E+002	3.2889574766159058E-001	-2.7880273410119116E-004
2	1	2	1	3	134	1.4530000305175781E+002	1.0115969926118851E-003	-2.6594623392384165E-008
2	1	2	1	4	134	1.4530000305175781E+002	1.0397549340268597E-004	4.7382491810341043E-013
2	1	2	1	5	25	1.4530000305175781E+002	3.8244252209551632E-010	-1.9944258836006109E-028
2	1	2	1	6	25	1.4530000305175781E+002	5.8975047068088315E-013	-7.3200725153684974E-035
2	1	2	2	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	2	2	2	21	1.4530000305175781E+002	2.5046694278717041E-001	3.9465282952733105E-007
2	1	2	2	3	134	1.4530000305175781E+002	9.0653984807431698E-004	-3.0607871792653896E-008
2	1	2	2	4	124	1.4530000305175781E+002	-7.0214337029028684E-005	0.0000000000000000E+000
2	1	2	2	5	25	1.4530000305175781E+002	2.6034285838250071E-010	-6.5705146353336463E-029
2	1	2	2	6	25	1.4530000305175781E+002	4.0500935938325711E-013	1.1824213875031146E-034
2	1	3	1	1	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	3	1	2	0	1.4530000305175781E+002	0.0000000000000000E+000	0.0000000000000000E+000
2	1	3	1	3	134	1.4530000305175781E+002	-8.1970859318971634E-003	2.1794573967781616E-007
2	1	3	1	4	134	1.4530000305175781E+002	1.9998700008727610E-004	2.1878378275719257E-010
2	1	3	1	5	25	1.4530000305175781E+002	3.2468960853293538E-010	1.1140568726327187E-027
2	1	3	1	6	25	1.4530000305175781E+002	4.5474735088646412E-013	6.7215037894732066E-034
