row_id	family	branch	legacy_l	state_index	form_selector	dispatch	exact_fields	first_difference	classification
1	1	1	5	3	25	F	10	none	EXACT
2	1	1	6	3	25	T	10	none	EXACT
3	1	2	2	4	21	T	10	none	EXACT
4	1	2	5	4	25	T	10	none	EXACT
5	1	2	6	4	25	T	10	none	EXACT
6	2	1	5	3	25	T	10	none	EXACT
7	2	1	6	3	25	T	8	ter	DIFFERENT
8	2	2	2	4	21	T	6	ter	DIFFERENT
9	2	2	5	4	25	T	8	ter	DIFFERENT
10	2	2	6	4	25	T	8	ter	DIFFERENT
11	3	1	5	1	25	T	10	none	EXACT
12	3	1	6	1	25	T	10	none	EXACT
13	3	2	5	2	25	T	10	none	EXACT
14	3	2	6	2	25	T	10	none	EXACT
15	4	1	5	1	25	T	8	ter	DIFFERENT
16	4	1	6	1	25	T	8	ter	DIFFERENT
17	4	2	5	2	25	T	8	ter	DIFFERENT
18	4	2	6	2	25	T	8	ter	DIFFERENT
19	5	1	5	1	3	T	8	ter	DIFFERENT
20	5	1	6	1	3	T	8	ter	DIFFERENT
21	5	2	5	2	3	T	8	ter	DIFFERENT
22	5	2	6	2	3	T	8	ter	DIFFERENT
23	6	1	5	1	25	T	8	ter	DIFFERENT
24	6	1	6	1	3	T	8	ter	DIFFERENT
25	6	2	5	2	25	T	8	ter	DIFFERENT
26	6	2	6	2	3	T	8	ter	DIFFERENT
