metric	observed	reference	classification
typed_exit	0	0	PASS
forced_legacy_exit	0	0	PASS
typed_trace_calls	133	133	PASS
typed_trace_rows	3458	3458	PASS
forced_legacy_go5_field_rows	3432	3432	PASS
call_1_compared_fields	260	260	PASS
call_1_metadata_exact	260	260	PASS
call_1_value_exact	226	260	CAPTURED
call_1_exact_forms	10	26	CAPTURED
first_value_difference	row=7,field=ter	none	CAPTURED
typed_go5_rows	1533	1533	PASS
forced_legacy_go5_rows	1533	1533	PASS
go5_full_corpus_exact	no	yes	CAPTURED
structural_validation	PASS	PASS	PASS
