row	field	typed	forced_legacy
1	3	0.14356E-03	0.14353E-03
3	3	0.26228E-03	0.26230E-03
4	3	0.36541E-03	0.36546E-03
5	3	0.48132E-03	0.48138E-03
6	3	0.59560E-03	0.59564E-03
8	3	0.76662E-03	0.76659E-03
9	3	0.80450E-03	0.80445E-03
19	6	-0.423E+00	-0.422E+00
21	3	0.19760E-02	0.19759E-02
22	3	0.24626E-02	0.24625E-02
23	3	0.30093E-02	0.30092E-02
24	3	0.35468E-02	0.35467E-02
26	3	0.43367E-02	0.43368E-02
27	3	0.45068E-02	0.45069E-02
30	3	0.21722E-02	0.21721E-02
34	3	0.43464E-02	0.43465E-02
36	3	0.48804E-02	0.48805E-02
40	3	0.41539E-02	0.41540E-02
41	3	0.48208E-02	0.48210E-02
42	3	0.55414E-02	0.55415E-02
45	3	0.74394E-02	0.74392E-02
46	3	0.78202E-02	0.78199E-02
47	3	0.80320E-02	0.80317E-02
47	6	-0.629E-01	-0.630E-01
68	3	0.35134E-02	0.35133E-02
69	3	0.38797E-02	0.38796E-02
70	3	0.45572E-02	0.45571E-02
71	3	0.54547E-02	0.54545E-02
72	3	0.64596E-02	0.64595E-02
74	3	0.82808E-02	0.82810E-02
75	3	0.88730E-02	0.88733E-02
76	3	0.91742E-02	0.91746E-02
77	3	0.47979E-02	0.47980E-02
78	3	0.52579E-02	0.52580E-02
82	3	0.96958E-02	0.96957E-02
86	3	0.54413E-02	0.54412E-02
90	3	0.66690E-02	0.66692E-02
91	3	0.72231E-02	0.72233E-02
92	3	0.78425E-02	0.78428E-02
93	3	0.85079E-02	0.85082E-02
94	3	0.91985E-02	0.91988E-02
95	3	0.98922E-02	0.98924E-02
99	3	0.12257E-01	0.12256E-01
101	3	0.12956E-01	0.12955E-01
104	3	0.63397E-02	0.63399E-02
105	3	0.69083E-02	0.69084E-02
107	3	0.93240E-02	0.93239E-02
110	6	-0.313E+01	-0.314E+01
112	3	0.14904E-01	0.14905E-01
113	3	0.91258E-02	0.91256E-02
114	3	0.98862E-02	0.98861E-02
118	3	0.17012E-01	0.17013E-01
128	6	-0.916E-02	-0.922E-02
130	3	0.24522E-01	0.24521E-01
142	3	0.13621E-01	0.13620E-01
145	3	0.16191E-01	0.16190E-01
175	3	0.25440E-01	0.25441E-01
181	3	0.16596E-01	0.16595E-01
187	3	0.23596E-01	0.23595E-01
195	3	0.33362E-01	0.33363E-01
195	6	-0.752E+00	-0.751E+00
196	3	0.33765E-01	0.33766E-01
198	3	0.22051E-01	0.22052E-01
202	3	0.34404E-01	0.34403E-01
210	3	0.31035E-01	0.31034E-01
215	3	0.45080E-01	0.45081E-01
219	3	0.33021E-01	0.33020E-01
247	3	0.28454E-01	0.28453E-01
257	6	0.363E-01	0.362E-01
259	6	-0.395E+00	-0.396E+00
285	3	0.42345E-01	0.42344E-01
286	3	0.48035E-01	0.48034E-01
290	3	0.66429E-01	0.66430E-01
291	3	0.67697E-01	0.67698E-01
292	6	-0.549E-01	-0.550E-01
297	3	0.67205E-01	0.67206E-01
299	3	0.74869E-01	0.74868E-01
300	3	0.76220E-01	0.76219E-01
303	3	0.51050E-01	0.51049E-01
306	3	0.71135E-01	0.71134E-01
308	6	0.568E+00	0.569E+00
311	3	0.47490E-01	0.47491E-01
311	6	-0.342E+00	-0.341E+00
313	3	0.57009E-01	0.57010E-01
314	3	0.62935E-01	0.62936E-01
317	3	0.79013E-01	0.79012E-01
319	3	0.84696E-01	0.84695E-01
320	3	0.85806E-01	0.85805E-01
327	6	0.203E-01	0.202E-01
329	3	0.70820E-01	0.70819E-01
334	3	0.81359E-01	0.81358E-01
335	3	0.83233E-01	0.83232E-01
339	6	0.178E-01	0.179E-01
340	3	0.90978E-01	0.90979E-01
344	3	0.68551E-01	0.68552E-01
344	6	-0.286E-01	-0.285E-01
345	6	0.732E+00	0.733E+00
346	6	0.175E-01	0.174E-01
347	3	0.89407E-01	0.89406E-01
348	3	0.92802E-01	0.92800E-01
349	3	0.94295E-01	0.94293E-01
350	6	0.841E-01	0.842E-01
352	6	-0.162E-01	-0.160E-01
353	3	0.68551E-01	0.68552E-01
356	3	0.89407E-01	0.89406E-01
357	3	0.92802E-01	0.92800E-01
358	3	0.94295E-01	0.94293E-01
358	6	-0.327E-01	-0.329E-01
364	3	0.64945E-01	0.64946E-01
386	3	0.62287E-01	0.62288E-01
387	3	0.67204E-01	0.67205E-01
387	6	-0.601E+00	-0.600E+00
388	3	0.75626E-01	0.75627E-01
389	3	0.85624E-01	0.85625E-01
392	3	0.11059E+00	0.11058E+00
398	3	0.92517E-01	0.92516E-01
405	3	0.73563E-01	0.73564E-01
420	6	0.622E+00	0.621E+00
433	6	0.512E+00	0.513E+00
436	3	0.75536E-01	0.75537E-01
457	6	-0.169E+00	-0.170E+00
460	6	-0.635E-01	-0.634E-01
470	3	0.14098E+00	0.14099E+00
489	3	0.97458E-01	0.97459E-01
490	6	-0.250E+00	-0.249E+00
498	3	0.99744E-01	0.99743E-01
500	6	0.273E+01	0.272E+01
514	3	0.18355E+00	0.18356E+00
519	6	0.345E-01	0.344E-01
584	6	-0.213E+00	-0.214E+00
594	6	-0.657E-02	-0.653E-02
621	3	0.18989E+00	0.18990E+00
632	3	0.24071E+00	0.24070E+00
664	6	-0.212E-01	-0.211E-01
668	3	0.28485E+00	0.28486E+00
672	3	0.17756E+00	0.17755E+00
677	3	0.28814E+00	0.28815E+00
