metric	selector	exact	total
request	124	133	133
w	124	133	133
reconstructed	124	133	133
typed_roundtrip	124	11	133
forced_roundtrip	124	11	133
born	124	0	0
opec	124	133	133
raw_real	124	133	133
raw_imag	124	133	133
return_real	124	133	133
return_imag	124	133	133
request	134	3990	3990
w	134	3990	3990
reconstructed	134	3990	3990
typed_roundtrip	134	330	3990
forced_roundtrip	134	330	3990
born	134	1256	3990
opec	134	3990	3990
raw_real	134	1276	3990
raw_imag	134	1288	3990
return_real	134	809	2527
return_imag	134	800	2527
structural_key_errors	all	0	0
