metric	selector	exact	total
request	124	133	133
w	124	133	133
reconstructed	124	133	133
typed_roundtrip	124	11	133
forced_roundtrip	124	11	133
born	124	0	0
opec	124	133	133
raw_real	124	133	133
raw_imag	124	133	133
return_real	124	133	133
return_imag	124	133	133
request	134	3990	3990
w	134	3990	3990
reconstructed	134	3990	3990
typed_roundtrip	134	330	3990
forced_roundtrip	134	330	3990
born	134	3990	3990
opec	134	3990	3990
raw_real	134	3990	3990
raw_imag	134	3990	3990
return_real	134	2527	2527
return_imag	134	2527	2527
request	135	399	399
w	135	399	399
reconstructed	135	399	399
typed_roundtrip	135	33	399
forced_roundtrip	135	33	399
born	135	399	399
opec	135	399	399
raw_real	135	399	399
raw_imag	135	399	399
return_real	135	266	266
return_imag	135	266	266
structural_key_errors	all	0	0
