sequence	row_id	family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	pre_reset_energy	post_reset_energy	epxx	dispatch	dispatch_branch	dispatch_title	previous_title	effective_energy	dither_before	hadronic_real	hadronic_imag
1	1	1	1	5	2	5	3	25	8.4995721435546875E+002	0.0000000000000000E+000	0.0000000000000000E+000	F	NA	NA	NA	NA	NA	NA	NA
1	2	1	1	6	2	5	3	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	M05	BLANK	8.4995819091796875E+002	1.0000000474974513E-003	-1.4165281318128109E-003	9.9192489869892597E-004
1	3	1	2	2	2	1	4	21	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	M05	8.4995623779296875E+002	-1.0000000474974513E-003	-6.7707888782024384E-002	1.1722826957702637E-001
1	4	1	2	5	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-1.2319184606894851E-003	9.8886003252118826E-004
1	5	1	2	6	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	9.8042581230401993E-003	7.5485056731849909E-004
1	6	2	1	5	2	5	3	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-2.1399506367743015E-003	3.1386986374855042E-003
1	7	2	1	6	2	5	3	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-1.4165212633088231E-003	9.9191966000944376E-004
1	8	2	2	2	2	1	4	21	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-6.7707628011703491E-002	1.1722847074270248E-001
1	9	2	2	5	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-1.2319184606894851E-003	9.8886003252118826E-004
1	10	2	2	6	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	9.8042581230401993E-003	7.5485056731849909E-004
1	11	3	1	5	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	4.4519096612930298E-002	6.7601697519421577E-003
1	12	3	1	6	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	7.7557615004479885E-003	1.8976603168994188E-003
1	13	3	2	5	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	5.8970255777239799E-003	1.7298312159255147E-003
1	14	3	2	6	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-3.6751516163349152E-003	1.3506921277439687E-005
1	15	4	1	5	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	4.4519096612930298E-002	6.7601697519421577E-003
1	16	4	1	6	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	7.7557615004479885E-003	1.8976603168994188E-003
1	17	4	2	5	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	5.8970255777239799E-003	1.7298312159255147E-003
1	18	4	2	6	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-3.6751516163349152E-003	1.3506921277439687E-005
1	19	5	1	5	0	3	1	3	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	4.4519096612930298E-002	6.7601697519421577E-003
1	20	5	1	6	0	3	1	3	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	7.7557615004479885E-003	1.8976603168994188E-003
1	21	5	2	5	0	3	2	3	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	5.8970255777239799E-003	1.7298312159255147E-003
1	22	5	2	6	0	3	2	3	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-3.6751516163349152E-003	1.3506921277439687E-005
1	23	6	1	5	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	4.4519096612930298E-002	6.7601697519421577E-003
1	24	6	1	6	0	3	1	3	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	7.7557615004479885E-003	1.8976603168994188E-003
1	25	6	2	5	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	5.8970255777239799E-003	1.7298312159255147E-003
1	26	6	2	6	0	3	2	3	8.4995721435546875E+002	8.4995721435546875E+002	8.4995721435546875E+002	T	7	SP00	SP00	8.4995721435546875E+002	1.0000000474974513E-003	-3.6751516163349152E-003	1.3506921277439687E-005
