independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
Acm	0.000	0.6164E+01	0.0000E+00	0.00	0.1972E+02
Acm	10.000	0.4588E+01	0.0000E+00	5.60	0.1452E+02
Acm	20.000	0.6784E+01	0.0000E+00	11.26	0.2083E+02
Acm	30.000	0.9477E+01	0.0000E+00	17.03	0.2764E+02
Acm	40.000	0.1114E+02	0.0000E+00	22.99	0.3024E+02
Acm	50.000	0.1155E+02	0.0000E+00	29.19	0.2857E+02
Acm	60.000	0.1080E+02	0.0000E+00	35.71	0.2387E+02
Acm	70.000	0.9326E+01	0.0000E+00	42.64	0.1804E+02
Acm	80.000	0.7753E+01	0.0000E+00	50.09	0.1287E+02
Acm	90.000	0.6593E+01	0.0000E+00	58.15	0.9214E+01
Acm	100.000	0.6002E+01	0.0000E+00	66.98	0.6940E+01
Acm	110.000	0.5764E+01	0.0000E+00	76.71	0.5433E+01
Acm	120.000	0.5524E+01	0.0000E+00	87.52	0.4199E+01
Acm	130.000	0.5086E+01	0.0000E+00	99.57	0.3104E+01
Acm	140.000	0.4548E+01	0.0000E+00	113.02	0.2240E+01
Acm	150.000	0.4176E+01	0.0000E+00	127.94	0.1691E+01
Acm	160.000	0.4126E+01	0.0000E+00	144.29	0.1423E+01
Acm	170.000	0.4286E+01	0.0000E+00	161.81	0.1328E+01
Acm	180.000	0.4385E+01	0.0000E+00	180.00	0.1308E+01
