contract	id	expected_rows	modern_sha256	arndt64_sha256	gwdac_sha256	candidate_sha256	oracle_exact	candidate_exact
dsg	cm12_pi_plus_dsg_baseline	19	b88f0290fdb4a496bb2da12519f96b3fc285b93d28f31a3bd4c25d36414fe31d	b88f0290fdb4a496bb2da12519f96b3fc285b93d28f31a3bd4c25d36414fe31d	b88f0290fdb4a496bb2da12519f96b3fc285b93d28f31a3bd4c25d36414fe31d	279e6155b41a83364a52e4f83769ce8dd363666117118030cb885b99b3beabb6	yes	no
dsg	cm12_pi0p_dsg	7	42f40dfac00d165f6aa4d6942b201adf987de76b9e769be9793ff76a92fa7085	42f40dfac00d165f6aa4d6942b201adf987de76b9e769be9793ff76a92fa7085	42f40dfac00d165f6aa4d6942b201adf987de76b9e769be9793ff76a92fa7085	066ccd068f221429c64ac723f6ef0c139321dc71d6af115276d6b5a8a2a8035b	yes	no
dsg	cm12_pi_minus_dsg	7	def91715f3dfb72e15a5d6e4f274d6c312a0c091e1242a254608c2216404049a	def91715f3dfb72e15a5d6e4f274d6c312a0c091e1242a254608c2216404049a	def91715f3dfb72e15a5d6e4f274d6c312a0c091e1242a254608c2216404049a	ee12a658b43ba6537f45b165f4c9a6bb5c5d4f25acc77a95c9343e5cb2f4a7a9	yes	no
dsg	cm12_pi0n_dsg	7	27159e195b04f16ce32c4d69c22178c83ee6adcaeaf53eee6df9eb945f7825b4	27159e195b04f16ce32c4d69c22178c83ee6adcaeaf53eee6df9eb945f7825b4	27159e195b04f16ce32c4d69c22178c83ee6adcaeaf53eee6df9eb945f7825b4	8c14c39b993c72abd09982d47752223235185a1b9eae83522ea9bf7ae6d50f2c	yes	no
dsg	cm12_pi_plus_dsg_fixed_w	7	ce4db631ac8d7e8099fd7a96e61eeb6174e95526648cfe5c761638c61950e0f6	ce4db631ac8d7e8099fd7a96e61eeb6174e95526648cfe5c761638c61950e0f6	ce4db631ac8d7e8099fd7a96e61eeb6174e95526648cfe5c761638c61950e0f6	4d367302dda30200a20ed0198e8b823b49cdce2240de005bc76a39dbbf73cc0c	yes	no
dsg	cm12_pi_plus_dsg_energy_sweep	4	837474c95d4a6d34526c5fb982b6eeac7b77815698d7b5d2595960f5fa4e0c46	837474c95d4a6d34526c5fb982b6eeac7b77815698d7b5d2595960f5fa4e0c46	837474c95d4a6d34526c5fb982b6eeac7b77815698d7b5d2595960f5fa4e0c46	dcf105eec1182319dcdd7b3f94c2536b1263d5f493861e5217c1a3aa4e638e47	yes	no
dsg	cm12_pi_plus_dsg_cosine_clamp	5	fee6d3a2e490d8afc9676d741aa7623f632576346589fb939e1f3db5e498911e	fee6d3a2e490d8afc9676d741aa7623f632576346589fb939e1f3db5e498911e	fee6d3a2e490d8afc9676d741aa7623f632576346589fb939e1f3db5e498911e	0aa2f2482ae7a78387fc75e216fa72d688b684486a97bab657ae9b232ad90054	yes	no
dsg	cm12_pi_plus_dsg_dense_grid	61	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	yes	yes
dsg	cm12_invalid_reaction_recovery	7	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	4e002e2cc71495b723d1eb385c0eefdbf178f29cccd638f1c87d45f3a664ccc0	yes	no
dsg	cm12_unknown_observable_recovery	7	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	4e002e2cc71495b723d1eb385c0eefdbf178f29cccd638f1c87d45f3a664ccc0	yes	no
