id	category	exit_status	stderr_bytes	result_rows	result_sha256	behavior
cm12_pi_plus_dsg_baseline	normal	0	0	19	279e6155b41a83364a52e4f83769ce8dd363666117118030cb885b99b3beabb6	pass
cm12_pi0p_dsg	normal	0	0	7	066ccd068f221429c64ac723f6ef0c139321dc71d6af115276d6b5a8a2a8035b	pass
cm12_pi_minus_dsg	normal	0	0	7	ee12a658b43ba6537f45b165f4c9a6bb5c5d4f25acc77a95c9343e5cb2f4a7a9	pass
cm12_pi0n_dsg	normal	0	0	7	8c14c39b993c72abd09982d47752223235185a1b9eae83522ea9bf7ae6d50f2c	pass
cm12_pi_plus_dsg_fixed_w	normal	0	0	7	4d367302dda30200a20ed0198e8b823b49cdce2240de005bc76a39dbbf73cc0c	pass
cm12_pi_plus_dsg_energy_sweep	normal	0	0	4	dcf105eec1182319dcdd7b3f94c2536b1263d5f493861e5217c1a3aa4e638e47	pass
cm12_pi_plus_dsg_cosine_clamp	boundary	0	0	5	0aa2f2482ae7a78387fc75e216fa72d688b684486a97bab657ae9b232ad90054	pass
cm12_pi_plus_dsg_dense_grid	boundary	0	99	61	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	pass
cm12_invalid_reaction_recovery	malformed	0	0	7	4e002e2cc71495b723d1eb385c0eefdbf178f29cccd638f1c87d45f3a664ccc0	pass
cm12_unknown_observable_recovery	malformed	0	0	7	4e002e2cc71495b723d1eb385c0eefdbf178f29cccd638f1c87d45f3a664ccc0	pass
cm12_pi_plus_below_threshold	scientifically_invalid	0	100	7	11a7c63757d9d8cd2123d5c5187ab7c6d2865796a5556b0f3023db3faf040f29	pass
