section	case	value_1	value_2	exact
background	A-B-A	60	124	T
multipole	S11	  1.10000000E+03	  1.47248507E+01	T
multipole	S31	  1.10000000E+03	 -2.56901093E+01	T
multipole	P11	  1.10000000E+03	  7.91384101E-01	T
multipole	P31	  1.10000000E+03	 -5.17245579E+00	T
multipole	P13	  1.10000000E+03	  1.51705980E+00	T
multipole	P33	  1.10000000E+03	 -2.31896067E+00	T
multipole	D13	  1.10000000E+03	  1.18840539E+00	T
multipole	D33	  1.10000000E+03	 -2.34228659E+00	T
multipole	D15	  1.10000000E+03	  2.24126458E-01	T
multipole	D35	  1.10000000E+03	 -3.37933600E-01	T
multipole	F15	  1.10000000E+03	  1.34518936E-01	T
multipole	F17	  1.10000000E+03	  4.01234291E-02	T
multipole	F35	  1.10000000E+03	 -1.89056799E-01	T
multipole	F37	  1.10000000E+03	 -6.01705164E-02	T
multipole	S11	  1.50000000E+03	  9.11168289E+00	T
multipole	S31	  1.50000000E+03	  8.63357162E+00	T
multipole	P11	  1.50000000E+03	  3.14738274E-01	T
multipole	P31	  1.50000000E+03	  5.83694077E+00	T
multipole	P13	  1.50000000E+03	  1.23259997E+00	T
multipole	P33	  1.50000000E+03	 -2.76247501E+00	T
multipole	D13	  1.50000000E+03	  2.75081253E+00	T
multipole	D33	  1.50000000E+03	 -4.23247004E+00	T
multipole	D15	  1.50000000E+03	  4.25070345E-01	T
multipole	D35	  1.50000000E+03	 -7.45697320E-01	T
multipole	F15	  1.50000000E+03	  8.96428168E-01	T
multipole	F17	  1.50000000E+03	  1.89682499E-01	T
multipole	F35	  1.50000000E+03	 -6.97156131E-01	T
multipole	F37	  1.50000000E+03	 -2.98795074E-01	T
multipole	S11	  1.90000000E+03	  1.21587048E+01	T
multipole	S31	  1.90000000E+03	  3.40820770E+01	T
multipole	P11	  1.90000000E+03	  5.67808151E-02	T
multipole	P31	  1.90000000E+03	  1.73620510E+01	T
multipole	P13	  1.90000000E+03	  9.96989131E-01	T
multipole	P33	  1.90000000E+03	 -2.29463100E+00	T
multipole	D13	  1.90000000E+03	  2.37681913E+00	T
multipole	D33	  1.90000000E+03	  3.53503227E-02	T
multipole	D15	  1.90000000E+03	  2.97971368E-01	T
multipole	D35	  1.90000000E+03	 -5.72273195E-01	T
multipole	F15	  1.90000000E+03	  1.03521991E+00	T
multipole	F17	  1.90000000E+03	  1.48736522E-01	T
multipole	F35	  1.90000000E+03	 -1.08244479E-01	T
multipole	F37	  1.90000000E+03	 -2.65749305E-01	T
