row_id	orbital_l	input_energy_mev	unscaled_real	unscaled_imag	expected_real	expected_imag	actual_real	actual_imag	real_exact	imag_exact
2	5	  5.0081615336239338E-003	  2.3886955916952238E-015	  5.7058665060100354E-030	  1.1768648455799790E-029	  0.0000000000000000E+000	  1.1768648455799790E-029	  0.0000000000000000E+000	T	T
3	1	  5.0081615336239338E-003	  6.7302415845915675E-004	  4.5296175699149899E-007	  8.4334089933690848E-008	  7.1122417376616627E-015	  8.4334089933690848E-008	  7.1122417376616627E-015	T	T
4	4	  5.0081615336239338E-003	 -3.8778539841050064E-013	  1.5037750985222539E-025	 -7.6297261037534098E-025	  0.0000000000000000E+000	 -7.6297261037534098E-025	  0.0000000000000000E+000	T	T
5	5	  5.0081615336239338E-003	  4.6220796456983727E-015	  2.1363620153991231E-029	  2.2772108393734072E-029	  0.0000000000000000E+000	  2.2772108393734072E-029	  0.0000000000000000E+000	T	T
6	4	  5.0081615336239338E-003	  9.3281209579548774E-013	  8.7013842757729048E-025	  1.8353194086612874E-024	  0.0000000000000000E+000	  1.8353194086612874E-024	  0.0000000000000000E+000	T	T
7	5	  5.0081615336239338E-003	  2.3886955916952238E-015	  5.7058665060100354E-030	  1.1768648455799790E-029	  0.0000000000000000E+000	  1.1768648455799790E-029	  0.0000000000000000E+000	T	T
8	1	  5.0081615336239338E-003	  6.7302415845915675E-004	  4.5296175699149899E-007	  8.4334089933690848E-008	  7.1122417376616627E-015	  8.4334089933690848E-008	  7.1122417376616627E-015	T	T
9	4	  5.0081615336239338E-003	 -3.8778539841050064E-013	  1.5037750985222539E-025	 -7.6297261037534098E-025	  0.0000000000000000E+000	 -7.6297261037534098E-025	  0.0000000000000000E+000	T	T
10	5	  5.0081615336239338E-003	  4.6220796456983727E-015	  2.1363620153991231E-029	  2.2772108393734072E-029	  0.0000000000000000E+000	  2.2772108393734072E-029	  0.0000000000000000E+000	T	T
11	4	  5.0081615336239338E-003	  9.9808193394085309E-013	  9.9616753604869140E-025	  1.9637384698526685E-024	  0.0000000000000000E+000	  1.9637384698526685E-024	  0.0000000000000000E+000	T	T
12	5	  5.0081615336239338E-003	  3.7746384285634958E-015	  1.4247895816260325E-029	  1.8596925492381747E-029	  0.0000000000000000E+000	  1.8596925492381747E-029	  0.0000000000000000E+000	T	T
13	4	  5.0081615336239338E-003	  1.4760511606384807E-012	  2.1787271267830035E-024	  2.9041490212974993E-024	  0.0000000000000000E+000	  2.9041490212974993E-024	  0.0000000000000000E+000	T	T
14	5	  5.0081615336239338E-003	  1.9958336639456804E-015	  3.9833520034111257E-030	  9.8330926232725406E-030	  0.0000000000000000E+000	  9.8330926232725406E-030	  0.0000000000000000E+000	T	T
15	4	  5.0081615336239338E-003	  9.9808193394085309E-013	  9.9616753604869140E-025	  1.9637384698526685E-024	  0.0000000000000000E+000	  1.9637384698526685E-024	  0.0000000000000000E+000	T	T
16	5	  5.0081615336239338E-003	  3.7746384285634958E-015	  1.4247895816260325E-029	  1.8596925492381747E-029	  0.0000000000000000E+000	  1.8596925492381747E-029	  0.0000000000000000E+000	T	T
17	4	  5.0081615336239338E-003	  1.4760511606384807E-012	  2.1787271267830035E-024	  2.9041490212974993E-024	  0.0000000000000000E+000	  2.9041490212974993E-024	  0.0000000000000000E+000	T	T
18	5	  5.0081615336239338E-003	  1.9958336639456804E-015	  3.9833520034111257E-030	  9.8330926232725406E-030	  0.0000000000000000E+000	  9.8330926232725406E-030	  0.0000000000000000E+000	T	T
19	4	  5.0081615336239338E-003	  9.9808193394085309E-013	  9.9616753604869140E-025	  1.9637384698526685E-024	  0.0000000000000000E+000	  1.9637384698526685E-024	  0.0000000000000000E+000	T	T
20	5	  5.0081615336239338E-003	  3.7746384285634958E-015	  1.4247895816260325E-029	  1.8596925492381747E-029	  0.0000000000000000E+000	  1.8596925492381747E-029	  0.0000000000000000E+000	T	T
21	4	  5.0081615336239338E-003	  1.4760511606384807E-012	  2.1787271267830035E-024	  2.9041490212974993E-024	  0.0000000000000000E+000	  2.9041490212974993E-024	  0.0000000000000000E+000	T	T
22	5	  5.0081615336239338E-003	  1.9958336639456804E-015	  3.9833520034111257E-030	  9.8330926232725406E-030	  0.0000000000000000E+000	  9.8330926232725406E-030	  0.0000000000000000E+000	T	T
23	4	  5.0081615336239338E-003	  9.9808193394085309E-013	  9.9616753604869140E-025	  1.9637384698526685E-024	  0.0000000000000000E+000	  1.9637384698526685E-024	  0.0000000000000000E+000	T	T
24	5	  5.0081615336239338E-003	  3.7746384285634958E-015	  1.4247895816260325E-029	  1.8596925492381747E-029	  0.0000000000000000E+000	  1.8596925492381747E-029	  0.0000000000000000E+000	T	T
25	4	  5.0081615336239338E-003	  1.4760511606384807E-012	  2.1787271267830035E-024	  2.9041490212974993E-024	  0.0000000000000000E+000	  2.9041490212974993E-024	  0.0000000000000000E+000	T	T
26	5	  5.0081615336239338E-003	  1.9958336639456804E-015	  3.9833520034111257E-030	  9.8330926232725406E-030	  0.0000000000000000E+000	  9.8330926232725406E-030	  0.0000000000000000E+000	T	T
