independent_variable	independent_value	observable	uncertainty	lab_angle_deg	lab_differential_cross_section
Acm	0.000	NaN	0.0000E+00	NaN	NaN
Acm	3.000	NaN	0.0000E+00	NaN	NaN
Acm	6.000	NaN	0.0000E+00	NaN	NaN
Acm	9.000	NaN	0.0000E+00	NaN	NaN
Acm	12.000	NaN	0.0000E+00	NaN	NaN
Acm	15.000	NaN	0.0000E+00	NaN	NaN
Acm	18.000	NaN	0.0000E+00	NaN	NaN
Acm	21.000	NaN	0.0000E+00	NaN	NaN
Acm	24.000	NaN	0.0000E+00	NaN	NaN
Acm	27.000	NaN	0.0000E+00	NaN	NaN
Acm	30.000	NaN	0.0000E+00	NaN	NaN
Acm	33.000	NaN	0.0000E+00	NaN	NaN
Acm	36.000	NaN	0.0000E+00	NaN	NaN
Acm	39.000	NaN	0.0000E+00	NaN	NaN
Acm	42.000	NaN	0.0000E+00	NaN	NaN
Acm	45.000	NaN	0.0000E+00	NaN	NaN
Acm	48.000	NaN	0.0000E+00	NaN	NaN
Acm	51.000	NaN	0.0000E+00	NaN	NaN
Acm	54.000	NaN	0.0000E+00	NaN	NaN
Acm	57.000	NaN	0.0000E+00	NaN	NaN
Acm	60.000	NaN	0.0000E+00	NaN	NaN
Acm	63.000	NaN	0.0000E+00	NaN	NaN
Acm	66.000	NaN	0.0000E+00	NaN	NaN
Acm	69.000	NaN	0.0000E+00	NaN	NaN
Acm	72.000	NaN	0.0000E+00	NaN	NaN
Acm	75.000	NaN	0.0000E+00	NaN	NaN
Acm	78.000	NaN	0.0000E+00	NaN	NaN
Acm	81.000	NaN	0.0000E+00	NaN	NaN
Acm	84.000	NaN	0.0000E+00	NaN	NaN
Acm	87.000	NaN	0.0000E+00	NaN	NaN
Acm	90.000	NaN	0.0000E+00	NaN	NaN
Acm	93.000	NaN	0.0000E+00	NaN	NaN
Acm	96.000	NaN	0.0000E+00	NaN	NaN
Acm	99.000	NaN	0.0000E+00	NaN	NaN
Acm	102.000	NaN	0.0000E+00	NaN	NaN
Acm	105.000	NaN	0.0000E+00	NaN	NaN
Acm	108.000	NaN	0.0000E+00	NaN	NaN
Acm	111.000	NaN	0.0000E+00	NaN	NaN
Acm	114.000	NaN	0.0000E+00	NaN	NaN
Acm	117.000	NaN	0.0000E+00	NaN	NaN
Acm	120.000	NaN	0.0000E+00	NaN	NaN
Acm	123.000	NaN	0.0000E+00	NaN	NaN
Acm	126.000	NaN	0.0000E+00	NaN	NaN
Acm	129.000	NaN	0.0000E+00	NaN	NaN
Acm	132.000	NaN	0.0000E+00	NaN	NaN
Acm	135.000	NaN	0.0000E+00	NaN	NaN
Acm	138.000	NaN	0.0000E+00	NaN	NaN
Acm	141.000	NaN	0.0000E+00	NaN	NaN
Acm	144.000	NaN	0.0000E+00	NaN	NaN
Acm	147.000	NaN	0.0000E+00	NaN	NaN
Acm	150.000	NaN	0.0000E+00	NaN	NaN
Acm	153.000	NaN	0.0000E+00	NaN	NaN
Acm	156.000	NaN	0.0000E+00	NaN	NaN
Acm	159.000	NaN	0.0000E+00	NaN	NaN
Acm	162.000	NaN	0.0000E+00	NaN	NaN
Acm	165.000	NaN	0.0000E+00	NaN	NaN
Acm	168.000	NaN	0.0000E+00	NaN	NaN
Acm	171.000	NaN	0.0000E+00	NaN	NaN
Acm	174.000	NaN	0.0000E+00	NaN	NaN
Acm	177.000	NaN	0.0000E+00	NaN	NaN
Acm	180.000	NaN	0.0000E+00	NaN	NaN
