wave	wcm_mev	legacy_real	legacy_imag	seam_real	seam_imag	exact
S11	1100.0	  5.86179644E-03	  5.08238212E-04	  5.86179644E-03	  5.08238212E-04	T
S11	1500.0	  1.44292526E-02	  4.67445403E-02	  1.44292526E-02	  4.67445403E-02	T
S11	1900.0	  1.39329461E-02	  1.30424239E-02	  1.39329461E-02	  1.30424239E-02	T
S31	1100.0	  2.33398238E-03	 -1.26509374E-04	  2.33398238E-03	 -1.26509374E-04	T
S31	1500.0	 -1.90730207E-03	 -1.86364155E-03	 -1.90730207E-03	 -1.86364155E-03	T
S31	1900.0	  1.99911334E-02	 -3.50201912E-02	  1.99911334E-02	 -3.50201912E-02	T
P11	1100.0	  1.96838100E-03	 -1.32734358E-05	  1.96838100E-03	 -1.32734358E-05	T
P11	1500.0	 -6.07261807E-03	  1.79557856E-02	 -6.07261807E-03	  1.79557856E-02	T
P11	1900.0	  2.25713998E-02	  4.09091040E-02	  2.25713998E-02	  4.09091040E-02	T
P31	1100.0	  2.33815052E-03	 -1.28745569E-05	  2.33815052E-03	 -1.28745569E-05	T
P31	1500.0	  1.58805982E-03	 -5.22788055E-03	  1.58805982E-03	 -5.22788055E-03	T
P31	1900.0	 -7.54664745E-03	  1.61912516E-02	 -7.54664745E-03	  1.61912516E-02	T
P13	1100.0	  2.34189839E-03	 -7.66647736E-06	  2.34189839E-03	 -7.66647736E-06	T
P13	1500.0	  1.26513150E-02	  1.78194372E-03	  1.26513150E-02	  1.78194372E-03	T
P13	1900.0	  2.16695536E-02	  1.85931139E-02	  2.16695536E-02	  1.85931139E-02	T
P33	1100.0	  1.85634997E-02	  6.20580686E-04	  1.85634997E-02	  6.20580686E-04	T
P33	1500.0	 -6.32826090E-02	 -3.02409865E-02	 -6.32826090E-02	 -3.02409865E-02	T
P33	1900.0	 -2.28913892E-02	 -8.32944214E-02	 -2.28913892E-02	 -8.32944214E-02	T
D13	1100.0	  1.39730563E-03	  1.55661112E-07	  1.39730563E-03	  1.55661112E-07	T
D13	1500.0	  9.99212824E-03	  2.96069197E-02	  9.99212824E-03	  2.96069197E-02	T
D13	1900.0	 -1.08073335E-02	  2.25637536E-02	 -1.08073335E-02	  2.25637536E-02	T
D33	1100.0	  2.64843483E-03	  1.86617427E-07	  2.64843483E-03	  1.86617427E-07	T
D33	1500.0	  1.52414525E-02	  5.94850956E-03	  1.52414525E-02	  5.94850956E-03	T
D33	1900.0	  5.62957600E-02	 -1.59551762E-03	  5.62957600E-02	 -1.59551762E-03	T
D15	1100.0	  2.93825031E-03	  7.02959653E-07	  2.93825031E-03	  7.02959653E-07	T
D15	1500.0	  1.07771158E-02	  2.13680184E-03	  1.07771158E-02	  2.13680184E-03	T
D15	1900.0	  3.64270322E-02	  9.84383561E-03	  3.64270322E-02	  9.84383561E-03	T
D35	1100.0	  2.52924999E-03	 -2.64087191E-07	  2.52924999E-03	 -2.64087191E-07	T
D35	1500.0	  5.23785315E-03	 -5.07945369E-05	  5.23785315E-03	 -5.07945369E-05	T
D35	1900.0	  1.41592324E-03	  2.08778214E-03	  1.41592324E-03	  2.08778214E-03	T
F15	1100.0	  2.66148616E-03	  1.00398889E-08	  2.66148616E-03	  1.00398889E-08	T
F15	1500.0	  1.94022786E-02	  4.12030797E-03	  1.94022786E-02	  4.12030797E-03	T
F15	1900.0	  7.08404556E-03	  7.60256359E-03	  7.08404556E-03	  7.60256359E-03	T
F17	1100.0	  2.62136059E-03	 -2.04584327E-09	  2.62136059E-03	 -2.04584327E-09	T
F17	1500.0	  7.76214199E-03	  5.62695437E-04	  7.76214199E-03	  5.62695437E-04	T
F17	1900.0	  2.20075995E-02	  1.56420842E-02	  2.20075995E-02	  1.56420842E-02	T
F35	1100.0	  2.59483256E-03	  7.86461674E-10	  2.59483256E-03	  7.86461674E-10	T
F35	1500.0	  1.22102909E-02	  2.61623668E-03	  1.22102909E-02	  2.61623668E-03	T
F35	1900.0	  9.26818512E-03	  3.96386907E-02	  9.26818512E-03	  3.96386907E-02	T
F37	1100.0	  2.75564590E-03	  1.78254762E-08	  2.75564590E-03	  1.78254762E-08	T
F37	1500.0	  1.30111910E-02	  1.68661540E-03	  1.30111910E-02	  1.68661540E-03	T
F37	1900.0	  1.30688744E-02	  8.70504081E-02	  1.30688744E-02	  8.70504081E-02	T
