family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	epx	epxx	ter	tei	qcm	zkcm
1	1	5	2	5	3	25	 8.4995721435546875E+002	 8.4995721435546875E+002	-5.2219554781913757E-003	 3.2694728579372168E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
1	1	6	2	5	3	25	 8.4995721435546875E+002	 8.4995721435546875E+002	-1.6011060215532780E-003	 1.3227633899077773E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
1	2	2	2	1	4	21	 8.4995721435546875E+002	 8.4995721435546875E+002	-7.0772446691989899E-002	 1.0887840390205383E-001	 5.5280572509765625E+002	 5.6508770751953125E+002
1	2	5	2	5	4	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 1.3536302139982581E-003	 7.0998951559886336E-004	 5.5280572509765625E+002	 5.6508770751953125E+002
1	2	6	2	5	4	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 4.2514353990554810E-003	 5.0438848120393232E-005	 5.5280572509765625E+002	 5.6508770751953125E+002
2	1	5	2	5	3	25	 8.4995721435546875E+002	 8.4995721435546875E+002	-5.2219554781913757E-003	 3.2694728579372168E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
2	1	6	2	5	3	25	 8.4995721435546875E+002	 8.4995721435546875E+002	-1.6011060215532780E-003	 1.3227633899077773E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
2	2	2	2	1	4	21	 8.4995721435546875E+002	 8.4995721435546875E+002	-7.0772446691989899E-002	 1.0887840390205383E-001	 5.5280572509765625E+002	 5.6508770751953125E+002
2	2	5	2	5	4	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 1.3536302139982581E-003	 7.0998951559886336E-004	 5.5280572509765625E+002	 5.6508770751953125E+002
2	2	6	2	5	4	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 4.2514353990554810E-003	 5.0438848120393232E-005	 5.5280572509765625E+002	 5.6508770751953125E+002
3	1	5	2	5	1	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 4.5026585459709167E-002	 1.2240964919328690E-002	 5.5280572509765625E+002	 5.6508770751953125E+002
3	1	6	2	5	1	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 1.2590261176228523E-002	 1.6300135757774115E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
3	2	5	2	5	2	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 1.1634302325546741E-002	 2.6084326673299074E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
3	2	6	2	5	2	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 6.1348587041720748E-004	 5.2036684792255983E-005	 5.5280572509765625E+002	 5.6508770751953125E+002
4	1	5	2	5	1	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 4.5026585459709167E-002	 1.2240964919328690E-002	 5.5280572509765625E+002	 5.6508770751953125E+002
4	1	6	2	5	1	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 1.2590261176228523E-002	 1.6300135757774115E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
4	2	5	2	5	2	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 1.1634302325546741E-002	 2.6084326673299074E-003	 5.5280572509765625E+002	 5.6508770751953125E+002
4	2	6	2	5	2	25	 8.4995721435546875E+002	 8.4995721435546875E+002	 6.1348587041720748E-004	 5.2036684792255983E-005	 5.5280572509765625E+002	 5.6508770751953125E+002
