family	branch	legacy_l	legacy_rotation_form	candidate_rotation_form	rotation_form_exact	legacy_base_form	candidate_base_form	base_form_exact	legacy_state_index	candidate_state_index	state_index_exact	legacy_form_selector	candidate_form_selector	form_selector_exact	legacy_epx	candidate_epx	epx_exact	legacy_epxx	candidate_epxx	epxx_exact	legacy_ter	candidate_ter	ter_exact	legacy_tei	candidate_tei	tei_exact	legacy_qcm	candidate_qcm	qcm_exact	legacy_zkcm	candidate_zkcm	zkcm_exact	first_differing_field
1	1	5	2	2	yes	5	5	yes	3	3	yes	25	25	yes	0.0000000000000000E+000	 8.4995721435546875E+002	no	0.0000000000000000E+000	 8.4995721435546875E+002	no	0.0000000000000000E+000	-5.2219554781913757E-003	no	0.0000000000000000E+000	 3.2694728579372168E-003	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	epx
1	1	6	2	2	yes	5	5	yes	3	3	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	-1.4165281318128109E-003	-1.6011060215532780E-003	no	9.9192489869892597E-004	 1.3227633899077773E-003	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
1	2	2	2	2	yes	1	1	yes	4	4	yes	21	21	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	-6.7707888782024384E-002	-7.0772446691989899E-002	no	1.1722826957702637E-001	 1.0887840390205383E-001	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
1	2	5	2	2	yes	5	5	yes	4	4	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	-1.2319184606894851E-003	 1.3536302139982581E-003	no	9.8886003252118826E-004	 7.0998951559886336E-004	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
1	2	6	2	2	yes	5	5	yes	4	4	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	9.8042581230401993E-003	 4.2514353990554810E-003	no	7.5485056731849909E-004	 5.0438848120393232E-005	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
2	1	5	2	2	yes	5	5	yes	3	3	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	-2.1399506367743015E-003	-5.2219554781913757E-003	no	3.1386986374855042E-003	 3.2694728579372168E-003	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
2	1	6	2	2	yes	5	5	yes	3	3	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	-1.4165212633088231E-003	-1.6011060215532780E-003	no	9.9191966000944376E-004	 1.3227633899077773E-003	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
2	2	2	2	2	yes	1	1	yes	4	4	yes	21	21	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	-6.7707628011703491E-002	-7.0772446691989899E-002	no	1.1722847074270248E-001	 1.0887840390205383E-001	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
2	2	5	2	2	yes	5	5	yes	4	4	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	-1.2319184606894851E-003	 1.3536302139982581E-003	no	9.8886003252118826E-004	 7.0998951559886336E-004	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
2	2	6	2	2	yes	5	5	yes	4	4	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	9.8042581230401993E-003	 4.2514353990554810E-003	no	7.5485056731849909E-004	 5.0438848120393232E-005	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
3	1	5	2	2	yes	5	5	yes	1	1	yes	25	25	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	8.4995721435546875E+002	 8.4995721435546875E+002	yes	4.4519096612930298E-002	 4.5026585459709167E-002	no	6.7601697519421577E-003	 1.2240964919328690E-002	no	5.5280572509765625E+002	 5.5280572509765625E+002	yes	5.6508770751953125E+002	 5.6508770751953125E+002	yes	ter
