family	branch	legacy_l	rotation_form	base_form	state_index	form_selector	epx	epxx	ter	tei	qcm	zkcm
1	1	5	2	5	3	25	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	0.0000000000000000E+000	5.5280572509765625E+002	5.6508770751953125E+002
1	1	6	2	5	3	25	8.4995721435546875E+002	8.4995721435546875E+002	-1.4165281318128109E-003	9.9192489869892597E-004	5.5280572509765625E+002	5.6508770751953125E+002
1	2	2	2	1	4	21	8.4995721435546875E+002	8.4995721435546875E+002	-6.7707888782024384E-002	1.1722826957702637E-001	5.5280572509765625E+002	5.6508770751953125E+002
1	2	5	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	-1.2319184606894851E-003	9.8886003252118826E-004	5.5280572509765625E+002	5.6508770751953125E+002
1	2	6	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	9.8042581230401993E-003	7.5485056731849909E-004	5.5280572509765625E+002	5.6508770751953125E+002
2	1	5	2	5	3	25	8.4995721435546875E+002	8.4995721435546875E+002	-2.1399506367743015E-003	3.1386986374855042E-003	5.5280572509765625E+002	5.6508770751953125E+002
2	1	6	2	5	3	25	8.4995721435546875E+002	8.4995721435546875E+002	-1.4165212633088231E-003	9.9191966000944376E-004	5.5280572509765625E+002	5.6508770751953125E+002
2	2	2	2	1	4	21	8.4995721435546875E+002	8.4995721435546875E+002	-6.7707628011703491E-002	1.1722847074270248E-001	5.5280572509765625E+002	5.6508770751953125E+002
2	2	5	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	-1.2319184606894851E-003	9.8886003252118826E-004	5.5280572509765625E+002	5.6508770751953125E+002
2	2	6	2	5	4	25	8.4995721435546875E+002	8.4995721435546875E+002	9.8042581230401993E-003	7.5485056731849909E-004	5.5280572509765625E+002	5.6508770751953125E+002
3	1	5	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	4.4519096612930298E-002	6.7601697519421577E-003	5.5280572509765625E+002	5.6508770751953125E+002
3	1	6	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	7.7557615004479885E-003	1.8976603168994188E-003	5.5280572509765625E+002	5.6508770751953125E+002
3	2	5	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	5.8970255777239799E-003	1.7298312159255147E-003	5.5280572509765625E+002	5.6508770751953125E+002
3	2	6	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	-3.6751516163349152E-003	1.3506921277439687E-005	5.5280572509765625E+002	5.6508770751953125E+002
4	1	5	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	4.4519096612930298E-002	6.7601697519421577E-003	5.5280572509765625E+002	5.6508770751953125E+002
4	1	6	2	5	1	25	8.4995721435546875E+002	8.4995721435546875E+002	7.7557615004479885E-003	1.8976603168994188E-003	5.5280572509765625E+002	5.6508770751953125E+002
4	2	5	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	5.8970255777239799E-003	1.7298312159255147E-003	5.5280572509765625E+002	5.6508770751953125E+002
4	2	6	2	5	2	25	8.4995721435546875E+002	8.4995721435546875E+002	-3.6751516163349152E-003	1.3506921277439687E-005	5.5280572509765625E+002	5.6508770751953125E+002
