row_id	family	branch	legacy_l	form_selector	legacy_epx	candidate_epx	epx_exact	dispatch_n	dispatch_title	legacy_ter	legacy_tei	candidate_ter	candidate_tei	ter_exact	tei_exact	pnmod_nfx	pnmod_branch	addresk_nf	addresk_changed
1	1	1	5	25	0.0000000000000000E+000	 8.4995721435546875E+002	F	NA	NA	0.0000000000000000E+000	0.0000000000000000E+000	-5.2219554781913757E-003	 3.2694728579372168E-003	F	F	0	0	0	F
2	1	1	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	M05	-1.4165281318128109E-003	9.9192489869892597E-004	-1.6011060215532780E-003	 1.3227633899077773E-003	F	F	0	0	0	F
3	1	2	2	21	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-6.7707888782024384E-002	1.1722826957702637E-001	-7.0772446691989899E-002	 1.0887840390205383E-001	F	F	0	0	0	F
4	1	2	5	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-1.2319184606894851E-003	9.8886003252118826E-004	 1.3536302139982581E-003	 7.0998951559886336E-004	F	F	0	0	0	F
5	1	2	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	9.8042581230401993E-003	7.5485056731849909E-004	 4.2514353990554810E-003	 5.0438848120393232E-005	F	F	0	0	0	F
6	2	1	5	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-2.1399506367743015E-003	3.1386986374855042E-003	-5.2219554781913757E-003	 3.2694728579372168E-003	F	F	0	0	0	F
7	2	1	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-1.4165212633088231E-003	9.9191966000944376E-004	-1.6011060215532780E-003	 1.3227633899077773E-003	F	F	0	0	0	F
8	2	2	2	21	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-6.7707628011703491E-002	1.1722847074270248E-001	-7.0772446691989899E-002	 1.0887840390205383E-001	F	F	0	0	0	F
9	2	2	5	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-1.2319184606894851E-003	9.8886003252118826E-004	 1.3536302139982581E-003	 7.0998951559886336E-004	F	F	0	0	0	F
10	2	2	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	9.8042581230401993E-003	7.5485056731849909E-004	 4.2514353990554810E-003	 5.0438848120393232E-005	F	F	0	0	0	F
11	3	1	5	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	4.4519096612930298E-002	6.7601697519421577E-003	 4.5026585459709167E-002	 1.2240964919328690E-002	F	F	0	0	0	F
12	3	1	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	7.7557615004479885E-003	1.8976603168994188E-003	 1.2590261176228523E-002	 1.6300135757774115E-003	F	F	0	0	0	F
13	3	2	5	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	5.8970255777239799E-003	1.7298312159255147E-003	 1.1634302325546741E-002	 2.6084326673299074E-003	F	F	0	0	0	F
14	3	2	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-3.6751516163349152E-003	1.3506921277439687E-005	 6.1348587041720748E-004	 5.2036684792255983E-005	F	F	0	0	0	F
15	4	1	5	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	4.4519096612930298E-002	6.7601697519421577E-003	 4.5026585459709167E-002	 1.2240964919328690E-002	F	F	0	0	0	F
16	4	1	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	7.7557615004479885E-003	1.8976603168994188E-003	 1.2590261176228523E-002	 1.6300135757774115E-003	F	F	0	0	0	F
17	4	2	5	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	5.8970255777239799E-003	1.7298312159255147E-003	 1.1634302325546741E-002	 2.6084326673299074E-003	F	F	0	0	0	F
18	4	2	6	25	8.4995721435546875E+002	 8.4995721435546875E+002	T	7	SP00	-3.6751516163349152E-003	1.3506921277439687E-005	 6.1348587041720748E-004	 5.2036684792255983E-005	F	F	0	0	0	F
