file	routine	kind	routine_start_line	routine_end_line	common_line	signature_sha256	field_count	total_words	total_bytes	canonical_layout_match
prsd.f	__MAIN__	implicit-main	1	1045	1	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRCHICMP	subroutine	1058	1280	1060	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	SETEK	subroutine	1281	1338	1282	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRBAS	subroutine	1349	1491	1350	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PROBS	subroutine	1492	1645	1493	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PROBSL	subroutine	1646	1729	1647	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRSOL	subroutine	1795	2313	1796	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRDLT	subroutine	2314	2587	2315	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	MD07M	subroutine	2713	2763	2714	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	ROT4	subroutine	2832	2921	2833	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	EKDLT	subroutine	3031	3244	3032	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	DLTMAID	subroutine	3450	3595	3451	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	EKDLTX	subroutine	3877	3972	3878	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	EKDXX	subroutine	3973	4029	3974	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PPRCHP	subroutine	4450	4526	4451	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRMOBS	subroutine	4574	4723	4575	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRSETC	subroutine	4852	4932	4853	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRDA	subroutine	4970	5005	4971	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRODO	subroutine	5006	5069	5007	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
prsd.f	PRCHI	subroutine	5070	5404	5071	5b12d7063b2b7daac59fbf94350ae82be828843893501c2062c6cbc095f6df46	60	22370	89480	yes
