ordinal	offset_words_0based	offset_bytes_0based	name	implicit_type	legacy_encoding	dimensions	elements	bytes	semantic_group	legacy_role	cm12_contract_relevance	target_owner
1	0	0	MTRN	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	command-control	command-router	excluded	legacy-adapter
2	1	4	IR	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	reaction-channel	required	request
3	2	8	MM	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	multipole-family	internal	multipole-workspace
4	3	12	JJ	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	total-angular-momentum-branch	internal	multipole-workspace
5	4	16	LL	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	orbital-angular-momentum	internal	multipole-workspace
6	5	20	NN	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	command-control	generic-count	excluded	none
7	6	24	NE	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	energy-grid-size	adapter	batch-adapter
8	7	28	NA	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	angle-grid-size	adapter	batch-adapter
9	8	32	IE	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	active-energy-index	internal	batch-adapter
10	9	36	IA	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	active-angle-index	internal	batch-adapter
11	10	40	II	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	grid-index	flattened-output-index	adapter	batch-adapter
12	11	44	NNBT	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	fit-control	fit-point-count	optional	uncertainty-model
13	12	48	IT	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	command-control	observable-selector	required	request
14	13	52	NPRM	implicit-INTEGER*4	numeric-INTEGER*4	scalar	1	4	fit-control	fit-parameter-count	optional	uncertainty-model
15	14	56	TITLE	implicit-REAL*4	packed-A4-in-REAL*4	18	18	72	packed-text	solution-id	adapter	solution-metadata
16	32	128	DTTL	implicit-REAL*4	packed-A4-in-REAL*4	18	18	72	packed-text	dataset-title	excluded	legacy-adapter
17	50	200	MTTL	implicit-INTEGER*4	packed-A4-in-INTEGER*4	8	8	32	packed-text	reaction-labels	excluded	legacy-adapter
18	58	232	ITTL	implicit-INTEGER*4	packed-A4-in-INTEGER*4	40	40	160	packed-text	observable-labels	excluded	legacy-adapter
19	98	392	EMR	implicit-REAL*4	numeric-REAL*4	70x6x2x6	5040	20160	multipole-solution	real-multipoles	internal	multipole-workspace
20	5138	20552	EMI	implicit-REAL*4	numeric-REAL*4	70x6x2x6	5040	20160	multipole-solution	imaginary-multipoles	internal	multipole-workspace
21	10178	40712	TTLI	implicit-REAL*4	packed-A4-in-REAL*4	18	18	72	packed-text	input-title	excluded	legacy-adapter
22	10196	40784	E	implicit-REAL*4	numeric-REAL*4	70	70	280	kinematics	lab-energy-grid	required	request
23	10266	41064	ZKCM	implicit-REAL*4	numeric-REAL*4	70	70	280	kinematics	photon-cm-momentum	required	kinematics-result
24	10336	41344	QCM	implicit-REAL*4	numeric-REAL*4	70	70	280	kinematics	meson-cm-momentum	required	kinematics-result
25	10406	41624	EPI	implicit-REAL*4	numeric-REAL*4	70	70	280	kinematics	final-meson-energy	internal	kinematics-result
26	10476	41904	NF	implicit-INTEGER*4	numeric-INTEGER*4	6x2x6	72	288	solution-definition	multipole-form-selector	required	solution
27	10548	42192	PEM	implicit-REAL*4	numeric-REAL*4	25x6x2x6	1800	7200	solution-definition	multipole-parameters	required	solution
28	12348	49392	BAS	implicit-REAL*4	numeric-REAL*4	4x10	40	160	amplitude-workspace	angular-basis	internal	amplitude-workspace
29	12388	49552	HR	implicit-REAL*4	numeric-REAL*4	4x70	280	1120	amplitude-workspace	real-amplitude-grid	adapter	batch-result
30	12668	50672	HI	implicit-REAL*4	numeric-REAL*4	4x70	280	1120	amplitude-workspace	imaginary-amplitude-grid	adapter	batch-result
31	12948	51792	HRX	implicit-REAL*4	numeric-REAL*4	4	4	16	amplitude-workspace	active-real-amplitudes	required	amplitude-result
32	12952	51808	HIX	implicit-REAL*4	numeric-REAL*4	4	4	16	amplitude-workspace	active-imaginary-amplitudes	required	amplitude-result
33	12956	51824	P0	implicit-REAL*4	numeric-REAL*4	99	99	396	uncertainty	fit-parameter-baseline	optional	uncertainty-model
34	13055	52220	DDP	implicit-REAL*4	numeric-REAL*4	99	99	396	uncertainty	fit-parameter-step	optional	uncertainty-model
35	13154	52616	ETHR	implicit-REAL*4	numeric-REAL*4	scalar	1	4	kinematics	reaction-threshold	required	kinematics-result
36	13155	52620	YZ	implicit-REAL*4	numeric-REAL*4	99	99	396	uncertainty	fit-parameter-vector	optional	uncertainty-model
37	13254	53016	ERMTX	implicit-REAL*4	numeric-REAL*4	7000	7000	28000	uncertainty	covariance-or-work-matrix	optional	uncertainty-model
38	20254	81016	DUM	implicit-REAL*4	numeric-REAL*4	100	100	400	scratch	generic-work-array	excluded	none
39	20354	81416	A	implicit-REAL*4	numeric-REAL*4	100	100	400	kinematics	angle-grid	required	request
40	20454	81816	OBSX	implicit-REAL*4	numeric-REAL*4	200	200	800	experimental-data	observed-values	excluded	legacy-adapter
