file	routine	kind	routine_start_line	routine_end_line	common_line	cm12_stage	referenced_fields	direct_write_fields	call_argument_fields	read_or_control_fields	declaration_only_fields
prsd.f	__MAIN__	implicit-main	1	1045	1	legacy-request-orchestration	MTRN,IR,NN,NE,NA,IE,IA,NNBT,IT,TITLE,DTTL,MTTL,ITTL,EMR,EMI,E,PEM,HR,HI,HRX,HIX,DUM,A,ERR,OBS,DOBS,XEX,HDAT,IR0,NINC,NINCMX,NNL,NMTTL,NITTL	MTRN,IR,NN,NE,NA,IT,DTTL,E,PEM,HRX,HIX,DUM,A,XEX,NINC,NINCMX,NNL	MTRN,IR,NN,IE,IA,IT,TITLE,DTTL,MTTL,ITTL,E,HRX,HIX,DUM,A,XEX,IR0,NINCMX	MTRN,IR,NN,NE,NA,IE,IA,NNBT,IT,TITLE,DTTL,MTTL,ITTL,EMR,EMI,E,PEM,HR,HI,HRX,HIX,DUM,A,ERR,OBS,DOBS,XEX,HDAT,IR0,NINC,NINCMX,NMTTL,NITTL	MM,JJ,LL,II,NPRM,TTLI,ZKCM,QCM,EPI,NF,BAS,P0,DDP,ETHR,YZ,ERMTX,OBSX,TEX,NBT,CIS,CH,THTX,DER,DEI,DPZ,OBSPRD
prsd.f	PRCHICMP	subroutine	1058	1280	1060	outside-current-cm12-contract	MTRN,IR,NE,NA,II,IT,TITLE,DTTL,MTTL,ITTL,E,A,OBSX,ERR,OBS,XEX,HDAT,IR0,NMTTL,NITTL	IR,NE,NA,II,IT,E,A,OBSX,ERR	MTRN,IR,MTTL,XEX	MTRN,IR,NE,NA,II,IT,TITLE,DTTL,MTTL,ITTL,A,OBSX,ERR,OBS,XEX,HDAT,IR0,NMTTL,NITTL	MM,JJ,LL,NN,IE,IA,NNBT,NPRM,EMR,EMI,TTLI,ZKCM,QCM,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,TEX,DOBS,NBT,CIS,CH,THTX,NINC,NINCMX,NNL,DER,DEI,DPZ,OBSPRD
prsd.f	SETEK	subroutine	1281	1338	1282	request-grid-setup	IR,NE,IT,DTTL,MTTL,CIS,IR0,NMTTL	IR,MTTL,IR0,NMTTL	IR,DTTL	IR,NE,IT,DTTL,CIS,IR0,NMTTL	MTRN,MM,JJ,LL,NN,NA,IE,IA,II,NNBT,NPRM,TITLE,ITTL,EMR,EMI,TTLI,E,ZKCM,QCM,EPI,NF,PEM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CH,HDAT,THTX,NINC,NINCMX,NNL,NITTL,DER,DEI,DPZ,OBSPRD
prsd.f	PRBAS	subroutine	1349	1491	1350	retained-amplitude-pipeline	IR,MM,JJ,LL,NE,NA,IE,IA,II,TITLE,EMR,EMI,E,ZKCM,QCM,EPI,NF,PEM,HR,HI,HRX,HIX,ETHR,A,OBS,IR0,NNL,DER,DEI,OBSPRD	MM,JJ,LL,IE,IA,II,EMR,EMI,NF,HR,HI,ETHR,OBS,DER,DEI	ZKCM,QCM,EPI	IR,NE,NA,IA,II,TITLE,EMR,EMI,E,QCM,NF,PEM,HR,HI,HRX,HIX,ETHR,A,IR0,NNL,DER,DEI,OBSPRD	MTRN,NN,NNBT,IT,NPRM,DTTL,MTTL,ITTL,TTLI,BAS,P0,DDP,YZ,ERMTX,DUM,OBSX,ERR,TEX,DOBS,XEX,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NMTTL,NITTL,DPZ
prsd.f	PROBS	subroutine	1492	1645	1493	retained-observable-kernel	IR,IE,IA,II,IT,TITLE,EMR,EMI,E,ZKCM,QCM,HRX,HIX,ETHR,ERMTX,A,CIS,IR0,NMTTL,OBSPRD	II,OBSPRD		IR,IE,IA,II,IT,TITLE,EMR,EMI,E,ZKCM,QCM,HRX,HIX,ETHR,ERMTX,A,CIS,IR0,NMTTL,OBSPRD	MTRN,MM,JJ,LL,NN,NE,NA,NNBT,NPRM,DTTL,MTTL,ITTL,TTLI,EPI,NF,PEM,BAS,HR,HI,P0,DDP,YZ,DUM,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CH,HDAT,THTX,NINC,NINCMX,NNL,NITTL,DER,DEI,DPZ
prsd.f	PROBSL	subroutine	1646	1729	1647	uncontracted-observable-kernel	IR,IE,IA,IT,TITLE,E,ZKCM,QCM,PEM,HRX,HIX,A,OBSPRD	OBSPRD		IR,IE,IA,IT,TITLE,E,ZKCM,QCM,PEM,HRX,HIX,A	MTRN,MM,JJ,LL,NN,NE,NA,II,NNBT,NPRM,DTTL,MTTL,ITTL,EMR,EMI,TTLI,EPI,NF,BAS,HR,HI,P0,DDP,ETHR,YZ,ERMTX,DUM,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DER,DEI,DPZ
prsd.f	PRSOL	subroutine	1795	2313	1796	solution-loader-and-dispatch	MTRN,IR,MM,JJ,LL,NE,NA,IE,II,NNBT,IT,NPRM,TITLE,EMR,EMI,TTLI,E,NF,PEM,P0,DDP,ERMTX,DUM,A,NBT,HDAT,IR0,NNL,DER,DEI	IR,LL,NE,NA,IE,II,NNBT,IT,NPRM,TITLE,TTLI,E,NF,PEM,P0,DDP,ERMTX,DUM,A,NBT	MTRN,NNBT,NPRM,TITLE,TTLI,PEM,ERMTX,DUM,NBT	MTRN,MM,JJ,LL,NE,II,NNBT,NPRM,TITLE,EMR,EMI,TTLI,E,NF,PEM,ERMTX,DUM,A,NBT,HDAT,IR0,NNL,DER,DEI	NN,IA,DTTL,MTTL,ITTL,ZKCM,QCM,EPI,BAS,HR,HI,HRX,HIX,ETHR,YZ,OBSX,ERR,TEX,OBS,DOBS,XEX,CIS,CH,THTX,NINC,NINCMX,NMTTL,NITTL,DPZ,OBSPRD
prsd.f	PRDLT	subroutine	2314	2587	2315	multipole-evaluation-dispatch	IR,MM,JJ,LL,NE,IE,IT,TITLE,EMR,EMI,TTLI,E,ZKCM,QCM,EPI,NF,PEM,ETHR,ERMTX,IR0,DER,DEI	PEM,DER,DEI	IR,LL,IE,TITLE,TTLI,E,DER,DEI	IR,MM,JJ,LL,NE,IE,IT,TITLE,EMR,EMI,E,ZKCM,QCM,EPI,NF,PEM,ETHR,ERMTX,IR0,DER,DEI	MTRN,NN,NA,IA,II,NNBT,NPRM,DTTL,MTTL,ITTL,BAS,HR,HI,HRX,HIX,P0,DDP,YZ,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DPZ,OBSPRD
prsd.f	MD07M	subroutine	2713	2763	2714	outside-current-cm12-contract	IR,MM,JJ,LL,IE,II,TITLE,TTLI,E,EPI,NF,PEM,DER,DEI	II,TTLI,DER,DEI	LL,TTLI,EPI,DER,DEI	IR,MM,JJ,LL,IE,II,TITLE,E,NF,PEM,DER,DEI	MTRN,NN,NE,NA,IA,NNBT,IT,NPRM,DTTL,MTTL,ITTL,EMR,EMI,ZKCM,QCM,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DPZ,OBSPRD
prsd.f	ROT4	subroutine	2832	2921	2833	outside-current-cm12-contract	MM,JJ,LL,NE,IE,TTLI,E,ZKCM,QCM,EPI,NF,PEM,DER,DEI	DER,DEI	LL,TTLI	MM,JJ,LL,NE,IE,E,ZKCM,QCM,EPI,NF,PEM	MTRN,IR,NN,NA,IA,II,NNBT,IT,NPRM,TITLE,DTTL,MTTL,ITTL,EMR,EMI,BAS,HR,HI,HRX,HIX,P0,DDP,ETHR,YZ,ERMTX,DUM,A,OBSX,ERR,TEX,OBS,DOBS,XEX,NBT,CIS,CH,HDAT,IR0,THTX,NINC,NINCMX,NNL,NMTTL,NITTL,DPZ,OBSPRD
