file	routine	field	direct_write_count	call_argument_count	io_input_count	read_or_control_count	line_numbers	access_evidence	cm12_stage
prsd.f	__MAIN__	MTRN	1	22	0	72	70,120,121,122,128,131,132,133,141,146,147,148,149,151,157,161,162,163,164,165,166,167,168,169,171,173,175,177,179,181,183,187,189,191,193,198,199,202,207,209,211,220,221,223,231,233,234,262,264,265,307,309,310,318,320,321,333,335,336,345,347,348,382,384,386,398,400,401,445,447,448,478,479,481,631,633,634,646,648,649,650,651,658,660,661,832,834,835,841,843,844,852,854,855,856	direct-write:133;call-argument:70,120,128,198,207,220,231,262,307,318,333,345,382,398,445,478,631,646,658,832,841,852;read-or-control:121,122,131,132,141,146,147,148,149,151,157,161,162,163,164,165,166,167,168,169,171,173,175,177,179,181,183,187,189,191,193,199,202,209,211,221,223,233,234,264,265,309,310,320,321,335,336,347,348,384,386,400,401,447,448,479,481,633,634,648,649,650,651,660,661,834,835,843,844,854,855,856	legacy-request-orchestration
prsd.f	__MAIN__	IR	2	2	0	6	117,212,220,224,225,226,352,353,703,794	direct-write:117,212;call-argument:220,226;read-or-control:224,225,352,353,703,794	legacy-request-orchestration
prsd.f	__MAIN__	NN	2	1	0	1	700,712,781,783	direct-write:700,781;call-argument:783;read-or-control:712	legacy-request-orchestration
prsd.f	__MAIN__	NE	1	0	0	73	57,122,132,193,202,203,211,223,234,265,282,297,300,310,321,336,348,349,352,353,365,366,386,387,389,401,416,417,435,436,439,441,448,450,470,481,510,553,575,580,588,610,614,615,634,651,653,657,661,671,701,703,704,716,726,730,739,740,749,775,780,784,786,835,836,844,846,856,858,884,886,933,938,984	direct-write:297;read-or-control:57,122,132,193,202,203,211,223,234,265,282,300,310,321,336,348,349,352,353,365,366,386,387,389,401,416,417,435,436,439,441,448,450,470,481,510,553,575,580,588,610,614,615,634,651,653,657,661,671,701,703,704,716,726,730,739,740,749,775,780,784,786,835,836,844,846,856,858,884,886,933,938,984	legacy-request-orchestration
prsd.f	__MAIN__	NA	1	0	0	10	298,299,440,451,491,511,575,616,617,673,858	direct-write:298;read-or-control:299,440,451,491,511,575,616,617,673,858	legacy-request-orchestration
prsd.f	__MAIN__	IE	0	1	0	1	510,540	call-argument:540;read-or-control:510	legacy-request-orchestration
prsd.f	__MAIN__	IA	0	1	0	3	511,519,531,540	call-argument:540;read-or-control:511,519,531	legacy-request-orchestration
prsd.f	__MAIN__	NNBT	0	0	0	1	939	read-or-control:939	legacy-request-orchestration
prsd.f	__MAIN__	IT	3	1	0	11	44,74,391,394,399,403,405,550,552,553,563,601,614,704,795	direct-write:44,399,550;call-argument:394;read-or-control:74,391,403,405,552,553,563,601,614,704,795	legacy-request-orchestration
prsd.f	__MAIN__	TITLE	0	2	0	6	352,353,425,495,496,568,569,881	call-argument:425,881;read-or-control:352,353,495,496,568,569	legacy-request-orchestration
prsd.f	__MAIN__	DTTL	1	3	0	2	43,56,86,87,691,883	direct-write:43;call-argument:56,691,883;read-or-control:86,87	legacy-request-orchestration
prsd.f	__MAIN__	MTTL	0	2	0	6	62,185,186,214,215,226,352,353	call-argument:62,226;read-or-control:185,186,214,215,352,353	legacy-request-orchestration
prsd.f	__MAIN__	ITTL	0	1	0	2	17,394,403	call-argument:394;read-or-control:17,403	legacy-request-orchestration
prsd.f	__MAIN__	EMR	0	0	0	1	365	read-or-control:365	legacy-request-orchestration
prsd.f	__MAIN__	EMI	0	0	0	1	366	read-or-control:366	legacy-request-orchestration
prsd.f	__MAIN__	E	3	1	0	20	88,105,229,290,291,293,294,306,325,326,352,353,421,426,439,450,540,582,584,670,671,738	direct-write:290,421,426;call-argument:540;read-or-control:88,105,229,291,293,294,306,325,326,352,353,421,426,439,450,582,584,670,671,738	legacy-request-orchestration
prsd.f	__MAIN__	PEM	1	0	0	2	438,457	direct-write:457;read-or-control:438,457	legacy-request-orchestration
prsd.f	__MAIN__	HR	0	0	0	5	514,522,523,524,525	read-or-control:514,522,523,524,525	legacy-request-orchestration
prsd.f	__MAIN__	HI	0	0	0	5	515,526,527,528,529	read-or-control:515,526,527,528,529	legacy-request-orchestration
prsd.f	__MAIN__	HRX	6	1	0	7	514,516,517,522,523,524,525,532,533,534,540,542,544,545	direct-write:514,522,523,524,525,542;call-argument:540;read-or-control:516,517,532,533,534,544,545	legacy-request-orchestration
prsd.f	__MAIN__	HIX	6	1	0	7	515,516,517,526,527,528,529,532,533,534,540,543,544,545	direct-write:515,526,527,528,529,543;call-argument:540;read-or-control:516,517,532,533,534,544,545	legacy-request-orchestration
prsd.f	__MAIN__	DUM	2	4	0	8	365,366,373,374,376,377,540,542,543,776,777,778,779,788	direct-write:365,366;call-argument:540,776,779,788;read-or-control:373,374,376,377,542,543,777,778	legacy-request-orchestration
prsd.f	__MAIN__	A	4	1	0	16	20,88,229,283,286,287,289,324,440,451,490,491,519,531,540,627,672,673,676,677,824	direct-write:20,283,286,289;call-argument:540;read-or-control:88,229,287,324,440,451,490,491,519,531,627,672,673,676,677,824	legacy-request-orchestration
prsd.f	__MAIN__	ERR	0	0	0	1	573	read-or-control:573	legacy-request-orchestration
prsd.f	__MAIN__	OBS	0	0	0	21	397,410,573,601,603,604,606,607,609,610,617,807,809,824,921,925,942,945,960,964,1036	read-or-control:397,410,573,601,603,604,606,607,609,610,617,807,809,824,921,925,942,945,960,964,1036	legacy-request-orchestration
prsd.f	__MAIN__	DOBS	0	0	0	13	603,604,606,607,807,809,942,945,949,952,960,964,967	read-or-control:603,604,606,607,807,809,942,945,949,952,960,964,967	legacy-request-orchestration
prsd.f	__MAIN__	XEX	1	10	0	13	411,412,693,713,714,724,749,750,751,754,755,783,806,922,926,928,930,946,950,953,957,965,968,972	direct-write:806;call-argument:412,693,783,922,928,946,950,953,965,968;read-or-control:411,713,714,724,749,750,751,754,755,926,930,957,972	legacy-request-orchestration
prsd.f	__MAIN__	HDAT	0	0	0	2	571,572	read-or-control:571,572	legacy-request-orchestration
prsd.f	__MAIN__	IR0	0	1	0	4	185,186,581,694,695	call-argument:581;read-or-control:185,186,694,695	legacy-request-orchestration
prsd.f	__MAIN__	NINC	2	0	0	6	271,272,279,281,299,300,676	direct-write:271,279;read-or-control:272,279,281,299,300,676	legacy-request-orchestration
prsd.f	__MAIN__	NINCMX	1	1	0	2	40,268,272,273	direct-write:40;call-argument:268;read-or-control:272,273	legacy-request-orchestration
prsd.f	__MAIN__	NNL	1	0	0	0	41	direct-write:41	legacy-request-orchestration
prsd.f	__MAIN__	NMTTL	0	0	0	4	213,214,215,224	read-or-control:213,214,215,224	legacy-request-orchestration
prsd.f	__MAIN__	NITTL	0	0	0	4	402,551,558,559	read-or-control:402,551,558,559	legacy-request-orchestration
prsd.f	PRCHICMP	MTRN	0	3	0	8	1102,1105,1106,1114,1115,1124,1126,1127,1133,1135,1136	call-argument:1102,1124,1133;read-or-control:1105,1106,1114,1115,1126,1127,1135,1136	outside-current-cm12-contract
prsd.f	PRCHICMP	IR	1	2	0	2	1116,1124,1128,1129,1172	direct-write:1116;call-argument:1124,1129;read-or-control:1128,1172	outside-current-cm12-contract
prsd.f	PRCHICMP	NE	1	0	0	13	1106,1115,1127,1136,1148,1149,1150,1171,1172,1173,1174,1182,1195,1238	direct-write:1195;read-or-control:1106,1115,1127,1136,1148,1149,1150,1171,1172,1173,1174,1182,1238	outside-current-cm12-contract
prsd.f	PRCHICMP	NA	2	0	0	7	1200,1204,1205,1206,1207,1209,1210,1223	direct-write:1200,1204;read-or-control:1204,1205,1206,1207,1209,1210,1223	outside-current-cm12-contract
prsd.f	PRCHICMP	II	1	0	0	4	1202,1203,1205,1206,1207	direct-write:1202;read-or-control:1203,1205,1206,1207	outside-current-cm12-contract
prsd.f	PRCHICMP	IT	2	0	0	2	1097,1197,1259,1260	direct-write:1197,1259;read-or-control:1097,1260	outside-current-cm12-contract
prsd.f	PRCHICMP	TITLE	0	0	0	6	1084,1086,1144,1145,1149,1150	read-or-control:1084,1086,1144,1145,1149,1150	outside-current-cm12-contract
