id	category	rows	modern_sha256	arndt64_sha256	gwdac_sha256	exact_all
cm12_pi_plus_h1_baseline	normal	9	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	yes
cm12_pi0p_h1	normal	7	cd8e57a1f0600b454d3a3de41c716a76982ff2597e825cbbcfa8391e7d50a47f	cd8e57a1f0600b454d3a3de41c716a76982ff2597e825cbbcfa8391e7d50a47f	cd8e57a1f0600b454d3a3de41c716a76982ff2597e825cbbcfa8391e7d50a47f	yes
cm12_pi_minus_h1	normal	7	b8395af77953805e494272e0380c7ed5711357c9de4bb09608480ce93a1c917b	b8395af77953805e494272e0380c7ed5711357c9de4bb09608480ce93a1c917b	b8395af77953805e494272e0380c7ed5711357c9de4bb09608480ce93a1c917b	yes
cm12_pi0n_h1	normal	7	3f3bca9b83de5ec3d67ad2a10de6cad7cfe43ccf107bb9e4e6996cc7584f7b3a	3f3bca9b83de5ec3d67ad2a10de6cad7cfe43ccf107bb9e4e6996cc7584f7b3a	3f3bca9b83de5ec3d67ad2a10de6cad7cfe43ccf107bb9e4e6996cc7584f7b3a	yes
cm12_pi_plus_h1_fixed_w	normal	7	14183379c46513f18ba6e5dee6b358793b5a37aa0a374f0e8c16e9b8149d434e	14183379c46513f18ba6e5dee6b358793b5a37aa0a374f0e8c16e9b8149d434e	14183379c46513f18ba6e5dee6b358793b5a37aa0a374f0e8c16e9b8149d434e	yes
cm12_pi_plus_h1_energy_sweep	normal	5	612cf32f2272b148e5809c1f50352504ce74b02a16e53c08635211dd09920a4e	612cf32f2272b148e5809c1f50352504ce74b02a16e53c08635211dd09920a4e	612cf32f2272b148e5809c1f50352504ce74b02a16e53c08635211dd09920a4e	yes
cm12_pi_plus_h1_w_sweep	normal	5	a32decae6ec675d71df55f980d822d8ae6f2dc60c64009d86db3bf996fac3e36	a32decae6ec675d71df55f980d822d8ae6f2dc60c64009d86db3bf996fac3e36	a32decae6ec675d71df55f980d822d8ae6f2dc60c64009d86db3bf996fac3e36	yes
cm12_pi_plus_h1_cosine_clamp	boundary	5	3e9054c95e6ff773948af1b8e3902a82112a64fde5fbf2794cacff9995818046	3e9054c95e6ff773948af1b8e3902a82112a64fde5fbf2794cacff9995818046	3e9054c95e6ff773948af1b8e3902a82112a64fde5fbf2794cacff9995818046	yes
cm12_pi_plus_h1_max_grid	boundary	70	727da4c4bc98fea1500f70deb72be467adb69d67b9509ad6d3afb552785cadf1	727da4c4bc98fea1500f70deb72be467adb69d67b9509ad6d3afb552785cadf1	727da4c4bc98fea1500f70deb72be467adb69d67b9509ad6d3afb552785cadf1	yes
cm12_pi_plus_h1_single_point	boundary	1	d5573f32f0733e86bd71c2e77dc430837dd29c655adff53a561017fe195c5ff0	d5573f32f0733e86bd71c2e77dc430837dd29c655adff53a561017fe195c5ff0	d5573f32f0733e86bd71c2e77dc430837dd29c655adff53a561017fe195c5ff0	yes
cm12_pi_plus_h1_choice_zero	legacy_coercion	9	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	yes
cm12_unknown_observable_h1_recovery	malformed	9	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	yes
cm12_invalid_reaction_h1_recovery	malformed	9	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	daef820d95031c996966b49add5ce90cb901d923eaf3b2178e00843fafa48b2f	yes
