id	category	exit_status	stderr_bytes	result_rows	result_sha256	behavior
cm12_pi_plus_h1_baseline	normal	0	0	9	4fd890ab5f0940eab11ecbdb42459dcdbe500ad8626afe85cea684856d28e2f8	pass
cm12_pi0p_h1	normal	0	0	7	e63ce37edbf06ccc73c10091c7431f35a38126a52d07b8e369ae649e63cc97f7	pass
cm12_pi_minus_h1	normal	0	0	7	1091d1f01904a8e9049de81c2ad4cce154b517f2658b7a6ab9b18e8e930b0e95	pass
cm12_pi0n_h1	normal	0	0	7	cd3b4c8f79d204e58057bd5298a9ea3e1d29c71d1a927965d638cd65e6809fbd	pass
cm12_pi_plus_h1_fixed_w	normal	0	0	7	b492a1811e430595eac9ca453db8e0580717f65f8f4f391de774d89bdacd0ad0	pass
cm12_pi_plus_h1_energy_sweep	normal	0	0	5	1a3a165adbc6da6bf24ed4daf2ef09c2b4d819cadb91568b441ca866b6359bd6	pass
cm12_pi_plus_h1_w_sweep	normal	0	0	5	8fb1c5a050af939e2c85428be1ac1d22b9bf202e74b2c47a0bc6d90cd5c9abef	pass
cm12_pi_plus_h1_cosine_clamp	boundary	0	0	5	56831d7c5e45780e418c87494bbc5c42ab29db4fab7a84e7f6dd3cc8f3d8628a	pass
cm12_pi_plus_h1_max_grid	boundary	0	0	70	727da4c4bc98fea1500f70deb72be467adb69d67b9509ad6d3afb552785cadf1	pass
cm12_pi_plus_h1_single_point	boundary	0	0	1	c42b0a673164e6f196857e10b6fa04c4b0910bf33c24fe04eb676e50f6f85cc0	pass
cm12_pi_plus_h1_choice_zero	legacy_coercion	0	0	9	4fd890ab5f0940eab11ecbdb42459dcdbe500ad8626afe85cea684856d28e2f8	pass
cm12_unknown_observable_h1_recovery	malformed	0	0	9	4fd890ab5f0940eab11ecbdb42459dcdbe500ad8626afe85cea684856d28e2f8	pass
cm12_invalid_reaction_h1_recovery	malformed	0	0	9	4fd890ab5f0940eab11ecbdb42459dcdbe500ad8626afe85cea684856d28e2f8	pass
