id	category	rows	modern_sha256	arndt64_sha256	gwdac_sha256	exact_all
cm12_pi_plus_dsg_baseline	normal	19	b88f0290fdb4a496bb2da12519f96b3fc285b93d28f31a3bd4c25d36414fe31d	b88f0290fdb4a496bb2da12519f96b3fc285b93d28f31a3bd4c25d36414fe31d	b88f0290fdb4a496bb2da12519f96b3fc285b93d28f31a3bd4c25d36414fe31d	yes
cm12_pi0p_dsg	normal	7	42f40dfac00d165f6aa4d6942b201adf987de76b9e769be9793ff76a92fa7085	42f40dfac00d165f6aa4d6942b201adf987de76b9e769be9793ff76a92fa7085	42f40dfac00d165f6aa4d6942b201adf987de76b9e769be9793ff76a92fa7085	yes
cm12_pi_minus_dsg	normal	7	def91715f3dfb72e15a5d6e4f274d6c312a0c091e1242a254608c2216404049a	def91715f3dfb72e15a5d6e4f274d6c312a0c091e1242a254608c2216404049a	def91715f3dfb72e15a5d6e4f274d6c312a0c091e1242a254608c2216404049a	yes
cm12_pi0n_dsg	normal	7	27159e195b04f16ce32c4d69c22178c83ee6adcaeaf53eee6df9eb945f7825b4	27159e195b04f16ce32c4d69c22178c83ee6adcaeaf53eee6df9eb945f7825b4	27159e195b04f16ce32c4d69c22178c83ee6adcaeaf53eee6df9eb945f7825b4	yes
cm12_pi_plus_dsg_fixed_w	normal	7	ce4db631ac8d7e8099fd7a96e61eeb6174e95526648cfe5c761638c61950e0f6	ce4db631ac8d7e8099fd7a96e61eeb6174e95526648cfe5c761638c61950e0f6	ce4db631ac8d7e8099fd7a96e61eeb6174e95526648cfe5c761638c61950e0f6	yes
cm12_pi_plus_dsg_energy_sweep	normal	4	837474c95d4a6d34526c5fb982b6eeac7b77815698d7b5d2595960f5fa4e0c46	837474c95d4a6d34526c5fb982b6eeac7b77815698d7b5d2595960f5fa4e0c46	837474c95d4a6d34526c5fb982b6eeac7b77815698d7b5d2595960f5fa4e0c46	yes
cm12_pi_plus_dsg_cosine_clamp	boundary	5	fee6d3a2e490d8afc9676d741aa7623f632576346589fb939e1f3db5e498911e	fee6d3a2e490d8afc9676d741aa7623f632576346589fb939e1f3db5e498911e	fee6d3a2e490d8afc9676d741aa7623f632576346589fb939e1f3db5e498911e	yes
cm12_pi_plus_dsg_dense_grid	boundary	61	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	f1904d04807aa685395711cd5e43c68f27c48e1ccb503c209112524e0a0ac9f2	yes
cm12_invalid_reaction_recovery	malformed	7	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	yes
cm12_unknown_observable_recovery	malformed	7	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	77bbcae5ac7dfddd7d43892edee35fea84ecf1f227ee4152ae5833b3d4a032f6	yes
cm12_pi_plus_below_threshold	scientifically_invalid	7	11a7c63757d9d8cd2123d5c5187ab7c6d2865796a5556b0f3023db3faf040f29	11a7c63757d9d8cd2123d5c5187ab7c6d2865796a5556b0f3023db3faf040f29	11a7c63757d9d8cd2123d5c5187ab7c6d2865796a5556b0f3023db3faf040f29	yes
